input,output
US East (N. Virginia),US East (N. Virginia)
US East (Ohio),US East (Ohio)
US East (Verizon) - Boston,US East (Verizon) - Boston
US West (Los Angeles),US West (Los Angeles)
US West (N. California),US West (N. California)
US West (Oregon),US West (Oregon)
US West (Verizon) - San Francisco Bay Area,US West (Verizon) - San Francisco Bay Area
Africa (Cape Town),Africa (Cape Town)
Asia Pacific (Hong Kong),Asia Pacific (Hong Kong)
Asia Pacific (Mumbai),Asia Pacific (Mumbai)
Asia Pacific (Osaka-Local),Asia Pacific (Osaka-Local)
Asia Pacific (Seoul),Asia Pacific (Seoul)
Asia Pacific (Singapore),Asia Pacific (Singapore)
Asia Pacific (Sydney),Asia Pacific (Sydney)
Asia Pacific (Tokyo),Asia Pacific (Tokyo)
Canada (Central),Canada (Central)
EU (Frankfurt),EU (Frankfurt)
EU (Ireland),EU (Ireland)
EU (London),EU (London)
EU (Milan),EU (Milan)
EU (Paris),EU (Paris)
EU (Stockholm),EU (Stockholm)
Middle East (Bahrain),Middle East (Bahrain)
South America (Sao Paulo),South America (Sao Paulo)
