input,output
Standard A0,A0
Standard A1,A1
Standard A10,A10
Standard A11,A11
Standard A1 v2,A1v2
Standard A2,A2
Standard A2m v2,A2mv2
Standard A2 v2,A2v2
Standard A3,A3
Standard A4,A4
Standard A4m v2,A4mv2
Standard A4 v2,A4v2
Standard A5,A5
Standard A6,A6
Standard A7,A7
Standard A8,A8
Standard A8m v2,A8mv2
Standard A8 v2,A8v2
Standard A9,A9
Standard B12MS,B12MS
Standard B16MS,B16MS
Standard B1MS,B1MS
Standard B1S,B1S
Standard B20MS,B20MS
Standard B2MS,B2MS
Standard B2S,B2S
Standard B4MS,B4MS
Standard B8MS,B8MS
Standard D1,D1
Standard D11,D11
Standard D11s,D11s
Standard D11 v2,D11v2
Standard D12,D12
Standard D12s,D12s
Standard D12 v2,D12v2
Standard D13,D13
Standard D13s,D13s
Standard D13 v2,D13v2
Standard D14,D14
Standard D14s,D14s
Standard D14 v2,D14v2
Standard D15i v2,D15iv2
Standard D15 v2,D15v2
Standard D16as v4,D16asv4
Standard D16a v4,D16av4
Standard D16s v3,D16sv3
Standard D16 v3,D16v3
Standard D1s,D1s
Standard D1 v2,D1v2
Standard D2,D2
Standard D2as v4,D2asv4
Standard D2a v4,D2av4
Standard D2s,D2s
Standard D2s v3,D2sv3
Standard D2 v2,D2v2
Standard D2 v3,D2v3
Standard D3,D3
Standard D32as v4,D32asv4
Standard D32a v4,D32av4
Standard D32s v3,D32sv3
Standard D32 v3,D32v3
Standard D3s,D3s
Standard D3 v2,D3v2
Standard D4,D4
Standard D48as v4,D48asv4
Standard D48a v4,D48av4
Standard D48s v3,D48sv3
Standard D48 v3,D48v3
Standard D4as v4,D4asv4
Standard D4a v4,D4av4
Standard D4s,D4s
Standard D4s v3,D4sv3
Standard D4 v2,D4v2
Standard D4 v3,D4v3
Standard D5 v2,D5v2
Standard D64as v4,D64asv4
Standard D64a v4,D64av4
Standard D64s v3,D64sv3
Standard D64 v3,D64v3
Standard D8as v4,D8asv4
Standard D8a v4,D8av4
Standard D8s v3,D8sv3
Standard D8 v3,D8v3
Standard D96as v4,D96asv4
Standard D96a v4,D96av4
Standard DC1s v2,DC1sv2
Standard DC2s,DC2s
Standard DC2s v2,DC2sv2
Standard DC4s,DC4s
Standard DC4s v2,DC4sv2
Standard DC8s v2,DC8sv2
Standard DS11-1 v2,DS11-1v2
Standard DS11 v2,DS11v2
Standard DS12-1 v2,DS12-1v2
Standard DS12-2 v2,DS12-2v2
Standard DS12 v2,DS12v2
Standard DS13-2 v2,DS13-2v2
Standard DS13-4 v2,DS13-4v2
Standard DS13 v2,DS13v2
Standard DS14-4 v2,DS14-4v2
Standard DS14-8 v2,DS14-8v2
Standard DS14 v2,DS14v2
Standard DS15i v2,DS15iv2
Standard DS15 v2,DS15v2
Standard DS1 v2,DS1v2
Standard DS2 v2,DS2v2
Standard DS3 v2,DS3v2
Standard DS4 v2,DS4v2
Standard DS5 v2,DS5v2
Standard E16-4s v3,E16-4sv3
Standard E16-8s v3,E16-8sv3
Standard E16as v4,E16asv4
Standard E16a v4,E16av4
Standard E16s v3,E16sv3
Standard E16 v3,E16v3
Standard E20as v4,E20asv4
Standard E20a v4,E20av4
Standard E20s v3,E20sv3
Standard E20 v3,E20v3
Standard E2as v4,E2asv4
Standard E2a v4,E2av4
Standard E2s v3,E2sv3
Standard E2 v3,E2v3
Standard E32-16s v3,E32-16sv3
Standard E32-8s v3,E32-8sv3
Standard E32as v4,E32asv4
Standard E32a v4,E32av4
Standard E32s v3,E32sv3
Standard E32 v3,E32v3
Standard E4-2s v3,E4-2sv3
Standard E48as v4,E48asv4
Standard E48a v4,E48av4
Standard E48s v3,E48sv3
Standard E48 v3,E48v3
Standard E4as v4,E4asv4
Standard E4a v4,E4av4
Standard E4s v3,E4sv3
Standard E4 v3,E4v3
Standard E64-16s v3,E64-16sv3
Standard E64-32s v3,E64-32sv3
Standard E64as v4,E64asv4
Standard E64a v4,E64av4
Standard E64is v3,E64isv3
Standard E64i v3,E64iv3
Standard E64s v3,E64sv3
Standard E64 v3,E64v3
Standard E8-2s v3,E8-2sv3
Standard E8-4s v3,E8-4sv3
Standard E8as v4,E8asv4
Standard E8a v4,E8av4
Standard E8s v3,E8sv3
Standard E8 v3,E8v3
Standard E96as v4,E96asv4
Standard E96a v4,E96av4
Standard F1,F1
Standard F16,F16
Standard F16s,F16s
Standard F16s v2,F16sv2
Standard F1s,F1s
Standard F2,F2
Standard F2s,F2s
Standard F2s v2,F2sv2
Standard F32s v2,F32sv2
Standard F4,F4
Standard F48s v2,F48sv2
Standard F4s,F4s
Standard F4s v2,F4sv2
Standard F64s v2,F64sv2
Standard F72s v2,F72sv2
Standard F8,F8
Standard F8s,F8s
Standard F8s v2,F8sv2
Standard G1,G1
Standard G2,G2
Standard G3,G3
Standard G4,G4
Standard G5,G5
Standard Gs1,Gs1
Standard Gs2,Gs2
Standard Gs3,Gs3
Standard Gs4,Gs4
Standard Gs4-4,Gs4-4
Standard Gs4-8,Gs4-8
Standard Gs5,Gs5
Standard Gs5-16,Gs5-16
Standard Gs5-8,Gs5-8
Standard H16,H16
Standard H16m,H16m
Standard H16mr,H16mr
Standard H16r,H16r
Standard H8,H8
Standard H8m,H8m
Standard HB120rs v2,HB120rsv2
Standard HB60rs,HB60rs
Standard HC44rs,HC44rs
Standard L16s,L16s
Standard L16s v2,L16sv2
Standard L32s,L32s
Standard L32s v2,L32sv2
Standard L48s v2,L48sv2
Standard L4s,L4s
Standard L64s v2,L64sv2
Standard L80s v2,L80sv2
Standard L8s,L8s
Standard L8s v2,L8sv2
Standard M128,M128
Standard M128-32ms,M128-32ms
Standard M128-64ms,M128-64ms
Standard M128m,M128m
Standard M128ms,M128ms
Standard M128s,M128s
Standard M16-8ms,M16-8ms
Standard M16ms,M16ms
Standard M208ms v2,M208msv2
Standard M208s v2,M208sv2
Standard M32ls,M32ls
Standard M32ms,M32ms
Standard M32ts,M32ts
Standard M416ms v2,M416msv2
Standard M416s v2,M416sv2
Standard M64,M64
Standard M64-16ms,M64-16ms
Standard M64-32ms,M64-32ms
Standard M64ls,M64ls
Standard M64m,M64m
Standard M64ms,M64ms
Standard M64s,M64s
Standard M8ms,M8ms
Standard NC12,NC12
Standard NC12s v2,NC12sv2
Standard NC12s v3,NC12sv3
Standard NC24,NC24
Standard NC24r,NC24r
Standard NC24rs v2,NC24rsv2
Standard NC24rs v3,NC24rsv3
Standard NC24s v2,NC24sv2
Standard NC24s v3,NC24sv3
Standard NC6,NC6
Standard NC6s v2,NC6sv2
Standard NC6s v3,NC6sv3
Standard ND12s,ND12s
Standard ND24rs,ND24rs
Standard ND24s,ND24s
Standard ND40rs v2,ND40rsv2
Standard ND6s,ND6s
Standard NV12,NV12
Standard NV12s v3,NV12sv3
Standard NV16as v4,NV16asv4
Standard NV24,NV24
Standard NV24s v3,NV24sv3
Standard NV32as v4,NV32asv4
Standard NV48s v3,NV48sv3
Standard NV4as v4,NV4asv4
Standard NV6,NV6
Standard NV8as v4,NV8asv4
Standard PB12s,PB12s
Standard PB24s,PB24s
Standard PB6s,PB6s
