input,output
linux,sles-enterprise-basic
linux,redhat-ondemand
linux,rhel-sap-business-applications
linux,rhel-sap-hana
linux,sles-enterprise-standard
linux,sles-enterprise-priority
linux,sles-hpc-priority
linux,sles-hpc-standard
linux,sles-sap-priority
linux,ubuntu-advantage-essential
linux,ubuntu-advantage-standard
linux,ubuntu-advantage-advanced
linux,sql-redhat-enterprise
linux,sql-linux-enterprise
linux,sql-enterprise
linux,sql-linux-standard
linux,sql-linux-web
linux,sql-redhat-standard
linux,sql-redhat-web
linux,sql-sles-priority-enterprise
linux,sql-sles-priority-standard
linux,sql-sles-priority-web
windows,biztalk-enterprise
windows,biztalk-standard
windows,sql-enterprise
windows,sql-standard
windows,sql-web
