input,output
Standard_A0,standard-a0
Standard_A1,standard-a1
Standard_A10,standard-a10
Standard_A11,standard-a11
Standard_A1_v2,standard-a1-v2
Standard_A2,standard-a2
Standard_A2m_v2,standard-a2m-v2
Standard_A2_v2,standard-a2-v2
Standard_A3,standard-a3
Standard_A4,standard-a4
Standard_A4m_v2,standard-a4m-v2
Standard_A4_v2,standard-a4-v2
Standard_A5,standard-a5
Standard_A6,standard-a6
Standard_A7,standard-a7
Standard_A8,standard-a8
Standard_A8m_v2,standard-a8m-v2
Standard_A8_v2,standard-a8-v2
Standard_A9,standard-a9
Standard_B12MS,standard-b12ms
Standard_B16MS,standard-b16ms
Standard_B1MS,standard-b1ms
Standard_B1S,standard-b1s
Standard_B20MS,standard-b20ms
Standard_B2MS,standard-b2ms
Standard_B2S,standard-b2s
Standard_B4MS,standard-b4ms
Standard_B8MS,standard-b8ms
Standard_D1,standard-d1
Standard_D11,standard-d11
Standard_D11s,standard-d11s
Standard_D11_v2,standard-d11-v2
Standard_D12,standard-d12
Standard_D12s,standard-d12s
Standard_D12_v2,standard-d12-v2
Standard_D13,standard-d13
Standard_D13s,standard-d13s
Standard_D13_v2,standard-d13-v2
Standard_D14,standard-d14
Standard_D14s,standard-d14s
Standard_D14_v2,standard-d14-v2
Standard_D15i_v2,standard-d15i-v2
Standard_D15_v2,standard-d15-v2
Standard_D16as_v4,standard-d16as-v4
Standard_D16a_v4,standard-d16a-v4
Standard_D16ds_v4,standard-d16ds-v4
Standard_D16d_v4,standard-d16d-v4
Standard_D16s_v3,standard-d16s-v3
Standard_D16s_v4,standard-d16s-v4
Standard_D16_v3,standard-d16-v3
Standard_D16_v4,standard-d16-v4
Standard_D1s,standard-d1s
Standard_D1_v2,standard-d1-v2
Standard_D2,standard-d2
Standard_D2as_v4,standard-d2as-v4
Standard_D2a_v4,standard-d2a-v4
Standard_D2ds_v4,standard-d2ds-v4
Standard_D2d_v4,standard-d2d-v4
Standard_D2s,standard-d2s
Standard_D2s_v3,standard-d2s-v3
Standard_D2s_v4,standard-d2s-v4
Standard_D2_v2,standard-d2-v2
Standard_D2_v3,standard-d2-v3
Standard_D2_v4,standard-d2-v4
Standard_D3,standard-d3
Standard_D32as_v4,standard-d32as-v4
Standard_D32a_v4,standard-d32a-v4
Standard_D32ds_v4,standard-d32ds-v4
Standard_D32d_v4,standard-d32d-v4
Standard_D32s_v3,standard-d32s-v3
Standard_D32s_v4,standard-d32s-v4
Standard_D32_v3,standard-d32-v3
Standard_D32_v4,standard-d32-v4
Standard_D3s,standard-d3s
Standard_D3_v2,standard-d3-v2
Standard_D4,standard-d4
Standard_D48as_v4,standard-d48as-v4
Standard_D48a_v4,standard-d48a-v4
Standard_D48ds_v4,standard-d48ds-v4
Standard_D48d_v4,standard-d48d-v4
Standard_D48s_v3,standard-d48s-v3
Standard_D48s_v4,standard-d48s-v4
Standard_D48_v3,standard-d48-v3
Standard_D48_v4,standard-d48-v4
Standard_D4as_v4,standard-d4as-v4
Standard_D4a_v4,standard-d4a-v4
Standard_D4ds_v4,standard-d4ds-v4
Standard_D4d_v4,standard-d4d-v4
Standard_D4s,standard-d4s
Standard_D4s_v3,standard-d4s-v3
Standard_D4s_v4,standard-d4s-v4
Standard_D4_v2,standard-d4-v2
Standard_D4_v3,standard-d4-v3
Standard_D4_v4,standard-d4-v4
Standard_D5_v2,standard-d5-v2
Standard_D64as_v4,standard-d64as-v4
Standard_D64a_v4,standard-d64a-v4
Standard_D64ds_v4,standard-d64ds-v4
Standard_D64d_v4,standard-d64d-v4
Standard_D64s_v3,standard-d64s-v3
Standard_D64s_v4,standard-d64s-v4
Standard_D64_v3,standard-d64-v3
Standard_D64_v4,standard-d64-v4
Standard_D8as_v4,standard-d8as-v4
Standard_D8a_v4,standard-d8a-v4
Standard_D8ds_v4,standard-d8ds-v4
Standard_D8d_v4,standard-d8d-v4
Standard_D8s_v3,standard-d8s-v3
Standard_D8s_v4,standard-d8s-v4
Standard_D8_v3,standard-d8-v3
Standard_D8_v4,standard-d8-v4
