input,output
eastasia,East Asia
southeastasia,Southeast Asia
australiacentral,Australia Central
australiacentral2,Australia Central 2
australiaeast,Australia East
australiasoutheast,Australia Southeast
brazilsouth,Brazil South
canadacentral,Canada Central
canadaeast,Canada East
centralindia,Central India
southindia,South India
westindia,West India
northeurope,North Europe
westeurope,West Europe
francecentral,France Central
francesouth,France South
germanycentral,Germany Central
germanynorth,Germany North
germanynortheast,Germany Northeast
germanywestcentral,Germany West Central
japaneast,Japan East
japanwest,Japan West
koreacentral,Korea Central
koreasouth,Korea South
norwayeast,Norway East
norwaywest,Norway West
southafricanorth,South Africa North
southafricawest,South Africa West
switzerlandnorth,Switzerland North
switzerlandwest,Switzerland West
uaecentral,UAE Central
uaenorth,UAE North
unitedkingdomsouth,United Kingdom South
unitedkingdomwest,United Kingdom West
centralus,Central US
eastus,East US
eastus2,East US 2
northcentralus,North Central US
southcentralus,South Central US
westcentralus,West Central US
westus,West US
westus2,West US 2
