input,output
asia-east1,Asia East 1b
asia-east2,Asia East 2b
asia-northeast1,Asia Northeast 1b
asia-northeast2,Asia Northeast 2b
asia-northeast3,Asia Northeast 3b
asia-south1,Asia South 1b
asia-southeast1,Asia Southeast 1b
australia-southeast1,Australia Southeast 1b
europe-north1,Europe North 1b
europe-west1,Europe West 1b
europe-west2,Europe West 2b
europe-west3,Europe West 3b
europe-west4,Europe West 4b
europe-west6,Europe West 6b
northamerica-northeast1,Northamerica Northeast 1b
southamerica-east1,Southamerica East 1b
us-central1,US Central 1b
us-east1,US East 1b
us-east4,US East 4b
us-west1,US West 1b
us-west2,US West 2b
