input,output
n1-highmem-64,N1 High Mem 64
n1-highmem-32,N1 High Mem 32
n1-standrad-4,N1 Standard 4
g1-small,G1 SMALL
n1-standrad-32,N1 Standard 32
n1-highmem-8,N1 High Mem 8
n1-standrad-96,N1 Standard 96
n1-highcpu-2,N1 High CPU 2
n1-highmem-4,N1 High Mem 4
n1-standrad-2,N1 Standard 2
n1-highcpu-16,N1 High CPU 16
n1-standrad-1,N1 Standard 1
n1-ultramem-40,N1 ULTRAMEM 40
n1-highcpu-4,N1 High CPU 4
n1-highcpu-32,N1 High CPU 32
tandard-1,TANDARD 1
n1-highmem-96,N1 High Mem 96
n1-highmem-2,N1 High Mem 2
n1-highcpu-96,N1 High CPU 96
n1-highmem-16,N1 High Mem 16
n1-ultramem-80,N1 ULTRAMEM 80
f1-micro,F1 MICRO
n1-megamem-96,N1 MEGAMEM 96
n1-highcpu-64,N1 High CPU 64
n1-standrad-16,N1 Standard 16
n1-ultramem-160,N1 ULTRAMEM 160
n1-standrad-8,N1 Standard 8
n1-standrad-64,N1 Standard 64
n1-highcpu-8,N1 High CPU 8
