input,output
N1 Standard 1,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-1
N1 Standard 2,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-2
N1 Standard 4,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-4
N1 Standard 8,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-8
N1 Standard 16,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-16
N1 Standard 32,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-32
N1 Standard 64,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-64
N1 Standard 96,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-96
N1 High Mem 2,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-2
N1 High Mem 4,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-4
N1 High Mem 8,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-8
N1 High Mem 16,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-16
N1 High Mem 32,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-32
N1 High Mem 64,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-64
N1 High Mem 96,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-96
N1 High CPU 2,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-2
N1 High CPU 4,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-4
N1 High CPU 8,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-8
N1 High CPU 16,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-16
N1 High CPU 32,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-32
N1 High CPU 64,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-64
N1 High CPU 96,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-96
N2 Standard 2,CP-COMPUTEENGINE-VMIMAGE-N2-STANDARD-2
N2 Standard 4,CP-COMPUTEENGINE-VMIMAGE-N2-STANDARD-4
N2 Standard 8,CP-COMPUTEENGINE-VMIMAGE-N2-STANDARD-8
N2 Standard 16,CP-COMPUTEENGINE-VMIMAGE-N2-STANDARD-16
N2 Standard 32,CP-COMPUTEENGINE-VMIMAGE-N2-STANDARD-32
N2 Standard 48,CP-COMPUTEENGINE-VMIMAGE-N2-STANDARD-48
N2 Standard 64,CP-COMPUTEENGINE-VMIMAGE-N2-STANDARD-64
N2 Standard 80,CP-COMPUTEENGINE-VMIMAGE-N2-STANDARD-80
N2 High Mem 2,CP-COMPUTEENGINE-VMIMAGE-N2-HIGHMEM-2
N2 High Mem 4,CP-COMPUTEENGINE-VMIMAGE-N2-HIGHMEM-4
N2 High Mem 8,CP-COMPUTEENGINE-VMIMAGE-N2-HIGHMEM-8
N2 High Mem 16,CP-COMPUTEENGINE-VMIMAGE-N2-HIGHMEM-16
N2 High Mem 32,CP-COMPUTEENGINE-VMIMAGE-N2-HIGHMEM-32
N2 High Mem 48,CP-COMPUTEENGINE-VMIMAGE-N2-HIGHMEM-48
N2 High Mem 64,CP-COMPUTEENGINE-VMIMAGE-N2-HIGHMEM-64
N2 High Mem 80,CP-COMPUTEENGINE-VMIMAGE-N2-HIGHMEM-80
N2 High CPU 2,CP-COMPUTEENGINE-VMIMAGE-N2-HIGHCPU-2
N2 High CPU 4,CP-COMPUTEENGINE-VMIMAGE-N2-HIGHCPU-4
N2 High CPU 8,CP-COMPUTEENGINE-VMIMAGE-N2-HIGHCPU-8
N2 High CPU 16,CP-COMPUTEENGINE-VMIMAGE-N2-HIGHCPU-16
N2 High CPU 32,CP-COMPUTEENGINE-VMIMAGE-N2-HIGHCPU-32
N2 High CPU 48,CP-COMPUTEENGINE-VMIMAGE-N2-HIGHCPU-48
N2 High CPU 64,CP-COMPUTEENGINE-VMIMAGE-N2-HIGHCPU-64
N2 High CPU 80,CP-COMPUTEENGINE-VMIMAGE-N2-HIGHCPU-80
N2D Standard 2,CP-COMPUTEENGINE-VMIMAGE-N2D-STANDARD-2
N2D Standard 4,CP-COMPUTEENGINE-VMIMAGE-N2D-STANDARD-4
N2D Standard 8,CP-COMPUTEENGINE-VMIMAGE-N2D-STANDARD-8
N2D Standard 16,CP-COMPUTEENGINE-VMIMAGE-N2D-STANDARD-16
N2D Standard 32,CP-COMPUTEENGINE-VMIMAGE-N2D-STANDARD-32
N2D Standard 48,CP-COMPUTEENGINE-VMIMAGE-N2D-STANDARD-48
N2D Standard 64,CP-COMPUTEENGINE-VMIMAGE-N2D-STANDARD-64
N2D Standard 80,CP-COMPUTEENGINE-VMIMAGE-N2D-STANDARD-80
N2D Standard 96,CP-COMPUTEENGINE-VMIMAGE-N2D-STANDARD-96
N2D Standard 128,CP-COMPUTEENGINE-VMIMAGE-N2D-STANDARD-128
N2D Standard 224,CP-COMPUTEENGINE-VMIMAGE-N2D-STANDARD-224
N2D High Mem 2,CP-COMPUTEENGINE-VMIMAGE-N2D-HIGHMEM-2
N2D High Mem 4,CP-COMPUTEENGINE-VMIMAGE-N2D-HIGHMEM-4
N2D High Mem 8,CP-COMPUTEENGINE-VMIMAGE-N2D-HIGHMEM-8
N2D High Mem 16,CP-COMPUTEENGINE-VMIMAGE-N2D-HIGHMEM-16
N2D High Mem 32,CP-COMPUTEENGINE-VMIMAGE-N2D-HIGHMEM-32
N2D High Mem 48,CP-COMPUTEENGINE-VMIMAGE-N2D-HIGHMEM-48
N2D High Mem 64,CP-COMPUTEENGINE-VMIMAGE-N2D-HIGHMEM-64
N2D High Mem 80,CP-COMPUTEENGINE-VMIMAGE-N2D-HIGHMEM-80
N2D High Mem 96,CP-COMPUTEENGINE-VMIMAGE-N2D-HIGHMEM-96
N2D High CPU 2,CP-COMPUTEENGINE-VMIMAGE-N2D-HIGHCPU-2
N2D High CPU 4,CP-COMPUTEENGINE-VMIMAGE-N2D-HIGHCPU-4
N2D High CPU 8,CP-COMPUTEENGINE-VMIMAGE-N2D-HIGHCPU-8
N2D High CPU 16,CP-COMPUTEENGINE-VMIMAGE-N2D-HIGHCPU-16
N2D High CPU 32,CP-COMPUTEENGINE-VMIMAGE-N2D-HIGHCPU-32
N2D High CPU 48,CP-COMPUTEENGINE-VMIMAGE-N2D-HIGHCPU-48
N2D High CPU 64,CP-COMPUTEENGINE-VMIMAGE-N2D-HIGHCPU-64
N2D High CPU 80,CP-COMPUTEENGINE-VMIMAGE-N2D-HIGHCPU-80
