input,output
Asia East 1a,asia-east1-a
Asia East 1b,asia-east1-b
Asia East 1c,asia-east1-c
Asia East 2a,asia-east2-a
Asia East 2b,asia-east2-b
Asia East 2c,asia-east2-c
Asia Northeast 1a,asia-northeast1-a
Asia Northeast 1b,asia-northeast1-b
Asia Northeast 1c,asia-northeast1-c
Asia Northeast 2a,asia-northeast2-a
Asia Northeast 2b,asia-northeast2-b
Asia Northeast 2c,asia-northeast2-c
Asia Northeast 3a,asia-northeast3-a
Asia Northeast 3b,asia-northeast3-b
Asia Northeast 3c,asia-northeast3-c
Asia South 1a,asia-south1-a
Asia South 1b,asia-south1-b
Asia South 1c,asia-south1-c
Asia Southeast 1a,asia-southeast1-a
Asia Southeast 1b,asia-southeast1-b
Asia Southeast 1c,asia-southeast1-c
Asia Southeast 2a,asia-southeast2-a
Asia Southeast 2b,asia-southeast2-b
Asia Southeast 2c,asia-southeast2-c
Australia Southeast 1a,australia-southeast1-a
Australia Southeast 1b,australia-southeast1-b
Australia Southeast 1c,australia-southeast1-c
Europe North 1a,europe-north1-a
Europe North 1b,europe-north1-b
Europe North 1c,europe-north1-c
Europe West 1b,europe-west1-b
Europe West 1c,europe-west1-c
Europe West 1d,europe-west1-d
Europe West 2a,europe-west2-a
Europe West 2b,europe-west2-b
Europe West 2c,europe-west2-c
Europe West 3a,europe-west3-a
Europe West 3b,europe-west3-b
Europe West 3c,europe-west3-c
Europe West 4a,europe-west4-a
Europe West 4b,europe-west4-b
Europe West 4c,europe-west4-c
Europe West 6a,europe-west6-a
Europe West 6b,europe-west6-b
Europe West 6c,europe-west6-c
Northamerica Northeast 1a,northamerica-northeast1-a
Northamerica Northeast 1b,northamerica-northeast1-b
Northamerica Northeast 1c,northamerica-northeast1-c
Southamerica East 1a,southamerica-east1-a
Southamerica East 1b,southamerica-east1-b
Southamerica East 1c,southamerica-east1-c
US Central 1a,us-central1-a
US Central 1b,us-central1-b
US Central 1c,us-central1-c
US Central 1f,us-central1-f
US East 1b,us-east1-b
US East 1c,us-east1-c
US East 1d,us-east1-d
US East 4a,us-east4-a
US East 4b,us-east4-b
US East 4c,us-east4-c
US West 1a,us-west1-a
US West 1b,us-west1-b
US West 1c,us-west1-c
US West 2a,us-west2-a
US West 2b,us-west2-b
US West 2c,us-west2-c
US West 3a,us-west3-a
US West 3b,us-west3-b
US West 3c,us-west3-c
US West 4a,us-west4-a
US West 4b,us-west4-b
US West 4c,us-west4-c
