provider,instancetype,cpu,memory,family
azure,standard-a0,1,0.75,A0
azure,standard-a1,1,1.75,A1-A4
azure,standard-a2,2,3.5,A1-A4
azure,standard-a3,4,7,A1-A4
azure,standard-a4,8,14,A1-A4
azure,standard-a5,2,14,A5-A7
azure,standard-a6,4,28,A5-A7
azure,standard-a7,8,56,A5-A7
azure,standard-a8,8,56,A8-A9
azure,standard-a9,16,112,A8-A9
azure,standard-a10,8,56,A10-A11
azure,standard-a11,16,112,A10-A11
azure,standard-b1ms,1,2,B1MS-B8MS
azure,standard-a1-v2,1,2,A1v2-A8v2
azure,standard-a2m-v2,2,16,A2Mv2-A8Mv2
azure,standard-a2-v2,2,4,A1V2-A8V2
azure,standard-a4m-v2,4,32,A2Mv2-A8Mv2
azure,standard-a4-v2,4,8,A1v2-A8v2
azure,standard-a8m-v2,8,64,A2Mv2-A8Mv2
azure,standard-a8-v2,8,16,A1v2-A8v2
azure,standard-b1s,1,1,B1S-B2S
azure,standard-b2ms,2,8,B1MS-B8MS
azure,standard-b2s,2,4,B1S-B2S
azure,standard-b4ms,4,16,B1MS-B8MS
azure,standard-b8ms,8,32,B1MS-B8MS
azure,standard-d1,1,3.5,D1-D4
azure,standard-d2,2,7,D1-D4
azure,standard-d3,4,14,D1-D4
azure,standard-d4,8,28,D1-D4
azure,standard-d11,2,14,D11-D14
azure,standard-d12,4,28,D11-D14
azure,standard-d13,8,56,D11-D14
azure,standard-d14,16,112,D11-D14
azure,standard-d1s,1,3.5,D1S-D4S
azure,standard-d2s,2,7,D1S-D4S
azure,standard-d3s,4,14,D1S-D4S
azure,standard-d4s,8,28,D1S-D4S
azure,standard-d11s,2,14,D11S-D14S
azure,standard-d12s,4,28,D11S-D14S
azure,standard-d13s,8,56,D11S-D14S
azure,standard-d14s,16,112,D11S-D14S
azure,standard-d11-v2,2,14,D11v2-D15v2
azure,standard-d12-v2,4,28,D11v2-D15v2
azure,standard-d13-v2,8,56,D11v2-D15v2
azure,standard-d14-v2,16,112,D11v2-D15v2
azure,standard-d15-v2,20,140,D11v2-D15v2
azure,standard-d16s-v3,16,64,D2Sv3-D64Sv3
azure,standard-d16-v3,16,64,D2v3-D64v3
azure,standard-d1-v2,1,3.5,D1v2-D5v2
azure,standard-d2s-v3,2,8,D2Sv3-D64Sv3
azure,standard-d2-v2,2,7,D1v2-D5v2
azure,standard-d2-v3,2,8,D2v3-D64v3
azure,standard-d32s-v3,32,128,D2Sv3-D64Sv3
azure,standard-d32-v3,32,128,D2v3-D64v3
azure,standard-d3-v2,4,14,D1v2-D5v2
azure,standard-d4s-v3,4,16,D2Sv3-D64Sv3
azure,standard-d4-v2,8,28,D1v2-D5v2
azure,standard-d4-v3,4,16,D2Sv3-D64Sv3
azure,standard-d5-v2,16,56,D1v2-D5v2
azure,standard-d64s-v3,64,256,D2Sv3-D64Sv3
azure,standard-d64-v3,64,256,D2v3-D64v3
azure,standard-d8s-v3,8,32,D2Sv3-D64Sv3
azure,standard-d8-v3,8,32,D2v3-D64v3
azure,standard-dc2s,2,8,DC2S-DC4S
azure,standard-dc4s,4,16,DC2S-DC4S
azure,standard-ds1,1,3.5,DS1-DS4
azure,standard-ds2,2,7,DS1-DS4
azure,standard-ds3,4,14,DS1-DS4
azure,standard-ds4,8,28,DS1-DS4
azure,standard-ds11-1-v2,1,14,DS111v2-DS148v2
azure,standard-ds11-v2,2,14,DS11v2-DS15v2
azure,standard-ds12-1-v2,1,28,DS121v2-DS144v2
azure,standard-ds12-2-v2,2,28,DS111v2-DS148v2
azure,standard-ds12-v2,4,28,DS11v2-DS15v2
azure,standard-ds13-2-v2,2,56,DS121v2-DS144v2
azure,standard-ds13-4-v2,4,56,DS111v2-DS148v2
azure,standard-ds13-v2,8,56,DS11v2-DS15v2
azure,standard-ds14-4-v2,4,112,DS121v2-DS144v2
azure,standard-ds14-8-v2,8,112,DS111v2-DS148v2
azure,standard-ds14-v2,16,112,DS11v2-DS15v2
azure,standard-ds15-v2,20,140,DS11v2-DS15v2
azure,standard-ds1-v2,1,3.5,DS1v2-DS4v2
azure,standard-ds2-v2,2,7,DS1v2-DS4v2
azure,standard-ds3-v2,4,14,DS1v2-DS4v2
azure,standard-ds4-v2,8,28,DS1v2-DS4v2
azure,standard-ds5-v2,16,56,DS1v2-DS4v2
azure,standard-e16-4s-v3,4,128,4ESv3
azure,standard-e16-8s-v3,8,128,2ESv3
azure,standard-e16s-v3,16,128,E2Sv3-E64Sv3
