provider,region,instance,family
aws,Asia Pacific (Seoul),a1.2xlarge,general-purpose-arm
aws,Asia Pacific (Seoul),a1.4xlarge,general-purpose-arm
aws,Asia Pacific (Seoul),a1.large,general-purpose-arm
aws,Asia Pacific (Seoul),a1.medium,general-purpose-arm
aws,Asia Pacific (Seoul),a1.metal,general-purpose-arm
aws,Asia Pacific (Seoul),a1.xlarge,general-purpose-arm
aws,Asia Pacific (Seoul),c1.medium,na
aws,Asia Pacific (Seoul),c1.xlarge,na
aws,Asia Pacific (Seoul),c3.2xlarge,compute-optimized
aws,Asia Pacific (Seoul),c3.4xlarge,compute-optimized
aws,Asia Pacific (Seoul),c3.8xlarge,compute-optimized
aws,Asia Pacific (Seoul),c3.large,compute-optimized
aws,Asia Pacific (Seoul),c3.xlarge,compute-optimized
aws,Asia Pacific (Seoul),c4.2xlarge,compute-optimized
aws,Asia Pacific (Seoul),c4.4xlarge,compute-optimized
aws,Asia Pacific (Seoul),c4.8xlarge,compute-optimized
aws,Asia Pacific (Seoul),c4.large,compute-optimized
aws,Asia Pacific (Seoul),c4.xlarge,compute-optimized
aws,Asia Pacific (Seoul),c5.12xlarge,compute-optimized
aws,Asia Pacific (Seoul),c5.18xlarge,compute-optimized
aws,Asia Pacific (Seoul),c5.24xlarge,compute-optimized
aws,Asia Pacific (Seoul),c5.2xlarge,compute-optimized
aws,Asia Pacific (Seoul),c5.4xlarge,compute-optimized
aws,Asia Pacific (Seoul),c5.9xlarge,compute-optimized
aws,Asia Pacific (Seoul),c5.large,compute-optimized
aws,Asia Pacific (Seoul),c5.metal,compute-optimized
aws,Asia Pacific (Seoul),c5.xlarge,compute-optimized
aws,Asia Pacific (Seoul),c5d.12xlarge,compute-optimized
aws,Asia Pacific (Seoul),c5d.18xlarge,compute-optimized
aws,Asia Pacific (Seoul),c5d.24xlarge,compute-optimized
aws,Asia Pacific (Seoul),c5d.2xlarge,compute-optimized
aws,Asia Pacific (Seoul),c5d.4xlarge,compute-optimized
aws,Asia Pacific (Seoul),c5d.9xlarge,compute-optimized
aws,Asia Pacific (Seoul),c5d.large,compute-optimized
aws,Asia Pacific (Seoul),c5d.metal,compute-optimized
aws,Asia Pacific (Seoul),c5d.xlarge,compute-optimized
aws,Asia Pacific (Seoul),c5n.18xlarge,compute-optimized
aws,Asia Pacific (Seoul),c5n.2xlarge,compute-optimized
aws,Asia Pacific (Seoul),c5n.4xlarge,compute-optimized
aws,Asia Pacific (Seoul),c5n.9xlarge,compute-optimized
aws,Asia Pacific (Seoul),c5n.large,compute-optimized
aws,Asia Pacific (Seoul),c5n.metal,compute-optimized
aws,Asia Pacific (Seoul),c5n.xlarge,compute-optimized
aws,Asia Pacific (Seoul),cc2.8xlarge,compute-optimized
aws,Asia Pacific (Seoul),cr1.8xlarge,na
aws,Asia Pacific (Seoul),d2.2xlarge,storage-optimized
aws,Asia Pacific (Seoul),d2.4xlarge,storage-optimized
aws,Asia Pacific (Seoul),d2.8xlarge,storage-optimized
aws,Asia Pacific (Seoul),d2.xlarge,storage-optimized
aws,Asia Pacific (Seoul),f1.16xlarge,gpu
aws,Asia Pacific (Seoul),f1.2xlarge,gpu
aws,Asia Pacific (Seoul),f1.4xlarge,gpu
aws,Asia Pacific (Seoul),g2.2xlarge,gpu
aws,Asia Pacific (Seoul),g2.8xlarge,gpu
aws,Asia Pacific (Seoul),g3.16xlarge,gpu
aws,Asia Pacific (Seoul),g3.4xlarge,gpu
aws,Asia Pacific (Seoul),g3.8xlarge,gpu
aws,Asia Pacific (Seoul),g3s.xlarge,na
aws,Asia Pacific (Seoul),g4dn.12xlarge,gpu
aws,Asia Pacific (Seoul),g4dn.16xlarge,gpu
aws,Asia Pacific (Seoul),g4dn.2xlarge,gpu
aws,Asia Pacific (Seoul),g4dn.4xlarge,gpu
aws,Asia Pacific (Seoul),g4dn.8xlarge,gpu
aws,Asia Pacific (Seoul),g4dn.xlarge,gpu
aws,Asia Pacific (Seoul),h1.16xlarge,storage-optimized
aws,Asia Pacific (Seoul),h1.2xlarge,storage-optimized
aws,Asia Pacific (Seoul),h1.4xlarge,storage-optimized
aws,Asia Pacific (Seoul),h1.8xlarge,storage-optimized
aws,Asia Pacific (Seoul),hs1.8xlarge,na
aws,Asia Pacific (Seoul),i2.2xlarge,storage-optimized
aws,Asia Pacific (Seoul),i2.4xlarge,storage-optimized
