input,output
m5d.4xlarge,m5d.4xlarge
x1e.16xlarge,x1e.16xlarge
r4.16xlarge,r4.16xlarge
t2.large,t2.large
c4.8xlarge,c4.8xlarge
t3.micro,t3.micro
r4.8xlarge,r4.8xlarge
c5n.18xlarge,c5n.18xlarge
c5n.9xlarge,c5n.9xlarge
t3.small,t3.small
m5d.12xlarge,m5d.12xlarge
c5.large,c5.large
c5n.large,c5n.large
d2.4xlarge,d2.4xlarge
t2.xlarge,t2.xlarge
d2.8xlarge,d2.8xlarge
x1e.32xlarge,x1e.32xlarge
c5.xlarge,c5.xlarge
t3.2xlarge,t3.2xlarge
r4.xlarge,r4.xlarge
f1.4xlarge,f1.4xlarge
m4.2xlarge,m4.2xlarge
x1e.2xlarge,x1e.2xlarge
g3.16xlarge,g3.16xlarge
i3.4xlarge,i3.4xlarge
d2.2xlarge,d2.2xlarge
x1e.xlarge,x1e.xlarge
m5.24xlarge,m5.24xlarge
c5.18xlarge,c5.18xlarge
x1.16xlarge,x1.16xlarge
m4.16xlarge,m4.16xlarge
p2.8xlarge,p2.8xlarge
p3.8xlarge,p3.8xlarge
r5.xlarge,r5.xlarge
t3.large,t3.large
r4.2xlarge,r4.2xlarge
c5d.large,c5d.large
d2.xlarge,d2.xlarge
m4.xlarge,m4.xlarge
c4.large,c4.large
r5.12xlarge,r5.12xlarge
m5.12xlarge,m5.12xlarge
i3.large,i3.large
r5.large,r5.large
m5.xlarge,m5.xlarge
x1e.4xlarge,x1e.4xlarge
i3.xlarge,i3.xlarge
r4.4xlarge,r4.4xlarge
c5d.2xlarge,c5d.2xlarge
t3.medium,t3.medium
r5.24xlarge,r5.24xlarge
c4.xlarge,c4.xlarge
x1e.8xlarge,x1e.8xlarge
c5.4xlarge,c5.4xlarge
t2.nano,t2.nano
c4.4xlarge,c4.4xlarge
g3.4xlarge,g3.4xlarge
x1.32xlarge,x1.32xlarge
r5.4xlarge,r5.4xlarge
c5.2xlarge,c5.2xlarge
c5d.9xlarge,c5d.9xlarge
c5n.4xlarge,c5n.4xlarge
m5d.24xlarge,m5d.24xlarge
t2.small,t2.small
c5d.4xlarge,c5d.4xlarge
g3.8xlarge,g3.8xlarge
c5n.2xlarge,c5n.2xlarge
c5.9xlarge,c5.9xlarge
p3.16xlarge,p3.16xlarge
i3.16xlarge,i3.16xlarge
f1.16xlarge,f1.16xlarge
r5.2xlarge,r5.2xlarge
m5d.large,m5d.large
p2.16xlarge,p2.16xlarge
c5d.xlarge,c5d.xlarge
r4.large,r4.large
i3.2xlarge,i3.2xlarge
f1.2xlarge,f1.2xlarge
no,no
t2.2xlarge,t2.2xlarge
t3.xlarge,t3.xlarge
m4.large,m4.large
m5.2xlarge,m5.2xlarge
t2.medium,t2.medium
m5.large,m5.large
c5n.xlarge,c5n.xlarge
t2.micro,t2.micro
m5.4xlarge,m5.4xlarge
m5d.xlarge,m5d.xlarge
c5d.18xlarge,c5d.18xlarge
p2.xlarge,p2.xlarge
m4.4xlarge,m4.4xlarge
c4.2xlarge,c4.2xlarge
m5d.2xlarge,m5d.2xlarge
i3.8xlarge,i3.8xlarge
m4.10xlarge,m4.10xlarge
p3.2xlarge,p3.2xlarge
r5d.xlarge,r5d.xlarge
z1d.xlarge,z1d.xlarge
z1d.6xlarge,z1d.6xlarge
z1d.2xlarge,z1d.2xlarge
r5d.24xlarge,r5d.24xlarge
g3s.xlarge,g3s.xlarge
r5d.4xlarge,r5d.4xlarge
z1d.large,z1d.large
r5d.large,r5d.large
r5d.12xlarge,r5d.12xlarge
z1d.12xlarge,z1d.12xlarge
r5d.2xlarge,r5d.2xlarge
z1d.3xlarge,z1d.3xlarge
t3.nano,t3.nano
a1.medium,a1.medium
h1.4xlarge,h1.4xlarge
h1.16xlarge,h1.16xlarge
m5a.2xlarge,m5a.2xlarge
m5a.xlarge,m5a.xlarge
m5a.12xlarge,m5a.12xlarge
a1.xlarge,a1.xlarge
r5a.large,r5a.large
r5a.4xlarge,r5a.4xlarge
i3.metal,i3.metal
a1.2xlarge,a1.2xlarge
a1.large,a1.large
h1.8xlarge,h1.8xlarge
m5a.24xlarge,m5a.24xlarge
h1.2xlarge,h1.2xlarge
r5a.12xlarge,r5a.12xlarge
r5a.24xlarge,r5a.24xlarge
m5a.4xlarge,m5a.4xlarge
r5a.2xlarge,r5a.2xlarge
r5a.xlarge,r5a.xlarge
a1.4xlarge,a1.4xlarge
m5a.large,m5a.large
t3a.nano,t3a.nano
t3a.micro,t3a.micro
t3a.small,t3a.small
t3a.medium,t3a.medium
t3a.large,t3a.large
t3a.xlarge,t3a.xlarge
t3a.2xlarge,t3a.2xlarge
m1.small,m1.small
m1.medium,m1.medium
m1.large,m1.large
m1.xlarge,m1.xlarge
m2.xlarge,m2.xlarge
m2.2xlarge,m2.2xlarge
m2.4xlarge,m2.4xlarge
m3.medium,m3.medium
m3.large,m3.large
m3.xlarge,m3.xlarge
m3.2xlarge,m3.2xlarge
c1.xlarge,c1.xlarge
