input,output
Asia Pacific (Mumbai),Asia Pacific (Mumbai)
Asia Pacific (Osaka-Local),Asia Pacific (Osaka-Local)
Asia Pacific (Seoul),Asia Pacific (Seoul)
Asia Pacific (Singapore),Asia Pacific (Singapore)
Asia Pacific (Sydney),Asia Pacific (Sydney)
Asia Pacific (Tokyo),Asia Pacific (Tokyo)
AWS GovCloud (US),AWS GovCloud (US)
AWS GovCloud (US-East),AWS GovCloud (US-East)
Canada (Central),Canada (Central)
EU (Frankfurt),EU (Frankfurt)
EU (Ireland),EU (Ireland)
EU (London),EU (London)
EU (Paris),EU (Paris)
EU (Stockholm),EU (Stockholm)
South America (Sao Paulo),South America (Sao Paulo)
US East (N. Virginia),US East (N. Virginia)
US East (Ohio),US East (Ohio)
US West (N. California),US West (N. California)
US West (Oregon),US West (Oregon)
