input,output
North Central US,us-north-central
Australia East,australia-east
Southeast Asia,asia-pacific-southeast
Korea Central,korea-central
Germany Central,germany-central
West US,us-west
USgov arizona,usgov-arizona
Australia Southeast,australia-southeast
France Central,france-central
United Kingdom West,united-kingdom-west
South Central US,us-south-central
East US 2,us-east-2
South India,south-india
Australia Central 2,australia-central-2
Brazil South,brazil-south
North Europe,europe-north
France South,france-south
Germany NorthEast,germany-northeast
USgov iowa,usgov-iowa
West US 2,us-west-2
West Central US,us-west-central
West Europe,europe-west
West India,west-india
Canada Central,canada-central
USgov texas,usgov-texas
Australia Central,australia-central
Central India,central-india
East Asia,asia-pacific-east
United Kingdom South,united-kingdom-south
Japan East,japan-east
Japan West,japan-west
Central US,us-central
USgov virginia,usgov-virginia
Canada East,canada-east
East US,us-east
Korea South,korea-south
