input,output
N1 High Mem 64,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-64
N1 High Mem 32,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-32
N1 Standard 4,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-4
G1 SMALL,CP-COMPUTEENGINE-VMIMAGE-G1-SMALL
N1 Standard 32,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-32
N1 High Mem 8,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-8
N1 Standard 96,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-96
N1 High CPU 2,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-2
N1 High Mem 4,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-4
N1 Standard 2,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-2
N1 High CPU 16,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-16
N1 Standard 1,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-1
N1 ULTRAMEM 40,CP-COMPUTEENGINE-VMIMAGE-N1-ULTRAMEM-40
N1 High CPU 4,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-4
N1 High CPU 32,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-32
TANDARD 1,CP-COMPUTEENGINE-VMIMAGE-TANDARD-1
N1 High Mem 96,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-96
N1 High Mem 2,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-2
N1 High CPU 96,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-96
N1 High Mem 16,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-16
N1 ULTRAMEM 80,CP-COMPUTEENGINE-VMIMAGE-N1-ULTRAMEM-80
F1 MICRO,CP-COMPUTEENGINE-VMIMAGE-F1-MICRO
N1 MEGAMEM 96,CP-COMPUTEENGINE-VMIMAGE-N1-MEGAMEM-96
N1 High CPU 64,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-64
N1 Standard 16,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-16
N1 ULTRAMEM 160,CP-COMPUTEENGINE-VMIMAGE-N1-ULTRAMEM-160
N1 Standard 8,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-8
N1 Standard 64,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-64
N1 High CPU 8,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-8
