provider,region,continent,country,city
aws,Asia Pacific (Mumbai),Asia,India,Mumbai
aws,Asia Pacific (Osaka-Local),Asia,Japan,Osaka
aws,Asia Pacific (Seoul),Asia,South Korea,Seoul
aws,Asia Pacific (Singapore),Asia,Singapore,Singapore
aws,Asia Pacific (Sydney),Oceania,Australia,Sydney
aws,Asia Pacific (Tokyo),Asia,Japan,Tokyo
aws,Asia Pacific (Hong Kong),Asia,China,Hong Kong
aws,Canada (Central),North America,Canada,Toronto
aws,EU (Frankfurt),Europe,Germany,Frankfurt
aws,EU (Ireland),Europe,Ireland,Ireland
aws,EU (London),Europe,UK,London
aws,EU (Milan),Europe,Milan,Italia
aws,EU (Paris),Europe,France,Paris
aws,EU (Stockholm),Europe,Sweden,Stockholm
aws,Middle East (Bahrain),Asia,Bahrain,Bahrain
aws,South America (Sao Paulo),South America,Brazil,Sao Paulo
aws,US East (N. Virginia),North America,USA,Virginia
aws,US East (Ohio),North America,USA,Ohio
aws,US West (Los Angeles),North America,USA,Los Angeles
aws,US West (N. California),North America,USA,California
aws,US West (Oregon),North America,USA,Oregon
aws,Africa (Cape Town),Africa,Republic of South Africa,Cape Town
azure,North Central US,North America,USA,Illinois
azure,Australia East,Oceania,Australia,New South Wales
azure,Southeast Asia,Asia,Singapore,Singapore
azure,Korea Central,Asia,South Korea,Seoul
azure,Germany Central,Europe,Germany,Frankfurt
azure,West US,North America,USA,California
azure,Australia Southeast,Oceania,Australia,Victoria
azure,France Central,Europe,France,Paris
azure,United Kingdom West,Europe,UK,Cardiff
azure,South Central US,North America,USA,Texas
azure,East US 2,North America,USA,Virginia
azure,South India,Asia,India,Chennai
azure,Australia Central 2,Oceania,Australia,Canberra
azure,Brazil South,South America,Brazil,Sao Paulo
azure,North Europe,Europe,Ireland,Ireland
azure,France South,Europe,France,Marseille
azure,Germany Northeast,Europe,Germany,Magdeburg
azure,West US 2,North America,USA,Washington
azure,West Central US,North America,USA,Wyoming
azure,West Europe,Europe,Netherlands,Middenmeer
azure,West India,Asia,India,Mumbai
azure,Canada Central,North America,Canada,Toronto
azure,Australia Central,Oceania,Australia,Canberra
azure,Central India,Asia,India,Pune
azure,East Asia,Asia,China,Hong Kong
