,input
0,t2.medium
1,t2.large
2,t2.xlarge
3,t2.2xlarge
4,c4.large
5,c4.xlarge
6,c4.2xlarge
7,c4.4xlarge
8,c4.8xlarge
9,c5.large
10,c5.xlarge
11,c5.2xlarge
12,c5.4xlarge
13,c5.9xlarge
14,r4.large
15,r4.xlarge
16,r4.2xlarge
17,r4.4xlarge
18,r4.8xlarge
19,r4.16xlarge
20,m3.large
21,m3.xlarge
22,m3.2xlarge
23,m4.large
24,m4.xlarge
25,m4.2xlarge
26,m4.4xlarge
27,m4.10xlarge
28,m4.16xlarge
29,m5.large
30,m5.xlarge
31,m5.2xlarge
32,m5.4xlarge
33,m5.12xlarge
34,m5.24xlarge
35,p2.xlarge
36,p2.8xlarge
37,p2.16xlarge
38,p3.2xlarge
39,p3.8xlarge
40,p3.16xlarge
41,g3.4xlarge
42,g3.8xlarge
43,g3.16xlarge
