provider,region,instance,family
aws,EU (Ireland),t2.medium,general-purpose
aws,EU (Ireland),t2.large,general-purpose
aws,EU (Ireland),t2.xlarge,general-purpose
aws,EU (Ireland),t2.2xlarge,general-purpose
aws,EU (Ireland),c4.large,compute-optimized
aws,EU (Ireland),c4.xlarge,compute-optimized
aws,EU (Ireland),c4.2xlarge,compute-optimized
aws,EU (Ireland),c4.4xlarge,compute-optimized
aws,EU (Ireland),c4.8xlarge,compute-optimized
aws,EU (Ireland),c5.large,compute-optimized
aws,EU (Ireland),c5.xlarge,compute-optimized
aws,EU (Ireland),c5.2xlarge,compute-optimized
aws,EU (Ireland),c5.4xlarge,compute-optimized
aws,EU (Ireland),c5.9xlarge,compute-optimized
aws,EU (Ireland),r4.large,memory-optimized
aws,EU (Ireland),r4.xlarge,memory-optimized
aws,EU (Ireland),r4.2xlarge,memory-optimized
aws,EU (Ireland),r4.4xlarge,memory-optimized
aws,EU (Ireland),r4.8xlarge,memory-optimized
aws,EU (Ireland),r4.16xlarge,memory-optimized
aws,EU (Ireland),m3.large,general-purpose
aws,EU (Ireland),m3.xlarge,general-purpose
aws,EU (Ireland),m3.2xlarge,general-purpose
aws,EU (Ireland),m4.large,general-purpose
aws,EU (Ireland),m4.xlarge,general-purpose
aws,EU (Ireland),m4.2xlarge,general-purpose
aws,EU (Ireland),m4.4xlarge,general-purpose
aws,EU (Ireland),m4.10xlarge,general-purpose
aws,EU (Ireland),m4.16xlarge,general-purpose
aws,EU (Ireland),m5.large,general-purpose
aws,EU (Ireland),m5.xlarge,general-purpose
aws,EU (Ireland),m5.2xlarge,general-purpose
aws,EU (Ireland),m5.4xlarge,general-purpose
aws,EU (Ireland),m5.12xlarge,general-purpose
aws,EU (Ireland),m5.24xlarge,general-purpose
aws,EU (Ireland),p2.xlarge,gpu
aws,EU (Ireland),p2.8xlarge,gpu
aws,EU (Ireland),p2.16xlarge,gpu
aws,EU (Ireland),p3.2xlarge,gpu
aws,EU (Ireland),p3.8xlarge,gpu
aws,EU (Ireland),p3.16xlarge,gpu
aws,EU (Ireland),g3.4xlarge,gpu
aws,EU (Ireland),g3.8xlarge,gpu
aws,EU (Ireland),g3.16xlarge,gpu
aws,Asia Pacific (Seoul),t2.medium,general-purpose
aws,Asia Pacific (Seoul),t2.large,general-purpose
aws,Asia Pacific (Seoul),t2.xlarge,general-purpose
aws,Asia Pacific (Seoul),t2.2xlarge,general-purpose
aws,Asia Pacific (Seoul),c4.large,compute-optimized
aws,Asia Pacific (Seoul),c4.xlarge,compute-optimized
aws,Asia Pacific (Seoul),c4.2xlarge,compute-optimized
