provider,region,instance
aws,EU (London),t2.medium
aws,EU (London),t2.large
aws,EU (London),t2.xlarge
aws,EU (London),t2.2xlarge
aws,EU (London),c4.large
aws,EU (London),c4.xlarge
aws,EU (London),c4.2xlarge
aws,EU (London),c4.4xlarge
aws,EU (London),c4.8xlarge
aws,EU (London),c5.large
aws,EU (London),c5.xlarge
aws,EU (London),c5.2xlarge
aws,EU (London),c5.4xlarge
aws,EU (London),c5.9xlarge
aws,EU (London),r4.large
aws,EU (London),r4.xlarge
aws,EU (London),r4.2xlarge
aws,EU (London),r4.4xlarge
aws,EU (London),r4.8xlarge
aws,EU (London),r4.16xlarge
aws,EU (London),m3.large
aws,EU (London),m3.xlarge
aws,EU (London),m3.2xlarge
aws,EU (London),m4.large
aws,EU (London),m4.xlarge
aws,EU (London),m4.2xlarge
aws,EU (London),m4.4xlarge
aws,EU (London),m4.10xlarge
aws,EU (London),m4.16xlarge
aws,EU (London),m5.large
aws,EU (London),m5.xlarge
aws,EU (London),m5.2xlarge
aws,EU (London),m5.4xlarge
aws,EU (London),m5.12xlarge
aws,EU (London),m5.24xlarge
aws,EU (London),p2.xlarge
aws,EU (London),p2.8xlarge
aws,EU (London),p2.16xlarge
aws,EU (London),p3.2xlarge
aws,EU (London),p3.8xlarge
aws,EU (London),p3.16xlarge
aws,EU (London),g3.4xlarge
aws,EU (London),g3.8xlarge
aws,EU (London),g3.16xlarge
aws,Asia Pacific (Singapore),t2.medium
aws,Asia Pacific (Singapore),t2.large
aws,Asia Pacific (Singapore),t2.xlarge
aws,Asia Pacific (Singapore),t2.2xlarge
aws,Asia Pacific (Singapore),c4.large
aws,Asia Pacific (Singapore),c4.xlarge
aws,Asia Pacific (Singapore),c4.2xlarge
aws,Asia Pacific (Singapore),c4.4xlarge
aws,Asia Pacific (Singapore),c4.8xlarge
aws,Asia Pacific (Singapore),c5.large
aws,Asia Pacific (Singapore),c5.xlarge
aws,Asia Pacific (Singapore),c5.2xlarge
aws,Asia Pacific (Singapore),c5.4xlarge
aws,Asia Pacific (Singapore),c5.9xlarge
aws,Asia Pacific (Singapore),r4.large
aws,Asia Pacific (Singapore),r4.xlarge
aws,Asia Pacific (Singapore),r4.2xlarge
aws,Asia Pacific (Singapore),r4.4xlarge
aws,Asia Pacific (Singapore),r4.8xlarge
aws,Asia Pacific (Singapore),r4.16xlarge
aws,Asia Pacific (Singapore),m3.large
aws,Asia Pacific (Singapore),m3.xlarge
aws,Asia Pacific (Singapore),m3.2xlarge
aws,Asia Pacific (Singapore),m4.large
aws,Asia Pacific (Singapore),m4.xlarge
aws,Asia Pacific (Singapore),m4.2xlarge
aws,Asia Pacific (Singapore),m4.4xlarge
aws,Asia Pacific (Singapore),m4.10xlarge
aws,Asia Pacific (Singapore),m4.16xlarge
aws,Asia Pacific (Singapore),m5.large
aws,Asia Pacific (Singapore),m5.xlarge
aws,Asia Pacific (Singapore),m5.2xlarge
aws,Asia Pacific (Singapore),m5.4xlarge
aws,Asia Pacific (Singapore),m5.12xlarge
aws,Asia Pacific (Singapore),m5.24xlarge
aws,Asia Pacific (Singapore),p2.xlarge
aws,Asia Pacific (Singapore),p2.8xlarge
aws,Asia Pacific (Singapore),p2.16xlarge
aws,Asia Pacific (Singapore),p3.2xlarge
aws,Asia Pacific (Singapore),p3.8xlarge
aws,Asia Pacific (Singapore),p3.16xlarge
aws,Asia Pacific (Singapore),g3.4xlarge
aws,Asia Pacific (Singapore),g3.8xlarge
aws,Asia Pacific (Singapore),g3.16xlarge
aws,EU (Frankfurt),t2.medium
aws,EU (Frankfurt),t2.large
aws,EU (Frankfurt),t2.xlarge
aws,EU (Frankfurt),t2.2xlarge
aws,EU (Frankfurt),c4.large
aws,EU (Frankfurt),c4.xlarge
aws,EU (Frankfurt),c4.2xlarge
aws,EU (Frankfurt),c4.4xlarge
aws,EU (Frankfurt),c4.8xlarge
aws,EU (Frankfurt),c5.large
aws,EU (Frankfurt),c5.xlarge
aws,EU (Frankfurt),c5.2xlarge
aws,EU (Frankfurt),c5.4xlarge
aws,EU (Frankfurt),c5.9xlarge
aws,EU (Frankfurt),r4.large
aws,EU (Frankfurt),r4.xlarge
aws,EU (Frankfurt),r4.2xlarge
aws,EU (Frankfurt),r4.4xlarge
aws,EU (Frankfurt),r4.8xlarge
aws,EU (Frankfurt),r4.16xlarge
aws,EU (Frankfurt),m3.large
aws,EU (Frankfurt),m3.xlarge
aws,EU (Frankfurt),m3.2xlarge
aws,EU (Frankfurt),m4.large
aws,EU (Frankfurt),m4.xlarge
aws,EU (Frankfurt),m4.2xlarge
aws,EU (Frankfurt),m4.4xlarge
aws,EU (Frankfurt),m4.10xlarge
aws,EU (Frankfurt),m4.16xlarge
aws,EU (Frankfurt),m5.large
aws,EU (Frankfurt),m5.xlarge
aws,EU (Frankfurt),m5.2xlarge
aws,EU (Frankfurt),m5.4xlarge
aws,EU (Frankfurt),m5.12xlarge
aws,EU (Frankfurt),m5.24xlarge
aws,EU (Frankfurt),p2.xlarge
aws,EU (Frankfurt),p2.8xlarge
aws,EU (Frankfurt),p2.16xlarge
aws,EU (Frankfurt),p3.2xlarge
aws,EU (Frankfurt),p3.8xlarge
aws,EU (Frankfurt),p3.16xlarge
aws,EU (Frankfurt),g3.4xlarge
aws,EU (Frankfurt),g3.8xlarge
aws,EU (Frankfurt),g3.16xlarge
aws,South America (Sao Paulo),t2.medium
aws,South America (Sao Paulo),t2.large
aws,South America (Sao Paulo),t2.xlarge
aws,South America (Sao Paulo),t2.2xlarge
aws,South America (Sao Paulo),c4.large
aws,South America (Sao Paulo),c4.xlarge
aws,South America (Sao Paulo),c4.2xlarge
aws,South America (Sao Paulo),c4.4xlarge
aws,South America (Sao Paulo),c4.8xlarge
aws,South America (Sao Paulo),c5.large
aws,South America (Sao Paulo),c5.xlarge
aws,South America (Sao Paulo),c5.2xlarge
aws,South America (Sao Paulo),c5.4xlarge
aws,South America (Sao Paulo),c5.9xlarge
aws,South America (Sao Paulo),r4.large
aws,South America (Sao Paulo),r4.xlarge
aws,South America (Sao Paulo),r4.2xlarge
aws,South America (Sao Paulo),r4.4xlarge
aws,South America (Sao Paulo),r4.8xlarge
aws,South America (Sao Paulo),r4.16xlarge
aws,South America (Sao Paulo),m3.large
aws,South America (Sao Paulo),m3.xlarge
aws,South America (Sao Paulo),m3.2xlarge
aws,South America (Sao Paulo),m4.large
aws,South America (Sao Paulo),m4.xlarge
aws,South America (Sao Paulo),m4.2xlarge
aws,South America (Sao Paulo),m4.4xlarge
aws,South America (Sao Paulo),m4.10xlarge
aws,South America (Sao Paulo),m4.16xlarge
aws,South America (Sao Paulo),m5.large
aws,South America (Sao Paulo),m5.xlarge
aws,South America (Sao Paulo),m5.2xlarge
aws,South America (Sao Paulo),m5.4xlarge
aws,South America (Sao Paulo),m5.12xlarge
aws,South America (Sao Paulo),m5.24xlarge
aws,South America (Sao Paulo),p2.xlarge
aws,South America (Sao Paulo),p2.8xlarge
aws,South America (Sao Paulo),p2.16xlarge
aws,South America (Sao Paulo),p3.2xlarge
aws,South America (Sao Paulo),p3.8xlarge
aws,South America (Sao Paulo),p3.16xlarge
aws,South America (Sao Paulo),g3.4xlarge
aws,South America (Sao Paulo),g3.8xlarge
aws,South America (Sao Paulo),g3.16xlarge
aws,Asia Pacific (Mumbai),t2.medium
aws,Asia Pacific (Mumbai),t2.large
aws,Asia Pacific (Mumbai),t2.xlarge
aws,Asia Pacific (Mumbai),t2.2xlarge
aws,Asia Pacific (Mumbai),c4.large
aws,Asia Pacific (Mumbai),c4.xlarge
aws,Asia Pacific (Mumbai),c4.2xlarge
aws,Asia Pacific (Mumbai),c4.4xlarge
aws,Asia Pacific (Mumbai),c4.8xlarge
aws,Asia Pacific (Mumbai),c5.large
aws,Asia Pacific (Mumbai),c5.xlarge
aws,Asia Pacific (Mumbai),c5.2xlarge
aws,Asia Pacific (Mumbai),c5.4xlarge
aws,Asia Pacific (Mumbai),c5.9xlarge
aws,Asia Pacific (Mumbai),r4.large
aws,Asia Pacific (Mumbai),r4.xlarge
aws,Asia Pacific (Mumbai),r4.2xlarge
aws,Asia Pacific (Mumbai),r4.4xlarge
aws,Asia Pacific (Mumbai),r4.8xlarge
aws,Asia Pacific (Mumbai),r4.16xlarge
aws,Asia Pacific (Mumbai),m3.large
aws,Asia Pacific (Mumbai),m3.xlarge
aws,Asia Pacific (Mumbai),m3.2xlarge
aws,Asia Pacific (Mumbai),m4.large
aws,Asia Pacific (Mumbai),m4.xlarge
aws,Asia Pacific (Mumbai),m4.2xlarge
aws,Asia Pacific (Mumbai),m4.4xlarge
aws,Asia Pacific (Mumbai),m4.10xlarge
aws,Asia Pacific (Mumbai),m4.16xlarge
aws,Asia Pacific (Mumbai),m5.large
aws,Asia Pacific (Mumbai),m5.xlarge
aws,Asia Pacific (Mumbai),m5.2xlarge
aws,Asia Pacific (Mumbai),m5.4xlarge
aws,Asia Pacific (Mumbai),m5.12xlarge
aws,Asia Pacific (Mumbai),m5.24xlarge
aws,Asia Pacific (Mumbai),p2.xlarge
aws,Asia Pacific (Mumbai),p2.8xlarge
aws,Asia Pacific (Mumbai),p2.16xlarge
aws,Asia Pacific (Mumbai),p3.2xlarge
aws,Asia Pacific (Mumbai),p3.8xlarge
aws,Asia Pacific (Mumbai),p3.16xlarge
