cpu,memory,family
8,16,0
16,32,0
2,4,0
1,2,0
16,32,0
4,8,0
2,1.7,1
8,7,1
8,15,1
16,30,1
36,60,1
2,3.75,1
4,7.5,1
8,15,1
16,30,1
36,60,1
2,3.75,1
4,7.5,1
48,96,1
72,144,1
96,192,1
8,16,1
16,32,1
36,72,1
2,4,1
96,192,1
4,8,1
48,96,1
72,144,1
96,192,1
8,16,1
16,32,1
36,72,1
2,4,1
96,192,1
4,8,1
72,192,1
8,21,1
16,42,1
36,96,1
2,5.25,1
72,192,1
4,10.5,1
2,7.5,0
1,3.75,0
1,1.7,0
4,15,0
4,34.2,0
8,68.4,0
2,17.1,0
8,30,0
2,7.5,0
1,3.75,0
4,15,0
40,160,0
64,256,0
8,32,0
16,64,0
2,8,0
4,16,0
48,192,0
64,256,0
96,384,0
8,32,0
16,64,0
32,128,0
2,8,0
96,384,0
4,16,0
48,192,0
64,256,0
96,384,0
8,32,0
16,64,0
32,128,0
2,8,0
4,16,0
48,192,0
64,256,0
96,384,0
8,32,0
16,64,0
32,128,0
2,8,0
4,16,0
48,192,0
64,256,0
96,384,0
8,32,0
16,64,0
32,128,0
2,8,0
96,384,0
4,16,0
48,192,0
64,256,0
96,384,0
8,32,0
16,64,0
32,128,0
2,8,0
4,16,0
48,192,0
64,256,0
96,384,0
8,32,0
16,64,0
32,128,0
2,8,0
4,16,0
48,192,0
64,256,0
8,32,0
16,64,0
32,128,0
2,8,0
1,4,0
4,16,0
8,61,2
16,122,2
32,244,2
2,15.25,2
4,30.5,2
64,488,2
8,61,2
16,122,2
32,244,2
2,15.25,2
4,30.5,2
48,384,2
64,512,2
96,768,2
8,64,2
16,128,2
32,256,2
2,16,2
96,768,2
4,32,2
48,384,2
64,512,2
96,768,2
8,64,2
16,128,2
32,256,2
2,16,2
4,32,2
48,384,2
64,512,2
96,768,2
8,64,2
16,128,2
32,256,2
2,16,2
4,32,2
48,384,2
64,512,2
96,768,2
8,64,2
16,128,2
32,256,2
2,16,2
96,768,2
4,32,2
48,384,2
64,512,2
96,768,2
8,64,2
16,128,2
32,256,2
2,16,2
4,32,2
48,384,2
64,512,2
96,768,2
8,64,2
16,128,2
32,256,2
2,16,2
4,32,2
1,0.613,0
8,32,0
2,8,0
2,4,0
1,1,0
1,0.5,0
1,2,0
4,16,0
8,32,0
2,8,0
2,4,0
2,1,0
2,0.5,0
2,2,0
4,16,0
8,32,0
2,8,0
2,4,0
2,1,0
2,0.5,0
2,2,0
4,16,0
64,976,2
128,1952,2
64,1952,2
8,244,2
128,3904,2
16,488,2
32,976,2
4,122,2
48,384,2
8,64,2
12,96,2
24,192,2
2,16,2
48,384,2
4,32,2
12,48,0
16,64,0
1,2,0
1,1,0
20,80,0
2,8,0
2,4,0
4,16,0
8,32,0
1,3.5,0
2,14,2
2,14,2
2,14,2
4,28,2
4,28,2
4,28,2
8,56,2
8,56,2
8,56,2
16,112,2
16,112,2
16,112,2
20,140,2
20,140,2
16,64,0
16,64,0
16,64,0
16,64,0
1,3.5,0
1,3.5,0
2,7,0
2,8,0
2,8,0
2,7,0
2,8,0
2,7,0
2,8,0
4,14,0
32,128,0
32,128,0
32,128,0
32,128,0
4,14,0
4,14,0
8,28,0
48,192,0
48,192,0
48,192,0
48,192,0
4,16,0
4,16,0
8,28,0
4,16,0
8,28,0
4,16,0
16,56,0
64,256,0
64,256,0
64,256,0
64,256,0
8,32,0
8,32,0
8,32,0
8,32,0
96,384,0
96,384,0
1,2,1
16,32,1
16,32,1
16,32,1
1,2,1
2,4,1
2,4,1
2,4,1
32,64,1
4,8,1
48,96,1
4,8,1
4,8,1
64,128,1
72,144,1
8,16,1
8,16,1
8,16,1
1,3.75,0
2,7.5,0
4,15,0
8,30,0
16,60,0
32,120,0
64,240,0
96,360,0
2,13,2
4,26,2
8,52,2
16,104,2
32,208,2
64,416,2
96,624,2
2,1.8,1
4,3.6,1
8,7.2,1
16,14.4,1
32,28.8,1
64,57.6,1
96,86.4,1
2,8,0
4,16,0
8,32,0
16,64,0
32,128,0
48,192,0
64,256,0
80,320,0
2,16,2
4,32,2
8,64,2
16,128,2
32,256,2
48,384,2
64,512,2
80,640,2
2,2,1
4,4,1
8,8,1
16,16,1
32,32,1
48,48,1
64,64,1
80,80,1
2,8,0
4,16,0
8,32,0
16,64,0
2,16,2
4,32,2
8,64,2
16,128,2
2,2,1
4,4,1
8,8,1
16,16,1
