provider,instancetype,cpu,memory,series
aws,a1.2xlarge,8.0,16.0,a1
aws,a1.4xlarge,16.0,32.0,a1
aws,a1.large,2.0,4.0,a1
aws,a1.medium,1.0,2.0,a1
aws,a1.metal,16.0,32.0,a1
aws,a1.xlarge,4.0,8.0,a1
aws,c1.medium,2.0,1.7,c1
aws,c1.xlarge,8.0,7.0,c1
aws,c3.2xlarge,8.0,15.0,c3
aws,c3.4xlarge,16.0,30.0,c3
aws,c3.8xlarge,32.0,60.0,c3
aws,c3.large,2.0,3.75,c3
aws,c3.xlarge,4.0,7.5,c3
aws,c4.2xlarge,8.0,15.0,c4
aws,c4.4xlarge,16.0,30.0,c4
aws,c4.8xlarge,36.0,60.0,c4
aws,c4.large,2.0,3.75,c4
aws,c4.xlarge,4.0,7.5,c4
aws,c5.12xlarge,48.0,96.0,c5
aws,c5.18xlarge,72.0,144.0,c5
aws,c5.24xlarge,96.0,192.0,c5
aws,c5.2xlarge,8.0,16.0,c5
aws,c5.4xlarge,16.0,32.0,c5
aws,c5.9xlarge,36.0,72.0,c5
aws,c5.large,2.0,4.0,c5
aws,c5.metal,96.0,192.0,c5
aws,c5.xlarge,4.0,8.0,c5
aws,c5a.12xlarge,48.0,96.0,c5a
aws,c5a.16xlarge,64.0,128.0,c5a
aws,c5a.24xlarge,96.0,192.0,c5a
aws,c5a.2xlarge,8.0,16.0,c5a
aws,c5a.4xlarge,16.0,32.0,c5a
aws,c5a.8xlarge,32.0,64.0,c5a
aws,c5a.large,2.0,4.0,c5a
aws,c5a.xlarge,4.0,8.0,c5a
aws,c5d.12xlarge,48.0,96.0,c5d
aws,c5d.18xlarge,72.0,144.0,c5d
aws,c5d.24xlarge,96.0,192.0,c5d
aws,c5d.2xlarge,8.0,16.0,c5d
aws,c5d.4xlarge,16.0,32.0,c5d
aws,c5d.9xlarge,36.0,72.0,c5d
aws,c5d.large,2.0,4.0,c5d
aws,c5d.metal,96.0,192.0,c5d
aws,c5d.xlarge,4.0,8.0,c5d
aws,c5n.18xlarge,72.0,192.0,c5n
aws,c5n.2xlarge,8.0,21.0,c5n
aws,c5n.4xlarge,16.0,42.0,c5n
aws,c5n.9xlarge,36.0,96.0,c5n
aws,c5n.large,2.0,5.25,c5n
aws,c5n.metal,72.0,192.0,c5n
aws,c5n.xlarge,4.0,10.5,c5n
aws,c6g.12xlarge,48.0,96.0,c6g
aws,c6g.16xlarge,64.0,128.0,c6g
aws,c6g.2xlarge,8.0,16.0,c6g
aws,c6g.4xlarge,16.0,32.0,c6g
aws,c6g.8xlarge,32.0,64.0,c6g
aws,c6g.large,2.0,4.0,c6g
aws,c6g.medium,1.0,2.0,c6g
aws,c6g.metal,64.0,128.0,c6g
aws,c6g.xlarge,4.0,8.0,c6g
aws,cc2.8xlarge,32.0,60.5,cc2
aws,cr1.8xlarge,32.0,244.0,cr1
aws,d2.2xlarge,8.0,61.0,d2
aws,d2.4xlarge,16.0,122.0,d2
aws,d2.8xlarge,36.0,244.0,d2
aws,d2.xlarge,4.0,30.5,d2
aws,f1.16xlarge,64.0,976.0,f1
aws,f1.2xlarge,8.0,122.0,f1
aws,f1.4xlarge,16.0,244.0,f1
aws,g2.2xlarge,8.0,15.0,g2
aws,g2.8xlarge,32.0,60.0,g2
aws,g3.16xlarge,64.0,488.0,g3
aws,g3.4xlarge,16.0,122.0,g3
aws,g3.8xlarge,32.0,244.0,g3
aws,g3s.xlarge,4.0,30.5,g3s
aws,g4dn.12xlarge,48.0,192.0,g4dn
aws,g4dn.16xlarge,64.0,256.0,g4dn
aws,g4dn.2xlarge,8.0,32.0,g4dn
aws,g4dn.4xlarge,16.0,64.0,g4dn
aws,g4dn.8xlarge,32.0,128.0,g4dn
aws,g4dn.metal,96.0,384.0,g4dn
aws,g4dn.xlarge,4.0,16.0,g4dn
aws,h1.16xlarge,64.0,256.0,h1
aws,h1.2xlarge,8.0,32.0,h1
aws,h1.4xlarge,16.0,64.0,h1
aws,h1.8xlarge,32.0,128.0,h1
aws,hs1.8xlarge,16.0,117.0,hs1
aws,i2.2xlarge,8.0,61.0,i2
aws,i2.4xlarge,16.0,122.0,i2
aws,i2.8xlarge,32.0,244.0,i2
aws,i2.xlarge,4.0,30.5,i2
aws,i3.16xlarge,64.0,488.0,i3
aws,i3.2xlarge,8.0,61.0,i3
aws,i3.4xlarge,16.0,122.0,i3
aws,i3.8xlarge,32.0,244.0,i3
