provider,region,instance,cost
azure,Central US,standard-b1ls,0.0063
azure,Central US,standard-b1s,0.0125
azure,Central US,standard-b1ms,0.025
azure,Central US,standard-b2s,0.0499
azure,Central US,standard-b2ms,0.0998
azure,Central US,standard-b4ms,0.2
azure,Central US,standard-b8ms,0.399
azure,Central US,standard-b12ms,0.599
azure,Central US,standard-b16ms,0.799
azure,Central US,standard-b20ms,0.998
azure,Central US,standard-a1-v2,0.043
azure,Central US,standard-a2-v2,0.091
azure,Central US,standard-a2m-v2,0.129
azure,Central US,standard-a4-v2,0.191
azure,Central US,standard-a4m-v2,0.27
azure,Central US,standard-a8-v2,0.4
azure,Central US,standard-a8m-v2,0.568
azure,Central US,standard-d2a-v4,0.108
azure,Central US,standard-d4a-v4,0.217
azure,Central US,standard-d8a-v4,0.434
azure,Central US,standard-d16a-v4,0.868
azure,Central US,standard-d32a-v4,1.736
azure,Central US,standard-d48a-v4,2.604
azure,Central US,standard-d64a-v4,3.471
azure,Central US,standard-d2as-v4,0.108
azure,Central US,standard-d4as-v4,0.217
azure,Central US,standard-d8as-v4,0.434
azure,Central US,standard-d16as-v4,0.868
azure,Central US,standard-d32as-v4,1.736
azure,Central US,standard-d48as-v4,2.604
azure,Central US,standard-d64as-v4,3.471
azure,Central US,standard-d2d-v4,0.128
azure,Central US,standard-d4d-v4,0.255
azure,Central US,standard-d8d-v4,0.511
azure,Central US,standard-d16d-v4,1.022
azure,Central US,standard-d32d-v4,2.043
azure,Central US,standard-d48d-v4,3.065
azure,Central US,standard-d64d-v4,4.086
azure,Central US,standard-d2ds-v4,0.128
azure,Central US,standard-d4ds-v4,0.255
azure,Central US,standard-d8ds-v4,0.511
azure,Central US,standard-d16ds-v4,1.022
azure,Central US,standard-d32ds-v4,2.043
azure,Central US,standard-d48ds-v4,3.065
azure,Central US,standard-d64ds-v4,4.086
azure,Central US,standard-d2-v4,0.108
azure,Central US,standard-d4-v4,0.217
azure,Central US,standard-d8-v4,0.434
azure,Central US,standard-d16-v4,0.868
azure,Central US,standard-d32-v4,1.736
azure,Central US,standard-d48-v4,2.604
azure,Central US,standard-d64-v4,3.471
azure,Central US,standard-d2s-v4,0.108
azure,Central US,standard-d4s-v4,0.217
azure,Central US,standard-d8s-v4,0.434
azure,Central US,standard-d16s-v4,0.868
azure,Central US,standard-d32s-v4,1.736
azure,Central US,standard-d48s-v4,2.604
azure,Central US,standard-d64s-v4,3.471
azure,Central US,standard-d2-v3,0.11
azure,Central US,standard-d4-v3,0.22
azure,Central US,standard-d8-v3,0.44
azure,Central US,standard-d16-v3,0.88
azure,Central US,standard-d32-v3,1.76
azure,Central US,standard-d48-v3,2.64
