provider,region,instance,cost
gcp,US Central 1b,e2-standard-2,0.067006
gcp,US Central 1b,e2-standard-4,0.134012
gcp,US Central 1b,e2-standard-8,0.268024
gcp,US Central 1b,e2-standard-16,0.536048
gcp,US Central 1b,e2-standard-32,1.072096
gcp,US West 1b,e2-standard-2,0.067006
gcp,US West 1b,e2-standard-4,0.134012
gcp,US West 1b,e2-standard-8,0.268024
gcp,US West 1b,e2-standard-16,0.536048
gcp,US West 1b,e2-standard-32,1.072096
gcp,US West 2b,e2-standard-2,0.080486
gcp,US West 2b,e2-standard-4,0.160972
gcp,US West 2b,e2-standard-8,0.321944
gcp,US West 2b,e2-standard-16,0.643888
gcp,US West 2b,e2-standard-32,1.287776
gcp,US West 3b,e2-standard-2,0.080486
gcp,US West 3b,e2-standard-4,0.160972
gcp,US West 3b,e2-standard-8,0.321944
gcp,US West 3b,e2-standard-16,0.643888
gcp,US West 3b,e2-standard-32,1.287776
gcp,US West 4b,e2-standard-2,0.075462
gcp,US West 4b,e2-standard-4,0.150924
gcp,US West 4b,e2-standard-8,0.301848
gcp,US West 4b,e2-standard-16,0.603696
gcp,US West 4b,e2-standard-32,1.207392
gcp,US East 4b,e2-standard-2,0.075462
gcp,US East 4b,e2-standard-4,0.150924
gcp,US East 4b,e2-standard-8,0.301848
gcp,US East 4b,e2-standard-16,0.603696
gcp,US East 4b,e2-standard-32,1.207392
gcp,US East 1b,e2-standard-2,0.067006
gcp,US East 1b,e2-standard-4,0.134012
gcp,US East 1b,e2-standard-8,0.268024
gcp,US East 1b,e2-standard-16,0.536048
gcp,US East 1b,e2-standard-32,1.072096
gcp,Northamerica Northeast 1b,e2-standard-2,0.07377
gcp,Northamerica Northeast 1b,e2-standard-4,0.14754
gcp,Northamerica Northeast 1b,e2-standard-8,0.29508
gcp,Northamerica Northeast 1b,e2-standard-16,0.59016
gcp,Northamerica Northeast 1b,e2-standard-32,1.18032
gcp,Southamerica East 1b,e2-standard-2,0.106368
gcp,Southamerica East 1b,e2-standard-4,0.212736
gcp,Southamerica East 1b,e2-standard-8,0.425472
gcp,Southamerica East 1b,e2-standard-16,0.850944
gcp,Southamerica East 1b,e2-standard-32,1.701888
gcp,Europe West 1b,e2-standard-2,0.073714
gcp,Europe West 1b,e2-standard-4,0.147428
gcp,Europe West 1b,e2-standard-8,0.294856
gcp,Europe West 1b,e2-standard-16,0.589712
gcp,Europe West 1b,e2-standard-32,1.179424
gcp,Europe North 1b,e2-standard-2,0.073776
gcp,Europe North 1b,e2-standard-4,0.147552
gcp,Europe North 1b,e2-standard-8,0.295104
gcp,Europe North 1b,e2-standard-16,0.590208
gcp,Europe North 1b,e2-standard-32,1.180416
gcp,Europe West 3b,e2-standard-2,0.086334
gcp,Europe West 3b,e2-standard-4,0.172668
gcp,Europe West 3b,e2-standard-8,0.345336
gcp,Europe West 3b,e2-standard-16,0.690672
gcp,Europe West 3b,e2-standard-32,1.381344
gcp,Europe West 2b,e2-standard-2,0.086334
gcp,Europe West 2b,e2-standard-4,0.172668
gcp,Europe West 2b,e2-standard-8,0.345336
gcp,Europe West 2b,e2-standard-16,0.690672
gcp,Europe West 2b,e2-standard-32,1.381344
gcp,Europe West 4b,e2-standard-2,0.07377
gcp,Europe West 4b,e2-standard-4,0.14754
gcp,Europe West 4b,e2-standard-8,0.29508
gcp,Europe West 4b,e2-standard-16,0.59016
gcp,Europe West 4b,e2-standard-32,1.18032
gcp,Europe West 6b,e2-standard-2,0.093758
gcp,Europe West 6b,e2-standard-4,0.187516
gcp,Europe West 6b,e2-standard-8,0.375032
gcp,Europe West 6b,e2-standard-16,0.750064
gcp,Europe West 6b,e2-standard-32,1.500128
gcp,Asia South 1b,e2-standard-2,0.080486
gcp,Asia South 1b,e2-standard-4,0.160972
gcp,Asia South 1b,e2-standard-8,0.321944
gcp,Asia South 1b,e2-standard-16,0.643888
gcp,Asia South 1b,e2-standard-32,1.287776
gcp,Asia Southeast 1b,e2-standard-2,0.082658
gcp,Asia Southeast 1b,e2-standard-4,0.165316
gcp,Asia Southeast 1b,e2-standard-8,0.330632
gcp,Asia Southeast 1b,e2-standard-16,0.661264
gcp,Asia Southeast 1b,e2-standard-32,1.322528
gcp,Asia Southeast 2b,e2-standard-2,0.090094
gcp,Asia Southeast 2b,e2-standard-4,0.180188
gcp,Asia Southeast 2b,e2-standard-8,0.360376
gcp,Asia Southeast 2b,e2-standard-16,0.720752
gcp,Asia Southeast 2b,e2-standard-32,1.441504
gcp,Australia Southeast 1b,e2-standard-2,0.095076
gcp,Australia Southeast 1b,e2-standard-4,0.190152
