provider,region,instance,cost
aws,US East (Ohio),a1.medium,0.0255
aws,US East (Ohio),a1.large,0.051
aws,US East (Ohio),a1.xlarge,0.102
aws,US East (Ohio),a1.2xlarge,0.204
aws,US East (Ohio),a1.4xlarge,0.408
aws,US East (Ohio),a1.metal,0.408
aws,US East (Ohio),t3.nano,0.0052
aws,US East (Ohio),t3.micro,0.0104
aws,US East (Ohio),t3.small,0.0208
aws,US East (Ohio),t3.medium,0.0416
aws,US East (Ohio),t3.large,0.0832
aws,US East (Ohio),t3.xlarge,0.1664
aws,US East (Ohio),t3.2xlarge,0.3328
aws,US East (Ohio),t3a.nano,0.0047
aws,US East (Ohio),t3a.micro,0.0094
aws,US East (Ohio),t3a.small,0.0188
aws,US East (Ohio),t3a.medium,0.0376
aws,US East (Ohio),t3a.large,0.0752
aws,US East (Ohio),t3a.xlarge,0.1504
aws,US East (Ohio),t3a.2xlarge,0.3008
aws,US East (Ohio),t2.nano,0.0058
aws,US East (Ohio),t2.micro,0.0116
aws,US East (Ohio),t2.small,0.023
aws,US East (Ohio),t2.medium,0.0464
aws,US East (Ohio),t2.large,0.0928
aws,US East (Ohio),t2.xlarge,0.1856
aws,US East (Ohio),t2.2xlarge,0.3712
aws,US East (Ohio),m6g.medium,0.0385
aws,US East (Ohio),m6g.large,0.077
aws,US East (Ohio),m6g.xlarge,0.154
aws,US East (Ohio),m6g.2xlarge,0.308
aws,US East (Ohio),m6g.4xlarge,0.616
aws,US East (Ohio),m6g.8xlarge,1.232
aws,US East (Ohio),m6g.12xlarge,1.848
aws,US East (Ohio),m6g.16xlarge,2.464
aws,US East (Ohio),m5.large,0.096
aws,US East (Ohio),m5.xlarge,0.192
aws,US East (Ohio),m5.2xlarge,0.384
aws,US East (Ohio),m5.4xlarge,0.768
aws,US East (Ohio),m5.8xlarge,1.536
aws,US East (Ohio),m5.12xlarge,2.304
aws,US East (Ohio),m5.16xlarge,3.072
aws,US East (Ohio),m5.24xlarge,4.608
aws,US East (Ohio),m5.metal,4.608
aws,US East (Ohio),m5a.large,0.086
aws,US East (Ohio),m5a.xlarge,0.172
aws,US East (Ohio),m5a.2xlarge,0.344
aws,US East (Ohio),m5a.4xlarge,0.688
aws,US East (Ohio),m5a.8xlarge,1.376
aws,US East (Ohio),m5a.12xlarge,2.064
aws,US East (Ohio),m5a.16xlarge,2.752
aws,US East (Ohio),m5a.24xlarge,4.128
aws,US East (Ohio),m5ad.large,0.103
aws,US East (Ohio),m5ad.xlarge,0.206
aws,US East (Ohio),m5ad.2xlarge,0.412
aws,US East (Ohio),m5ad.4xlarge,0.824
aws,US East (Ohio),m5ad.12xlarge,2.472
aws,US East (Ohio),m5ad.24xlarge,4.944
aws,US East (Ohio),m5d.large,0.113
aws,US East (Ohio),m5d.xlarge,0.226
aws,US East (Ohio),m5d.2xlarge,0.452
aws,US East (Ohio),m5d.4xlarge,0.904
aws,US East (Ohio),m5d.8xlarge,1.808
aws,US East (Ohio),m5d.12xlarge,2.712
aws,US East (Ohio),m5d.16xlarge,3.616
aws,US East (Ohio),m5d.24xlarge,5.424
aws,US East (Ohio),m5d.metal,5.424
aws,US East (Ohio),m5dn.large,0.136
aws,US East (Ohio),m5dn.xlarge,0.272
aws,US East (Ohio),m5dn.2xlarge,0.544
aws,US East (Ohio),m5dn.4xlarge,1.088
aws,US East (Ohio),m5dn.8xlarge,2.176
aws,US East (Ohio),m5dn.12xlarge,3.264
