provider,region,instance,cost
azure,Central US,standard-b1ls,0.0063
azure,Central US,standard-b1s,0.0125
azure,Central US,standard-b1ms,0.025
azure,Central US,standard-b2s,0.0499
azure,Central US,standard-b2ms,0.0998
azure,Central US,standard-b4ms,0.2
azure,Central US,standard-b8ms,0.399
azure,Central US,standard-b12ms,0.599
azure,Central US,standard-b16ms,0.799
azure,Central US,standard-b20ms,0.998
azure,Central US,standard-a1-v2,0.043
azure,Central US,standard-a2-v2,0.091
azure,Central US,standard-a2m-v2,0.129
azure,Central US,standard-a4-v2,0.191
azure,Central US,standard-a4m-v2,0.27
azure,Central US,standard-a8-v2,0.4
azure,Central US,standard-a8m-v2,0.568
azure,Central US,standard-d2-v3,0.11
azure,Central US,standard-d4-v3,0.22
azure,Central US,standard-d8-v3,0.44
azure,Central US,standard-d16-v3,0.88
azure,Central US,standard-d32-v3,1.76
azure,Central US,standard-d48-v3,2.64
azure,Central US,standard-d64-v3,3.52
azure,Central US,standard-d2s-v3,0.11
azure,Central US,standard-d4s-v3,0.22
azure,Central US,standard-d8s-v3,0.44
azure,Central US,standard-d16s-v3,0.88
azure,Central US,standard-d32s-v3,1.76
azure,Central US,standard-d48s-v3,2.64
azure,Central US,standard-d64s-v3,3.52
azure,Central US,standard-d1-v2,0.073
azure,Central US,standard-d2-v2,0.146
azure,Central US,standard-d3-v2,0.293
azure,Central US,standard-d4-v2,0.585
azure,Central US,standard-d5-v2,1.17
azure,Central US,standard-ds1-v2,0.073
azure,Central US,standard-ds2-v2,0.146
azure,Central US,standard-ds3-v2,0.293
azure,Central US,standard-ds4-v2,0.585
azure,Central US,standard-ds5-v2,1.17
azure,Central US,standard-f2s-v2,0.102
azure,Central US,standard-f4s-v2,0.204
azure,Central US,standard-f8s-v2,0.408
azure,Central US,standard-f16s-v2,0.816
azure,Central US,standard-f32s-v2,1.632
azure,Central US,standard-f48s-v2,2.448
azure,Central US,standard-f64s-v2,3.264
azure,Central US,standard-f72s-v2,3.672
azure,Central US,standard-f1,0.0547
azure,Central US,standard-f2,0.109
azure,Central US,standard-f4,0.219
azure,Central US,standard-f8,0.438
azure,Central US,standard-f16,0.875
azure,Central US,standard-f1s,0.0547
azure,Central US,standard-f2s,0.109
azure,Central US,standard-f4s,0.219
azure,Central US,standard-f8s,0.438
azure,Central US,standard-f16s,0.875
azure,Central US,standard-e2-v3,0.146
azure,Central US,standard-e4-v3,0.292
azure,Central US,standard-e8-v3,0.583
azure,Central US,standard-e16-v3,1.167
azure,Central US,standard-e20-v3,1.46
azure,Central US,standard-e32-v3,2.334
azure,Central US,standard-e48-v3,3.501
azure,Central US,standard-e64i-v3,4.199
