provider,region,instance,cost
gcp,US Central 1b,n2d-high-mem-2,0.114
gcp,US Central 1b,n2d-high-mem-4,0.228
gcp,US Central 1b,n2d-high-mem-8,0.4559
gcp,US Central 1b,n2d-high-mem-16,0.9119
gcp,US Central 1b,n2d-high-mem-32,1.8237
gcp,US Central 1b,n2d-high-mem-48,2.7356
gcp,US Central 1b,n2d-high-mem-64,3.6474
gcp,US Central 1b,n2d-high-mem-80,4.5593
gcp,US Central 1b,n2d-high-mem-96,5.4711
gcp,Europe West 4b,n2d-high-mem-2,0.1255
gcp,Europe West 4b,n2d-high-mem-4,0.251
gcp,Europe West 4b,n2d-high-mem-8,0.5019
gcp,Europe West 4b,n2d-high-mem-16,1.0038
gcp,Europe West 4b,n2d-high-mem-32,2.0077
gcp,Europe West 4b,n2d-high-mem-48,3.0115
gcp,Europe West 4b,n2d-high-mem-64,4.0153
gcp,Europe West 4b,n2d-high-mem-80,5.0191
gcp,Europe West 4b,n2d-high-mem-96,6.023
gcp,Asia Southeast 1b,n2d-high-mem-2,0.1406
gcp,Asia Southeast 1b,n2d-high-mem-4,0.2812
gcp,Asia Southeast 1b,n2d-high-mem-8,0.5624
gcp,Asia Southeast 1b,n2d-high-mem-16,1.1248
gcp,Asia Southeast 1b,n2d-high-mem-32,2.2497
gcp,Asia Southeast 1b,n2d-high-mem-48,3.3745
gcp,Asia Southeast 1b,n2d-high-mem-64,4.4993
gcp,Asia Southeast 1b,n2d-high-mem-80,5.6242
gcp,Asia Southeast 1b,n2d-high-mem-96,6.749
