provider,family,instance
aws,general-purpose,a1
aws,general-purpose,t3
aws,general-purpose,t3a
aws,general-purpose,t2
aws,general-purpose,m5
aws,general-purpose,m5a
aws,general-purpose,m5n
aws,general-purpose,m4
aws,compute-optimized,c5
aws,compute-optimized,c5n
aws,compute-optimized,c4
aws,memory-optimized,r5
aws,memory-optimized,r5a
aws,memory-optimized,r5n
aws,memory-optimized,r4
aws,memory-optimized,x1e
aws,memory-optimized,x1
aws,memory-optimized,high memory
aws,memory-optimized,z1d
aws,accelerated-computing,p3
aws,accelerated-computing,p2
aws,accelerated-computing,g4
aws,accelerated-computing,g3
aws,accelerated-computing,f1
aws,storage-optimized,i3
aws,storage-optimized,i3en
aws,storage-optimized,d2
aws,storage-optimized,h1
