provider,family,instance
azure,general-purpose,B
azure,general-purpose,Dsv3
azure,general-purpose,Dv3
azure,general-purpose,Dasv4
azure,general-purpose,Dav4
azure,general-purpose,DSv2
azure,general-purpose,Dv2
azure,general-purpose,Av2
azure,general-purpose,DC
azure,compute-optimized,Fsv2
azure,memory-optimized,Esv3
azure,memory-optimized,Ev3
azure,memory-optimized,Easv4
azure,memory-optimized,Eav4
azure,memory-optimized,Mv2
azure,memory-optimized,M
azure,memory-optimized,DSv2
azure,memory-optimized,Dv2
azure,storage-optimized,Lsv2
azure,accelerated-computing,NC
azure,accelerated-computing,NCv2
azure,accelerated-computing,NCv3
azure,accelerated-computing,ND
azure,accelerated-computing,NDv2
azure,accelerated-computing,(Preview)
azure,accelerated-computing,NV
azure,accelerated-computing,NVv3
azure,high-performance-compute,HB
azure,high-performance-compute,HC
azure,high-performance-compute,H
