,region,os,vm_type,vcpu,memory,price
0,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-96,96,86.4,4.1952
1,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-G1-SMALL,1,1.7,0.0311
2,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-32,32,208,2.336
3,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-64,64,57.6,2.7968
4,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-16,16,104,1.168
5,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-F1-MICRO,1,0.6,0.0092
6,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-64,64,240,3.7504
7,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-2,2,13,0.146
8,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-2,2,1.8,0.0874
9,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-4,4,26,0.292
10,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-4,4,3.6,0.1748
11,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-N1-MEGAMEM-96,96,1433.6,12.5466
12,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-8,8,52,0.584
13,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-8,8,7.2,0.3496
14,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-1,1,3.75,0.0586
15,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-2,2,7.5,0.1172
16,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-32,32,28.8,1.3984
17,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-8,8,30,0.4688
18,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-16,16,14.4,0.6992
19,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-32,32,120,1.8752
20,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-64,64,416,4.672
21,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-96,96,624,7.008
22,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-16,16,60,0.9376
23,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-96,96,360,5.6256
24,asia-southeast,free,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-4,4,15,0.2344
25,us-east1,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-96,96,86.4,3.402
26,us-east1,free,CP-COMPUTEENGINE-VMIMAGE-N1-ULTRAMEM-160,160,3844,25.2156
27,us-east1,free,CP-COMPUTEENGINE-VMIMAGE-G1-SMALL,1,1.7,0.0257
28,us-east1,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-32,32,208,1.8944
29,us-east1,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-64,64,57.6,2.2688
30,us-east1,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-16,16,104,0.9472
31,us-east1,free,CP-COMPUTEENGINE-VMIMAGE-F1-MICRO,1,0.6,0.0076
32,us-east1,free,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-64,64,240,3.04
33,us-east1,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-2,2,13,0.1184
34,us-east1,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-2,2,1.8,0.0709
35,us-east1,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-4,4,26,0.2368
36,us-east1,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-4,4,3.6,0.1418
37,us-east1,free,CP-COMPUTEENGINE-VMIMAGE-N1-MEGAMEM-96,96,1433.6,10.674
38,us-east1,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHMEM-8,8,52,0.4736
39,us-east1,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-8,8,7.2,0.2836
40,us-east1,free,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-1,1,3.75,0.0475
41,us-east1,free,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-2,2,7.5,0.095
42,us-east1,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-32,32,28.8,1.1344
43,us-east1,free,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-8,8,30,0.38
44,us-east1,free,CP-COMPUTEENGINE-VMIMAGE-N1-HIGHCPU-16,16,14.4,0.5672
