instance,cpu,memory
A0,1.0,0.75
A1,1.0,1.75
A10,8.0,56.0
A11,16.0,112.0
A1v2,1.0,2.0
A2,2.0,3.5
A2mv2,2.0,16.0
A2v2,2.0,4.0
A3,4.0,7.0
A4,8.0,14.0
A4mv2,4.0,32.0
A4v2,4.0,8.0
A5,2.0,14.0
A6,4.0,28.0
A7,8.0,56.0
A8,8.0,56.0
A8mv2,8.0,64.0
A8v2,8.0,16.0
A9,16.0,112.0
B12MS,12.0,48.0
B16MS,16.0,64.0
B1LS,1.0,0.5
B1MS,1.0,2.0
B1S,1.0,1.0
B20MS,20.0,80.0
B2MS,2.0,8.0
B2S,2.0,4.0
B4MS,4.0,16.0
B8MS,8.0,32.0
D1,1.0,3.5
D11,2.0,14.0
D11s,2.0,14.0
D11v2,2.0,14.0
D12,4.0,28.0
D12s,4.0,28.0
D12v2,4.0,28.0
D13,8.0,56.0
D13s,8.0,56.0
D13v2,8.0,56.0
D14,16.0,112.0
D14s,16.0,112.0
D14v2,16.0,112.0
D15iv2,20.0,140.0
D15v2,20.0,140.0
D16asv4,16.0,64.0
D16av4,16.0,64.0
D16dsv4,16.0,64.0
D16dv4,16.0,64.0
D16sv3,16.0,64.0
D16sv4,16.0,64.0
D16v3,16.0,64.0
D16v4,16.0,64.0
D1s,1.0,3.5
D1v2,1.0,3.5
D2,2.0,7.0
D2asv4,2.0,8.0
D2av4,2.0,8.0
D2dsv4,2.0,8.0
D2dv4,2.0,8.0
D2s,2.0,7.0
D2sv3,2.0,8.0
D2sv4,2.0,8.0
D2v2,2.0,7.0
D2v3,2.0,8.0
D2v4,2.0,8.0
D3,4.0,14.0
D32asv4,32.0,128.0
D32av4,32.0,128.0
D32dsv4,32.0,128.0
D32dv4,32.0,128.0
D32sv3,32.0,128.0
D32sv4,32.0,128.0
D32v3,32.0,128.0
D32v4,32.0,128.0
D3s,4.0,14.0
D3v2,4.0,14.0
D4,8.0,28.0
D48asv4,48.0,192.0
D48av4,48.0,192.0
D48dsv4,48.0,192.0
D48dv4,48.0,192.0
D48sv3,48.0,192.0
D48sv4,48.0,192.0
D48v3,48.0,192.0
D48v4,48.0,192.0
D4asv4,4.0,16.0
D4av4,4.0,16.0
D4dsv4,4.0,16.0
D4dv4,4.0,16.0
D4s,8.0,28.0
D4sv3,4.0,16.0
D4sv4,4.0,16.0
D4v2,8.0,28.0
D4v3,4.0,16.0
D4v4,4.0,16.0
D5v2,16.0,56.0
D64asv4,64.0,256.0
D64av4,64.0,256.0
D64dsv4,64.0,256.0
D64dv4,64.0,256.0
D64sv3,64.0,256.0
D64sv4,64.0,256.0
D64v3,64.0,256.0
D64v4,64.0,256.0
D8asv4,8.0,32.0
D8av4,8.0,32.0
D8dsv4,8.0,32.0
D8dv4,8.0,32.0
D8sv3,8.0,32.0
D8sv4,8.0,32.0
D8v3,8.0,32.0
D8v4,8.0,32.0
D96asv4,96.0,384.0
D96av4,96.0,384.0
DC1sv2,1.0,4.0
DC2s,2.0,8.0
DC2sv2,2.0,8.0
DC4s,4.0,16.0
DC4sv2,4.0,16.0
DC8v2,8.0,32.0
DS11-1v2,1.0,14.0
DS11v2,2.0,14.0
DS12-1v2,1.0,28.0
DS12-2v2,2.0,28.0
DS12v2,4.0,28.0
DS13-2v2,2.0,56.0
DS13-4v2,4.0,56.0
DS13v2,8.0,56.0
DS14-4v2,4.0,112.0
DS14-8v2,8.0,112.0
DS14v2,16.0,112.0
DS15iv2,20.0,140.0
DS15v2,20.0,140.0
DS1v2,1.0,3.5
DS2v2,2.0,7.0
DS3v2,4.0,14.0
DS4v2,8.0,28.0
DS5v2,16.0,56.0
E16-4dsv4,4.0,128.0
E16-4sv3,4.0,128.0
E16-4sv4,4.0,128.0
E16-8dsv4,8.0,128.0
E16-8sv3,8.0,128.0
E16-8sv4,8.0,128.0
E16asv4,16.0,128.0
E16av4,16.0,128.0
E16dsv4,16.0,128.0
E16dv4,16.0,128.0
E16sv3,16.0,128.0
E16sv4,16.0,128.0
E16v3,16.0,128.0
E16v4,16.0,128.0
E20asv4,20.0,160.0
E20av4,20.0,160.0
E20dsv4,20.0,160.0
E20dv4,20.0,160.0
E20sv3,20.0,160.0
E20sv4,20.0,160.0
E20v3,20.0,160.0
E2asv4,2.0,16.0
E2av4,2.0,16.0
E2dsv4,2.0,16.0
E2dv4,2.0,16.0
E2sv3,2.0,16.0
E2sv4,2.0,16.0
E2v3,2.0,16.0
E2v4,2.0,16.0
E32-16dsv4,16.0,256.0
E32-16sv3,16.0,256.0
E32-16sv4,16.0,256.0
E32-8dsv4,8.0,256.0
E32-8sv3,8.0,256.0
E32-8sv4,8.0,256.0
E32asv4,32.0,256.0
E32av4,32.0,256.0
E32dsv4,32.0,256.0
E32dv4,32.0,256.0
E32sv3,32.0,256.0
E32sv4,32.0,256.0
E32v3,32.0,256.0
E32v4,32.0,256.0
E4-2dsv4,2.0,32.0
E4-2sv3,2.0,32.0
E4-2sv4,2.0,32.0
E48asv4,48.0,384.0
E48av4,48.0,384.0
E48dsv4,48.0,384.0
E48dv4,48.0,384.0
E48sv3,48.0,384.0
E48sv4,48.0,384.0
E48v3,48.0,384.0
E48v4,48.0,384.0
E4asv4,4.0,32.0
E4av4,4.0,32.0
E4dsv4,4.0,32.0
E4dv4,4.0,32.0
E4sv3,4.0,32.0
E4sv4,4.0,32.0
E4v3,4.0,32.0
