instance,cpu,memory
A0,1,0.75
A1,1,1.75
A10,8,56
A11,16,112
A1v2,1,2
A2,2,3.5
A2mv2,2,16
A2v2,2,4
A3,4,7
A4,8,14
A4mv2,4,32
A4v2,4,8
A5,2,14
A6,4,28
A7,8,56
A8,8,56
A8mv2,8,64
A8v2,8,16
A9,16,112
B12MS,12,48
B16MS,16,64
B1MS,1,2
B1S,1,1
B20MS,20,80
B2MS,2,8
B2S,2,4
B4MS,4,16
B8MS,8,32
D1,1,3.5
D11,2,14
D11s,2,14
D11v2,2,14
D12,4,28
D12s,4,28
D12v2,4,28
D13,8,56
D13s,8,56
D13v2,8,56
D14,16,112
D14s,16,112
D14v2,16,112
D15iv2,20,140
D15v2,20,140
D16asv4,16,64
D16av4,16,64
D16sv3,16,64
D16v3,16,64
D1s,1,3.5
D1v2,1,3.5
D2,2,7
D2asv4,2,8
D2av4,2,8
D2s,2,7
D2sv3,2,8
D2v2,2,7
D2v3,2,8
D3,4,14
D32asv4,32,128
D32av4,32,128
D32sv3,32,128
D32v3,32,128
D3s,4,14
D3v2,4,14
D4,8,28
D48asv4,48,192
D48av4,48,192
D48sv3,48,192
D48v3,48,192
D4asv4,4,16
D4av4,4,16
D4s,8,28
D4sv3,4,16
D4v2,8,28
D4v3,4,16
D5v2,16,56
D64asv4,64,256
D64av4,64,256
D64sv3,64,256
D64v3,64,256
D8asv4,8,32
D8av4,8,32
D8sv3,8,32
D8v3,8,32
D96asv4,96,384
D96av4,96,384
DC1sv2,2,4
DC2s,2,8
DC2sv2,4,8
DC4s,4,16
DC4sv2,8,16
DC8sv2,16,32
DS11-1v2,1,14
DS11v2,2,14
DS12-1v2,1,28
DS12-2v2,2,28
DS12v2,4,28
DS13-2v2,2,56
DS13-4v2,4,56
DS13v2,8,56
DS14-4v2,4,112
DS14-8v2,8,112
DS14v2,16,112
DS15iv2,20,140
DS15v2,20,140
DS1v2,1,3.5
DS2v2,2,7
DS3v2,4,14
DS4v2,8,28
DS5v2,16,56
E16-4sv3,4,128
E16-8sv3,8,128
E16asv4,16,128
E16av4,16,128
E16sv3,16,128
E16v3,16,128
E20asv4,20,160
E20av4,20,160
E20sv3,20,160
E20v3,20,160
E2asv4,2,16
E2av4,2,16
E2sv3,2,16
E2v3,2,16
E32-16sv3,16,256
E32-8sv3,8,256
E32asv4,32,256
E32av4,32,256
E32sv3,32,256
E32v3,32,256
E4-2sv3,2,32
E48asv4,48,384
E48av4,48,384
E48sv3,48,384
E48v3,48,384
E4asv4,4,32
E4av4,4,32
E4sv3,4,32
E4v3,4,32
E64-16sv3,16,432
E64-32sv3,32,432
E64asv4,64,512
E64av4,64,512
E64isv3,64,432
E64iv3,64,432
E64sv3,64,432
E64v3,64,432
E8-2sv3,2,64
E8-4sv3,4,64
E8asv4,8,64
E8av4,8,64
E8sv3,8,64
E8v3,8,64
E96asv4,96,672
E96av4,96,672
F1,1,2
F16,16,32
F16s,16,32
F16sv2,16,32
F1s,1,2
F2,2,4
F2s,2,4
F2sv2,2,4
F32sv2,32,64
F4,4,8
F48sv2,48,96
F4s,4,8
F4sv2,4,8
F64sv2,64,128
F72sv2,72,144
F8,8,16
F8s,8,16
F8sv2,8,16
G1,2,28
G2,4,56
G3,8,112
G4,16,224
G5,32,448
Gs1,2,28
Gs2,4,56
Gs3,8,112
Gs4,16,224
Gs4-4,4,224
Gs4-8,8,224
Gs5,32,448
Gs5-16,16,448
Gs5-8,8,448
H16,16,112
H16m,16,224
H16mr,16,224
H16r,16,112
H8,8,56
H8m,8,112
HB120rsv2,120,480
HB60rs,60,240
HC44rs,44,352
L16s,16,128
L16sv2,16,128
L32s,32,256
L32sv2,32,256
L48sv2,48,384
L4s,4,32
L64sv2,64,512
L80sv2,80,640
L8s,8,64
L8sv2,8,64
M128,128,2048
M128-32ms,32,3800
M128-64ms,64,3800
M128m,128,3892
M128ms,128,3892
M128s,128,2048
M16-8ms,8,438
M16ms,16,438
M208msv2,208,5700
M208sv2,208,2850
M32ls,32,256
M32ms,32,875
M32ts,32,192
M416msv2,416,11400
M416sv2,416,5700
M64,64,1024
M64-16ms,16,1750
M64-32ms,32,1750
M64ls,64,512
M64m,64,1792
M64ms,64,1792
M64s,64,1024
M8ms,8,219
NC12,12,112
NC12sv2,12,224
NC12sv3,12,224
NC24,24,224
NC24r,24,224
NC24rsv2,24,448
NC24rsv3,24,448
NC24sv2,24,448
NC24sv3,24,448
NC6,6,56
NC6sv2,6,112
NC6sv3,6,112
ND12s,12,224
ND24rs,24,448
ND24s,24,448
ND40rsv2,40,672
ND6s,6,112
NV12,12,112
NV12sv3,12,112
NV16sv4,16,56
NV24,24,224
NV24sv3,24,224
NV32sv4,32,112
NV48sv3,48,448
NV4sv4,4,14
NV6,6,56
NV8sv4,8,28
PB12s,12,224
PB24s,24,448
PB6s,6,112
