,region,os,vm_type,vcpu,memory,price,storage
0,asia-pacific-east,biztalk-enterprise,B1S,1,1.00,2.122,2
1,asia-pacific-southeast,biztalk-enterprise,B1S,1,1.00,2.1172,2
2,australia-central,biztalk-enterprise,B1S,1,1.00,2.125,2
3,australia-central-2,biztalk-enterprise,B1S,1,1.00,2.125,2
4,australia-east,biztalk-enterprise,B1S,1,1.00,2.1172,2
5,australia-southeast,biztalk-enterprise,B1S,1,1.00,2.12,2
6,brazil-south,biztalk-enterprise,B1S,1,1.00,2.1208,2
7,canada-central,biztalk-enterprise,B1S,1,1.00,2.1156,2
8,canada-east,biztalk-enterprise,B1S,1,1.00,2.1175,2
9,central-india,biztalk-enterprise,B1S,1,1.00,2.1174,2
10,europe-north,biztalk-enterprise,B1S,1,1.00,2.1153,2
11,europe-west,biztalk-enterprise,B1S,1,1.00,2.116,2
12,france-central,biztalk-enterprise,B1S,1,1.00,2.1175,2
13,france-south,biztalk-enterprise,B1S,1,1.00,2.1228,2
14,germany-central,biztalk-enterprise,B1S,1,1.00,2.11125,2
15,germany-northeast,biztalk-enterprise,B1S,1,1.00,2.11125,2
16,japan-east,biztalk-enterprise,B1S,1,1.00,2.1176,2
17,japan-west,biztalk-enterprise,B1S,1,1.00,2.1206,2
18,korea-central,biztalk-enterprise,B1S,1,1.00,2.1186,2
19,korea-south,biztalk-enterprise,B1S,1,1.00,2.1166,2
20,south-india,biztalk-enterprise,B1S,1,1.00,2.1191,2
21,united-kingdom-south,biztalk-enterprise,B1S,1,1.00,2.1158,2
22,united-kingdom-west,biztalk-enterprise,B1S,1,1.00,2.1175,2
23,us-central,biztalk-enterprise,B1S,1,1.00,2.118,2
24,us-east,biztalk-enterprise,B1S,1,1.00,2.114,2
25,us-east-2,biztalk-enterprise,B1S,1,1.00,2.114,2
26,usgov-arizona,biztalk-enterprise,B1S,1,1.00,2.1206,2
27,usgov-texas,biztalk-enterprise,B1S,1,1.00,2.1206,2
28,usgov-virginia,biztalk-enterprise,B1S,1,1.00,2.1206,2
29,us-north-central,biztalk-enterprise,B1S,1,1.00,2.1144,2
30,us-south-central,biztalk-enterprise,B1S,1,1.00,2.1179,2
31,us-west,biztalk-enterprise,B1S,1,1.00,2.1164,2
32,us-west-2,biztalk-enterprise,B1S,1,1.00,2.1144,2
33,us-west-central,biztalk-enterprise,B1S,1,1.00,2.118,2
34,west-india,biztalk-enterprise,B1S,1,1.00,2.1193,2
