,region,os,vm_type,vcpu,memory,price,storage
0,asia-pacific-east,biztalk-standard,B1S,1,1.00,0.502,2
1,asia-pacific-southeast,biztalk-standard,B1S,1,1.00,0.4972,2
2,australia-central,biztalk-standard,B1S,1,1.00,0.505,2
3,australia-central-2,biztalk-standard,B1S,1,1.00,0.505,2
4,australia-east,biztalk-standard,B1S,1,1.00,0.4972,2
5,australia-southeast,biztalk-standard,B1S,1,1.00,0.5,2
6,brazil-south,biztalk-standard,B1S,1,1.00,0.5008,2
7,canada-central,biztalk-standard,B1S,1,1.00,0.4956,2
8,canada-east,biztalk-standard,B1S,1,1.00,0.4975,2
9,central-india,biztalk-standard,B1S,1,1.00,0.4974,2
10,europe-north,biztalk-standard,B1S,1,1.00,0.4953,2
11,europe-west,biztalk-standard,B1S,1,1.00,0.496,2
12,france-central,biztalk-standard,B1S,1,1.00,0.4975,2
13,france-south,biztalk-standard,B1S,1,1.00,0.5028,2
14,germany-central,biztalk-standard,B1S,1,1.00,0.49125,2
15,germany-northeast,biztalk-standard,B1S,1,1.00,0.49125,2
16,japan-east,biztalk-standard,B1S,1,1.00,0.4976,2
17,japan-west,biztalk-standard,B1S,1,1.00,0.5006,2
18,korea-central,biztalk-standard,B1S,1,1.00,0.4986,2
19,korea-south,biztalk-standard,B1S,1,1.00,0.4966,2
20,south-india,biztalk-standard,B1S,1,1.00,0.4991,2
21,united-kingdom-south,biztalk-standard,B1S,1,1.00,0.4958,2
22,united-kingdom-west,biztalk-standard,B1S,1,1.00,0.4975,2
23,us-central,biztalk-standard,B1S,1,1.00,0.498,2
24,us-east,biztalk-standard,B1S,1,1.00,0.494,2
25,us-east-2,biztalk-standard,B1S,1,1.00,0.494,2
26,usgov-arizona,biztalk-standard,B1S,1,1.00,0.5006,2
27,usgov-texas,biztalk-standard,B1S,1,1.00,0.5006,2
28,usgov-virginia,biztalk-standard,B1S,1,1.00,0.5006,2
29,us-north-central,biztalk-standard,B1S,1,1.00,0.4944,2
30,us-south-central,biztalk-standard,B1S,1,1.00,0.4979,2
31,us-west,biztalk-standard,B1S,1,1.00,0.4964,2
32,us-west-2,biztalk-standard,B1S,1,1.00,0.4944,2
33,us-west-central,biztalk-standard,B1S,1,1.00,0.498,2
34,west-india,biztalk-standard,B1S,1,1.00,0.4993,2
35,asia-pacific-east,biztalk-standard,B1MS,1,2.00,0.5181,4
36,asia-pacific-southeast,biztalk-standard,B1MS,1,2.00,0.5104,4
37,australia-central,biztalk-standard,B1MS,1,2.00,0.5248,4
38,australia-central-2,biztalk-standard,B1MS,1,2.00,0.5248,4
39,australia-east,biztalk-standard,B1MS,1,2.00,0.5104,4
40,australia-southeast,biztalk-standard,B1MS,1,2.00,0.5159,4
41,brazil-south,biztalk-standard,B1MS,1,2.00,0.5176,4
42,canada-central,biztalk-standard,B1MS,1,2.00,0.5067,4
43,canada-east,biztalk-standard,B1MS,1,2.00,0.5073,4
44,central-india,biztalk-standard,B1MS,1,2.00,0.5103,4
45,europe-north,biztalk-standard,B1MS,1,2.00,0.5062,4
46,europe-west,biztalk-standard,B1MS,1,2.00,0.5077,4
47,france-central,biztalk-standard,B1MS,1,2.00,0.51,4
48,france-south,biztalk-standard,B1MS,1,2.00,0.5178,4
49,germany-central,biztalk-standard,B1MS,1,2.00,0.5,4
50,germany-northeast,biztalk-standard,B1MS,1,2.00,0.5,4
51,japan-east,biztalk-standard,B1MS,1,2.00,0.5112,4
52,japan-west,biztalk-standard,B1MS,1,2.00,0.514,4
53,korea-central,biztalk-standard,B1MS,1,2.00,0.5121,4
54,korea-south,biztalk-standard,B1MS,1,2.00,0.5091,4
55,south-india,biztalk-standard,B1MS,1,2.00,0.5133,4
56,united-kingdom-south,biztalk-standard,B1MS,1,2.00,0.5076,4
57,united-kingdom-west,biztalk-standard,B1MS,1,2.00,0.5075,4
58,us-central,biztalk-standard,B1MS,1,2.00,0.509,4
