,region,os,vm_type,vcpu,memory,price,storage
0,asia-pacific-east,red-hat,B1S,1,1.00,0.077,2
1,asia-pacific-southeast,red-hat,B1S,1,1.00,0.0732,2
2,australia-central,red-hat,B1S,1,1.00,0.08,2
3,australia-central-2,red-hat,B1S,1,1.00,0.08,2
4,australia-east,red-hat,B1S,1,1.00,0.0732,2
5,australia-southeast,red-hat,B1S,1,1.00,0.076,2
6,brazil-south,red-hat,B1S,1,1.00,0.0768,2
7,canada-central,red-hat,B1S,1,1.00,0.0716,2
8,canada-east,red-hat,B1S,1,1.00,0.073,2
9,central-india,red-hat,B1S,1,1.00,0.0733,2
10,europe-north,red-hat,B1S,1,1.00,0.0713,2
11,europe-west,red-hat,B1S,1,1.00,0.072,2
12,france-central,red-hat,B1S,1,1.00,0.073,2
13,france-south,red-hat,B1S,1,1.00,0.0769,2
14,germany-central,red-hat,B1S,1,1.00,0.0675,2
15,germany-northeast,red-hat,B1S,1,1.00,0.0675,2
16,japan-east,red-hat,B1S,1,1.00,0.0736,2
17,japan-west,red-hat,B1S,1,1.00,0.076,2
18,korea-central,red-hat,B1S,1,1.00,0.074,2
19,korea-south,red-hat,B1S,1,1.00,0.073,2
20,south-india,red-hat,B1S,1,1.00,0.0745,2
21,united-kingdom-south,red-hat,B1S,1,1.00,0.0718,2
22,united-kingdom-west,red-hat,B1S,1,1.00,0.073,2
23,us-central,red-hat,B1S,1,1.00,0.073,2
24,us-east,red-hat,B1S,1,1.00,0.0704,2
25,us-east-2,red-hat,B1S,1,1.00,0.0704,2
26,usgov-arizona,red-hat,B1S,1,1.00,0.075,2
27,usgov-texas,red-hat,B1S,1,1.00,0.075,2
28,usgov-virginia,red-hat,B1S,1,1.00,0.075,2
29,us-north-central,red-hat,B1S,1,1.00,0.0704,2
30,us-south-central,red-hat,B1S,1,1.00,0.073,2
31,us-west,red-hat,B1S,1,1.00,0.0724,2
32,us-west-2,red-hat,B1S,1,1.00,0.0704,2
33,us-west-central,red-hat,B1S,1,1.00,0.073,2
34,west-india,red-hat,B1S,1,1.00,0.0747,2
