,region,os,vm_type,vcpu,memory,price,storage
0,asia-pacific-east,sles-basic,B1S,1,1.00,0.017,2
1,asia-pacific-southeast,sles-basic,B1S,1,1.00,0.0132,2
2,australia-central,sles-basic,B1S,1,1.00,0.02,2
3,australia-central-2,sles-basic,B1S,1,1.00,0.02,2
4,australia-east,sles-basic,B1S,1,1.00,0.0132,2
5,australia-southeast,sles-basic,B1S,1,1.00,0.016,2
6,brazil-south,sles-basic,B1S,1,1.00,0.0168,2
7,canada-central,sles-basic,B1S,1,1.00,0.0116,2
8,canada-east,sles-basic,B1S,1,1.00,0.013,2
9,central-india,sles-basic,B1S,1,1.00,0.0133,2
10,europe-north,sles-basic,B1S,1,1.00,0.0113,2
11,europe-west,sles-basic,B1S,1,1.00,0.012,2
12,france-central,sles-basic,B1S,1,1.00,0.013,2
13,france-south,sles-basic,B1S,1,1.00,0.0169,2
14,germany-central,sles-basic,B1S,1,1.00,0.0075,2
15,germany-northeast,sles-basic,B1S,1,1.00,0.0075,2
16,japan-east,sles-basic,B1S,1,1.00,0.0136,2
17,japan-west,sles-basic,B1S,1,1.00,0.016,2
18,korea-central,sles-basic,B1S,1,1.00,0.014,2
19,korea-south,sles-basic,B1S,1,1.00,0.013,2
20,south-india,sles-basic,B1S,1,1.00,0.0145,2
21,united-kingdom-south,sles-basic,B1S,1,1.00,0.0118,2
22,united-kingdom-west,sles-basic,B1S,1,1.00,0.013,2
23,us-central,sles-basic,B1S,1,1.00,0.013,2
24,us-east,sles-basic,B1S,1,1.00,0.0104,2
25,us-east-2,sles-basic,B1S,1,1.00,0.0104,2
26,usgov-arizona,sles-basic,B1S,1,1.00,0.015,2
27,usgov-texas,sles-basic,B1S,1,1.00,0.015,2
28,usgov-virginia,sles-basic,B1S,1,1.00,0.015,2
29,us-north-central,sles-basic,B1S,1,1.00,0.0104,2
30,us-south-central,sles-basic,B1S,1,1.00,0.013,2
31,us-west,sles-basic,B1S,1,1.00,0.0124,2
32,us-west-2,sles-basic,B1S,1,1.00,0.0104,2
33,us-west-central,sles-basic,B1S,1,1.00,0.013,2
34,west-india,sles-basic,B1S,1,1.00,0.0147,2
35,asia-pacific-east,sles-basic,B1MS,1,2.00,0.034,4
