,region,os,vm_type,vcpu,memory,price,storage
0,asia-pacific-east,sles-hpc-priority,B1S,1,1.00,0.042,2
1,asia-pacific-southeast,sles-hpc-priority,B1S,1,1.00,0.0382,2
2,australia-central,sles-hpc-priority,B1S,1,1.00,0.045,2
3,australia-central-2,sles-hpc-priority,B1S,1,1.00,0.045,2
4,australia-east,sles-hpc-priority,B1S,1,1.00,0.0382,2
5,australia-southeast,sles-hpc-priority,B1S,1,1.00,0.041,2
6,brazil-south,sles-hpc-priority,B1S,1,1.00,0.0418,2
7,canada-central,sles-hpc-priority,B1S,1,1.00,0.0366,2
8,canada-east,sles-hpc-priority,B1S,1,1.00,0.038,2
9,central-india,sles-hpc-priority,B1S,1,1.00,0.0383,2
10,europe-north,sles-hpc-priority,B1S,1,1.00,0.0363,2
11,europe-west,sles-hpc-priority,B1S,1,1.00,0.037,2
12,france-central,sles-hpc-priority,B1S,1,1.00,0.038,2
13,france-south,sles-hpc-priority,B1S,1,1.00,0.0419,2
14,germany-central,sles-hpc-priority,B1S,1,1.00,0.0325,2
15,germany-northeast,sles-hpc-priority,B1S,1,1.00,0.0325,2
16,japan-east,sles-hpc-priority,B1S,1,1.00,0.0386,2
17,japan-west,sles-hpc-priority,B1S,1,1.00,0.041,2
18,korea-central,sles-hpc-priority,B1S,1,1.00,0.039,2
19,korea-south,sles-hpc-priority,B1S,1,1.00,0.038,2
20,south-india,sles-hpc-priority,B1S,1,1.00,0.0395,2
21,united-kingdom-south,sles-hpc-priority,B1S,1,1.00,0.0368,2
22,united-kingdom-west,sles-hpc-priority,B1S,1,1.00,0.038,2
23,us-central,sles-hpc-priority,B1S,1,1.00,0.038,2
24,us-east,sles-hpc-priority,B1S,1,1.00,0.0354,2
25,us-east-2,sles-hpc-priority,B1S,1,1.00,0.0354,2
26,usgov-arizona,sles-hpc-priority,B1S,1,1.00,0.04,2
27,usgov-texas,sles-hpc-priority,B1S,1,1.00,0.04,2
28,usgov-virginia,sles-hpc-priority,B1S,1,1.00,0.04,2
29,us-north-central,sles-hpc-priority,B1S,1,1.00,0.0354,2
30,us-south-central,sles-hpc-priority,B1S,1,1.00,0.038,2
31,us-west,sles-hpc-priority,B1S,1,1.00,0.0374,2
32,us-west-2,sles-hpc-priority,B1S,1,1.00,0.0354,2
33,us-west-central,sles-hpc-priority,B1S,1,1.00,0.038,2
34,west-india,sles-hpc-priority,B1S,1,1.00,0.0397,2
35,asia-pacific-east,sles-hpc-priority,B1MS,1,2.00,0.059,4
36,asia-pacific-southeast,sles-hpc-priority,B1MS,1,2.00,0.0514,4
37,australia-central,sles-hpc-priority,B1MS,1,2.00,0.065,4
38,australia-central-2,sles-hpc-priority,B1MS,1,2.00,0.065,4
39,australia-east,sles-hpc-priority,B1MS,1,2.00,0.0514,4
40,australia-southeast,sles-hpc-priority,B1MS,1,2.00,0.057,4
41,brazil-south,sles-hpc-priority,B1MS,1,2.00,0.0586,4
42,canada-central,sles-hpc-priority,B1MS,1,2.00,0.048,4
43,canada-east,sles-hpc-priority,B1MS,1,2.00,0.0483,4
44,central-india,sles-hpc-priority,B1MS,1,2.00,0.0517,4
45,europe-north,sles-hpc-priority,B1MS,1,2.00,0.0477,4
46,europe-west,sles-hpc-priority,B1MS,1,2.00,0.049,4
47,france-central,sles-hpc-priority,B1MS,1,2.00,0.051,4
48,france-south,sles-hpc-priority,B1MS,1,2.00,0.0588,4
49,germany-central,sles-hpc-priority,B1MS,1,2.00,0.04,4
50,germany-northeast,sles-hpc-priority,B1MS,1,2.00,0.04,4
51,japan-east,sles-hpc-priority,B1MS,1,2.00,0.0522,4
52,japan-west,sles-hpc-priority,B1MS,1,2.00,0.055,4
53,korea-central,sles-hpc-priority,B1MS,1,2.00,0.0531,4
54,korea-south,sles-hpc-priority,B1MS,1,2.00,0.051,4
55,south-india,sles-hpc-priority,B1MS,1,2.00,0.0544,4
56,united-kingdom-south,sles-hpc-priority,B1MS,1,2.00,0.0486,4
57,united-kingdom-west,sles-hpc-priority,B1MS,1,2.00,0.0485,4
58,us-central,sles-hpc-priority,B1MS,1,2.00,0.05,4
59,us-east,sles-hpc-priority,B1MS,1,2.00,0.0457,4
60,us-east-2,sles-hpc-priority,B1MS,1,2.00,0.0458,4
61,usgov-arizona,sles-hpc-priority,B1MS,1,2.00,0.0544,4
62,usgov-texas,sles-hpc-priority,B1MS,1,2.00,0.0544,4
63,usgov-virginia,sles-hpc-priority,B1MS,1,2.00,0.0544,4
64,us-north-central,sles-hpc-priority,B1MS,1,2.00,0.0458,4
65,us-south-central,sles-hpc-priority,B1MS,1,2.00,0.05,4
66,us-west,sles-hpc-priority,B1MS,1,2.00,0.0498,4
