,region,os,vm_type,vcpu,memory,price,storage
0,asia-pacific-east,sles-hpc-standard,B1S,1,1.00,0.03,2
1,asia-pacific-southeast,sles-hpc-standard,B1S,1,1.00,0.0262,2
2,australia-central,sles-hpc-standard,B1S,1,1.00,0.033,2
3,australia-central-2,sles-hpc-standard,B1S,1,1.00,0.033,2
4,australia-east,sles-hpc-standard,B1S,1,1.00,0.0262,2
5,australia-southeast,sles-hpc-standard,B1S,1,1.00,0.029,2
6,brazil-south,sles-hpc-standard,B1S,1,1.00,0.0298,2
7,canada-central,sles-hpc-standard,B1S,1,1.00,0.0246,2
8,canada-east,sles-hpc-standard,B1S,1,1.00,0.026,2
9,central-india,sles-hpc-standard,B1S,1,1.00,0.0263,2
10,europe-north,sles-hpc-standard,B1S,1,1.00,0.0243,2
11,europe-west,sles-hpc-standard,B1S,1,1.00,0.025,2
12,france-central,sles-hpc-standard,B1S,1,1.00,0.026,2
13,france-south,sles-hpc-standard,B1S,1,1.00,0.0299,2
14,germany-central,sles-hpc-standard,B1S,1,1.00,0.0205,2
15,germany-northeast,sles-hpc-standard,B1S,1,1.00,0.0205,2
16,japan-east,sles-hpc-standard,B1S,1,1.00,0.0266,2
17,japan-west,sles-hpc-standard,B1S,1,1.00,0.029,2
18,korea-central,sles-hpc-standard,B1S,1,1.00,0.027,2
19,korea-south,sles-hpc-standard,B1S,1,1.00,0.026,2
20,south-india,sles-hpc-standard,B1S,1,1.00,0.0275,2
21,united-kingdom-south,sles-hpc-standard,B1S,1,1.00,0.0248,2
22,united-kingdom-west,sles-hpc-standard,B1S,1,1.00,0.026,2
23,us-central,sles-hpc-standard,B1S,1,1.00,0.026,2
24,us-east,sles-hpc-standard,B1S,1,1.00,0.0234,2
25,us-east-2,sles-hpc-standard,B1S,1,1.00,0.0234,2
26,usgov-arizona,sles-hpc-standard,B1S,1,1.00,0.028,2
27,usgov-texas,sles-hpc-standard,B1S,1,1.00,0.028,2
28,usgov-virginia,sles-hpc-standard,B1S,1,1.00,0.028,2
29,us-north-central,sles-hpc-standard,B1S,1,1.00,0.0234,2
30,us-south-central,sles-hpc-standard,B1S,1,1.00,0.026,2
31,us-west,sles-hpc-standard,B1S,1,1.00,0.0254,2
32,us-west-2,sles-hpc-standard,B1S,1,1.00,0.0234,2
33,us-west-central,sles-hpc-standard,B1S,1,1.00,0.026,2
34,west-india,sles-hpc-standard,B1S,1,1.00,0.0277,2
35,asia-pacific-east,sles-hpc-standard,B1MS,1,2.00,0.047,4
36,asia-pacific-southeast,sles-hpc-standard,B1MS,1,2.00,0.0394,4
37,australia-central,sles-hpc-standard,B1MS,1,2.00,0.053,4
38,australia-central-2,sles-hpc-standard,B1MS,1,2.00,0.053,4
39,australia-east,sles-hpc-standard,B1MS,1,2.00,0.0394,4
40,australia-southeast,sles-hpc-standard,B1MS,1,2.00,0.045,4
41,brazil-south,sles-hpc-standard,B1MS,1,2.00,0.0466,4
42,canada-central,sles-hpc-standard,B1MS,1,2.00,0.036,4
43,canada-east,sles-hpc-standard,B1MS,1,2.00,0.0363,4
44,central-india,sles-hpc-standard,B1MS,1,2.00,0.0397,4
45,europe-north,sles-hpc-standard,B1MS,1,2.00,0.0357,4
46,europe-west,sles-hpc-standard,B1MS,1,2.00,0.037,4
47,france-central,sles-hpc-standard,B1MS,1,2.00,0.039,4
48,france-south,sles-hpc-standard,B1MS,1,2.00,0.0468,4
49,germany-central,sles-hpc-standard,B1MS,1,2.00,0.028,4
50,germany-northeast,sles-hpc-standard,B1MS,1,2.00,0.028,4
51,japan-east,sles-hpc-standard,B1MS,1,2.00,0.0402,4
52,japan-west,sles-hpc-standard,B1MS,1,2.00,0.043,4
53,korea-central,sles-hpc-standard,B1MS,1,2.00,0.0411,4
54,korea-south,sles-hpc-standard,B1MS,1,2.00,0.039,4
55,south-india,sles-hpc-standard,B1MS,1,2.00,0.0424,4
56,united-kingdom-south,sles-hpc-standard,B1MS,1,2.00,0.0366,4
57,united-kingdom-west,sles-hpc-standard,B1MS,1,2.00,0.0365,4
58,us-central,sles-hpc-standard,B1MS,1,2.00,0.038,4
59,us-east,sles-hpc-standard,B1MS,1,2.00,0.0337,4
60,us-east-2,sles-hpc-standard,B1MS,1,2.00,0.0338,4
61,usgov-arizona,sles-hpc-standard,B1MS,1,2.00,0.0424,4
