,region,os,vm_type,vcpu,memory,price,storage
0,asia-pacific-east,sles-priority,B1S,1,1.00,0.117,2
1,asia-pacific-southeast,sles-priority,B1S,1,1.00,0.1132,2
2,australia-central,sles-priority,B1S,1,1.00,0.12,2
3,australia-central-2,sles-priority,B1S,1,1.00,0.12,2
4,australia-east,sles-priority,B1S,1,1.00,0.1132,2
5,australia-southeast,sles-priority,B1S,1,1.00,0.116,2
6,brazil-south,sles-priority,B1S,1,1.00,0.1168,2
7,canada-central,sles-priority,B1S,1,1.00,0.1116,2
8,canada-east,sles-priority,B1S,1,1.00,0.113,2
9,central-india,sles-priority,B1S,1,1.00,0.1133,2
10,europe-north,sles-priority,B1S,1,1.00,0.1113,2
11,europe-west,sles-priority,B1S,1,1.00,0.112,2
12,france-central,sles-priority,B1S,1,1.00,0.113,2
13,france-south,sles-priority,B1S,1,1.00,0.1169,2
14,germany-central,sles-priority,B1S,1,1.00,0.1075,2
15,germany-northeast,sles-priority,B1S,1,1.00,0.1075,2
16,japan-east,sles-priority,B1S,1,1.00,0.1136,2
17,japan-west,sles-priority,B1S,1,1.00,0.116,2
18,korea-central,sles-priority,B1S,1,1.00,0.114,2
19,korea-south,sles-priority,B1S,1,1.00,0.113,2
20,south-india,sles-priority,B1S,1,1.00,0.1145,2
21,united-kingdom-south,sles-priority,B1S,1,1.00,0.1118,2
22,united-kingdom-west,sles-priority,B1S,1,1.00,0.113,2
23,us-central,sles-priority,B1S,1,1.00,0.113,2
24,us-east,sles-priority,B1S,1,1.00,0.1104,2
25,us-east-2,sles-priority,B1S,1,1.00,0.1104,2
26,usgov-arizona,sles-priority,B1S,1,1.00,0.115,2
27,usgov-texas,sles-priority,B1S,1,1.00,0.115,2
28,usgov-virginia,sles-priority,B1S,1,1.00,0.115,2
29,us-north-central,sles-priority,B1S,1,1.00,0.1104,2
30,us-south-central,sles-priority,B1S,1,1.00,0.113,2
31,us-west,sles-priority,B1S,1,1.00,0.1124,2
32,us-west-2,sles-priority,B1S,1,1.00,0.1104,2
33,us-west-central,sles-priority,B1S,1,1.00,0.113,2
34,west-india,sles-priority,B1S,1,1.00,0.1147,2
35,asia-pacific-east,sles-priority,B1MS,1,2.00,0.134,4
36,asia-pacific-southeast,sles-priority,B1MS,1,2.00,0.1264,4
37,australia-central,sles-priority,B1MS,1,2.00,0.14,4
38,australia-central-2,sles-priority,B1MS,1,2.00,0.14,4
39,australia-east,sles-priority,B1MS,1,2.00,0.1264,4
40,australia-southeast,sles-priority,B1MS,1,2.00,0.132,4
41,brazil-south,sles-priority,B1MS,1,2.00,0.1336,4
42,canada-central,sles-priority,B1MS,1,2.00,0.123,4
43,canada-east,sles-priority,B1MS,1,2.00,0.1233,4
44,central-india,sles-priority,B1MS,1,2.00,0.1267,4
45,europe-north,sles-priority,B1MS,1,2.00,0.1227,4
46,europe-west,sles-priority,B1MS,1,2.00,0.124,4
47,france-central,sles-priority,B1MS,1,2.00,0.126,4
48,france-south,sles-priority,B1MS,1,2.00,0.1338,4
49,germany-central,sles-priority,B1MS,1,2.00,0.115,4
50,germany-northeast,sles-priority,B1MS,1,2.00,0.115,4
51,japan-east,sles-priority,B1MS,1,2.00,0.1272,4
52,japan-west,sles-priority,B1MS,1,2.00,0.13,4
53,korea-central,sles-priority,B1MS,1,2.00,0.1281,4
54,korea-south,sles-priority,B1MS,1,2.00,0.126,4
55,south-india,sles-priority,B1MS,1,2.00,0.1294,4
56,united-kingdom-south,sles-priority,B1MS,1,2.00,0.1236,4
57,united-kingdom-west,sles-priority,B1MS,1,2.00,0.1235,4
58,us-central,sles-priority,B1MS,1,2.00,0.125,4
59,us-east,sles-priority,B1MS,1,2.00,0.1207,4
60,us-east-2,sles-priority,B1MS,1,2.00,0.1208,4
61,usgov-arizona,sles-priority,B1MS,1,2.00,0.1294,4
62,usgov-texas,sles-priority,B1MS,1,2.00,0.1294,4
63,usgov-virginia,sles-priority,B1MS,1,2.00,0.1294,4
64,us-north-central,sles-priority,B1MS,1,2.00,0.1208,4
65,us-south-central,sles-priority,B1MS,1,2.00,0.125,4
66,us-west,sles-priority,B1MS,1,2.00,0.1248,4
67,us-west-2,sles-priority,B1MS,1,2.00,0.1208,4
68,us-west-central,sles-priority,B1MS,1,2.00,0.125,4
69,west-india,sles-priority,B1MS,1,2.00,0.13,4
70,asia-pacific-east,sles-priority,B2S,2,4.00,0.268,8
71,asia-pacific-southeast,sles-priority,B2S,2,4.00,0.2528,8
72,australia-central,sles-priority,B2S,2,4.00,0.28,8
73,australia-central-2,sles-priority,B2S,2,4.00,0.28,8
74,australia-east,sles-priority,B2S,2,4.00,0.2528,8
75,australia-southeast,sles-priority,B2S,2,4.00,0.264,8
76,brazil-south,sles-priority,B2S,2,4.00,0.2672,8
77,canada-central,sles-priority,B2S,2,4.00,0.2464,8
78,canada-east,sles-priority,B2S,2,4.00,0.2466,8
79,central-india,sles-priority,B2S,2,4.00,0.253,8
80,europe-north,sles-priority,B2S,2,4.00,0.245,8
81,europe-west,sles-priority,B2S,2,4.00,0.248,8
82,france-central,sles-priority,B2S,2,4.00,0.252,8
83,france-south,sles-priority,B2S,2,4.00,0.2676,8
84,germany-central,sles-priority,B2S,2,4.00,0.23,8
85,germany-northeast,sles-priority,B2S,2,4.00,0.23,8
86,japan-east,sles-priority,B2S,2,4.00,0.2544,8
87,japan-west,sles-priority,B2S,2,4.00,0.2599,8
88,korea-central,sles-priority,B2S,2,4.00,0.2562,8
89,korea-south,sles-priority,B2S,2,4.00,0.252,8
90,south-india,sles-priority,B2S,2,4.00,0.258,8
91,united-kingdom-south,sles-priority,B2S,2,4.00,0.2472,8
92,united-kingdom-west,sles-priority,B2S,2,4.00,0.247,8
93,us-central,sles-priority,B2S,2,4.00,0.2499,8
94,us-east,sles-priority,B2S,2,4.00,0.2416,8
95,us-east-2,sles-priority,B2S,2,4.00,0.2416,8
96,usgov-arizona,sles-priority,B2S,2,4.00,0.26,8
97,usgov-texas,sles-priority,B2S,2,4.00,0.26,8
98,usgov-virginia,sles-priority,B2S,2,4.00,0.26,8
99,us-north-central,sles-priority,B2S,2,4.00,0.2416,8
100,us-south-central,sles-priority,B2S,2,4.00,0.2499,8
101,us-west,sles-priority,B2S,2,4.00,0.2496,8
102,us-west-2,sles-priority,B2S,2,4.00,0.2416,8
103,us-west-central,sles-priority,B2S,2,4.00,0.2499,8
104,west-india,sles-priority,B2S,2,4.00,0.259,8
105,asia-pacific-east,sles-priority,B2MS,2,8.00,0.335,16
106,asia-pacific-southeast,sles-priority,B2MS,2,8.00,0.306,16
107,australia-central,sles-priority,B2MS,2,8.00,0.36,16
108,australia-central-2,sles-priority,B2MS,2,8.00,0.36,16
109,australia-east,sles-priority,B2MS,2,8.00,0.306,16
110,australia-southeast,sles-priority,B2MS,2,8.00,0.328,16
111,brazil-south,sles-priority,B2MS,2,8.00,0.334,16
112,canada-central,sles-priority,B2MS,2,8.00,0.2928,16
113,canada-east,sles-priority,B2MS,2,8.00,0.2932,16
114,central-india,sles-priority,B2MS,2,8.00,0.307,16
115,europe-north,sles-priority,B2MS,2,8.00,0.291,16
116,europe-west,sles-priority,B2MS,2,8.00,0.296,16
117,france-central,sles-priority,B2MS,2,8.00,0.304,16
118,france-south,sles-priority,B2MS,2,8.00,0.335,16
119,germany-central,sles-priority,B2MS,2,8.00,0.25875,16
120,germany-northeast,sles-priority,B2MS,2,8.00,0.25875,16
121,japan-east,sles-priority,B2MS,2,8.00,0.309,16
122,japan-west,sles-priority,B2MS,2,8.00,0.32,16
123,korea-central,sles-priority,B2MS,2,8.00,0.312,16
124,korea-south,sles-priority,B2MS,2,8.00,0.304,16
125,south-india,sles-priority,B2MS,2,8.00,0.318,16
126,united-kingdom-south,sles-priority,B2MS,2,8.00,0.2944,16
127,united-kingdom-west,sles-priority,B2MS,2,8.00,0.294,16
128,us-central,sles-priority,B2MS,2,8.00,0.2998,16
129,us-east,sles-priority,B2MS,2,8.00,0.2832,16
130,us-east-2,sles-priority,B2MS,2,8.00,0.2832,16
131,usgov-arizona,sles-priority,B2MS,2,8.00,0.3175,16
132,usgov-texas,sles-priority,B2MS,2,8.00,0.3175,16
133,usgov-virginia,sles-priority,B2MS,2,8.00,0.3175,16
134,us-north-central,sles-priority,B2MS,2,8.00,0.2832,16
135,us-south-central,sles-priority,B2MS,2,8.00,0.2998,16
136,us-west,sles-priority,B2MS,2,8.00,0.2992,16
137,us-west-2,sles-priority,B2MS,2,8.00,0.2832,16
138,us-west-central,sles-priority,B2MS,2,8.00,0.2998,16
139,west-india,sles-priority,B2MS,2,8.00,0.319,16
140,asia-pacific-east,sles-priority,B4MS,4,16.00,0.47,32
141,asia-pacific-southeast,sles-priority,B4MS,4,16.00,0.411,32
142,australia-central,sles-priority,B4MS,4,16.00,0.52,32
143,australia-central-2,sles-priority,B4MS,4,16.00,0.52,32
144,australia-east,sles-priority,B4MS,4,16.00,0.411,32
145,australia-southeast,sles-priority,B4MS,4,16.00,0.456,32
146,brazil-south,sles-priority,B4MS,4,16.00,0.469,32
147,canada-central,sles-priority,B4MS,4,16.00,0.385,32
148,canada-east,sles-priority,B4MS,4,16.00,0.386,32
