,region,os,vm_type,vcpu,memory,price,storage
0,asia-pacific-east,sles-sap,B1S,1,1.00,0.187,2
1,asia-pacific-southeast,sles-sap,B1S,1,1.00,0.1832,2
2,australia-central,sles-sap,B1S,1,1.00,0.19,2
3,australia-central-2,sles-sap,B1S,1,1.00,0.19,2
4,australia-east,sles-sap,B1S,1,1.00,0.1832,2
5,australia-southeast,sles-sap,B1S,1,1.00,0.186,2
6,brazil-south,sles-sap,B1S,1,1.00,0.1868,2
7,canada-central,sles-sap,B1S,1,1.00,0.1816,2
8,canada-east,sles-sap,B1S,1,1.00,0.183,2
9,central-india,sles-sap,B1S,1,1.00,0.1833,2
10,europe-north,sles-sap,B1S,1,1.00,0.1813,2
11,europe-west,sles-sap,B1S,1,1.00,0.182,2
12,france-central,sles-sap,B1S,1,1.00,0.183,2
13,france-south,sles-sap,B1S,1,1.00,0.1869,2
14,germany-central,sles-sap,B1S,1,1.00,0.1775,2
15,germany-northeast,sles-sap,B1S,1,1.00,0.1775,2
16,japan-east,sles-sap,B1S,1,1.00,0.1836,2
17,japan-west,sles-sap,B1S,1,1.00,0.186,2
18,korea-central,sles-sap,B1S,1,1.00,0.184,2
19,korea-south,sles-sap,B1S,1,1.00,0.183,2
20,south-india,sles-sap,B1S,1,1.00,0.1845,2
21,united-kingdom-south,sles-sap,B1S,1,1.00,0.1818,2
22,united-kingdom-west,sles-sap,B1S,1,1.00,0.183,2
23,us-central,sles-sap,B1S,1,1.00,0.183,2
24,us-east,sles-sap,B1S,1,1.00,0.1804,2
25,us-east-2,sles-sap,B1S,1,1.00,0.1804,2
26,usgov-arizona,sles-sap,B1S,1,1.00,0.185,2
27,usgov-texas,sles-sap,B1S,1,1.00,0.185,2
28,usgov-virginia,sles-sap,B1S,1,1.00,0.185,2
29,us-north-central,sles-sap,B1S,1,1.00,0.1804,2
30,us-south-central,sles-sap,B1S,1,1.00,0.183,2
31,us-west,sles-sap,B1S,1,1.00,0.1824,2
32,us-west-2,sles-sap,B1S,1,1.00,0.1804,2
33,us-west-central,sles-sap,B1S,1,1.00,0.183,2
34,west-india,sles-sap,B1S,1,1.00,0.1847,2
35,asia-pacific-east,sles-sap,B1MS,1,2.00,0.204,4
36,asia-pacific-southeast,sles-sap,B1MS,1,2.00,0.1964,4
37,australia-central,sles-sap,B1MS,1,2.00,0.21,4
38,australia-central-2,sles-sap,B1MS,1,2.00,0.21,4
39,australia-east,sles-sap,B1MS,1,2.00,0.1964,4
40,australia-southeast,sles-sap,B1MS,1,2.00,0.202,4
41,brazil-south,sles-sap,B1MS,1,2.00,0.2036,4
42,canada-central,sles-sap,B1MS,1,2.00,0.193,4
43,canada-east,sles-sap,B1MS,1,2.00,0.1933,4
44,central-india,sles-sap,B1MS,1,2.00,0.1967,4
45,europe-north,sles-sap,B1MS,1,2.00,0.1927,4
46,europe-west,sles-sap,B1MS,1,2.00,0.194,4
47,france-central,sles-sap,B1MS,1,2.00,0.196,4
48,france-south,sles-sap,B1MS,1,2.00,0.2038,4
49,germany-central,sles-sap,B1MS,1,2.00,0.185,4
50,germany-northeast,sles-sap,B1MS,1,2.00,0.185,4
51,japan-east,sles-sap,B1MS,1,2.00,0.1972,4
52,japan-west,sles-sap,B1MS,1,2.00,0.2,4
53,korea-central,sles-sap,B1MS,1,2.00,0.1981,4
54,korea-south,sles-sap,B1MS,1,2.00,0.196,4
55,south-india,sles-sap,B1MS,1,2.00,0.1994,4
56,united-kingdom-south,sles-sap,B1MS,1,2.00,0.1936,4
57,united-kingdom-west,sles-sap,B1MS,1,2.00,0.1935,4
58,us-central,sles-sap,B1MS,1,2.00,0.195,4
59,us-east,sles-sap,B1MS,1,2.00,0.1907,4
60,us-east-2,sles-sap,B1MS,1,2.00,0.1908,4
61,usgov-arizona,sles-sap,B1MS,1,2.00,0.1994,4
62,usgov-texas,sles-sap,B1MS,1,2.00,0.1994,4
63,usgov-virginia,sles-sap,B1MS,1,2.00,0.1994,4
64,us-north-central,sles-sap,B1MS,1,2.00,0.1908,4
65,us-south-central,sles-sap,B1MS,1,2.00,0.195,4
