,region,os,vm_type,vcpu,memory,price,storage
0,asia-pacific-east,sles-standard,B1S,1,1.00,0.082,2
1,asia-pacific-southeast,sles-standard,B1S,1,1.00,0.0782,2
2,australia-central,sles-standard,B1S,1,1.00,0.085,2
3,australia-central-2,sles-standard,B1S,1,1.00,0.085,2
4,australia-east,sles-standard,B1S,1,1.00,0.0782,2
5,australia-southeast,sles-standard,B1S,1,1.00,0.081,2
6,brazil-south,sles-standard,B1S,1,1.00,0.0818,2
7,canada-central,sles-standard,B1S,1,1.00,0.0766,2
8,canada-east,sles-standard,B1S,1,1.00,0.078,2
9,central-india,sles-standard,B1S,1,1.00,0.0783,2
10,europe-north,sles-standard,B1S,1,1.00,0.0763,2
11,europe-west,sles-standard,B1S,1,1.00,0.077,2
12,france-central,sles-standard,B1S,1,1.00,0.078,2
13,france-south,sles-standard,B1S,1,1.00,0.0819,2
14,germany-central,sles-standard,B1S,1,1.00,0.0725,2
15,germany-northeast,sles-standard,B1S,1,1.00,0.0725,2
16,japan-east,sles-standard,B1S,1,1.00,0.0786,2
17,japan-west,sles-standard,B1S,1,1.00,0.081,2
18,korea-central,sles-standard,B1S,1,1.00,0.079,2
19,korea-south,sles-standard,B1S,1,1.00,0.078,2
20,south-india,sles-standard,B1S,1,1.00,0.0795,2
21,united-kingdom-south,sles-standard,B1S,1,1.00,0.0768,2
22,united-kingdom-west,sles-standard,B1S,1,1.00,0.078,2
23,us-central,sles-standard,B1S,1,1.00,0.078,2
24,us-east,sles-standard,B1S,1,1.00,0.0754,2
25,us-east-2,sles-standard,B1S,1,1.00,0.0754,2
26,usgov-arizona,sles-standard,B1S,1,1.00,0.08,2
27,usgov-texas,sles-standard,B1S,1,1.00,0.08,2
28,usgov-virginia,sles-standard,B1S,1,1.00,0.08,2
29,us-north-central,sles-standard,B1S,1,1.00,0.0754,2
30,us-south-central,sles-standard,B1S,1,1.00,0.078,2
31,us-west,sles-standard,B1S,1,1.00,0.0774,2
32,us-west-2,sles-standard,B1S,1,1.00,0.0754,2
