,region,os,vm_type,vcpu,memory,price,storage
0,asia-pacific-east,sql-server-enterprise-sles,B1S,1,1.00,1.617,2
1,asia-pacific-southeast,sql-server-enterprise-sles,B1S,1,1.00,1.6132,2
2,australia-central,sql-server-enterprise-sles,B1S,1,1.00,1.62,2
3,australia-central-2,sql-server-enterprise-sles,B1S,1,1.00,1.62,2
4,australia-east,sql-server-enterprise-sles,B1S,1,1.00,1.6132,2
5,australia-southeast,sql-server-enterprise-sles,B1S,1,1.00,1.616,2
6,brazil-south,sql-server-enterprise-sles,B1S,1,1.00,1.6168,2
7,canada-central,sql-server-enterprise-sles,B1S,1,1.00,1.6116,2
8,canada-east,sql-server-enterprise-sles,B1S,1,1.00,1.613,2
9,central-india,sql-server-enterprise-sles,B1S,1,1.00,1.6133,2
10,europe-north,sql-server-enterprise-sles,B1S,1,1.00,1.6113,2
11,europe-west,sql-server-enterprise-sles,B1S,1,1.00,1.612,2
12,france-central,sql-server-enterprise-sles,B1S,1,1.00,1.613,2
13,france-south,sql-server-enterprise-sles,B1S,1,1.00,1.6169,2
14,germany-central,sql-server-enterprise-sles,B1S,1,1.00,1.6075,2
15,germany-northeast,sql-server-enterprise-sles,B1S,1,1.00,1.6075,2
16,japan-east,sql-server-enterprise-sles,B1S,1,1.00,1.6136,2
17,japan-west,sql-server-enterprise-sles,B1S,1,1.00,1.616,2
18,korea-central,sql-server-enterprise-sles,B1S,1,1.00,1.614,2
19,korea-south,sql-server-enterprise-sles,B1S,1,1.00,1.613,2
20,south-india,sql-server-enterprise-sles,B1S,1,1.00,1.6145,2
21,united-kingdom-south,sql-server-enterprise-sles,B1S,1,1.00,1.6118,2
22,united-kingdom-west,sql-server-enterprise-sles,B1S,1,1.00,1.613,2
23,us-central,sql-server-enterprise-sles,B1S,1,1.00,1.613,2
24,us-east,sql-server-enterprise-sles,B1S,1,1.00,1.6104,2
25,us-east-2,sql-server-enterprise-sles,B1S,1,1.00,1.6104,2
26,usgov-arizona,sql-server-enterprise-sles,B1S,1,1.00,1.615,2
27,usgov-texas,sql-server-enterprise-sles,B1S,1,1.00,1.615,2
28,usgov-virginia,sql-server-enterprise-sles,B1S,1,1.00,1.615,2
29,us-north-central,sql-server-enterprise-sles,B1S,1,1.00,1.6104,2
30,us-south-central,sql-server-enterprise-sles,B1S,1,1.00,1.613,2
31,us-west,sql-server-enterprise-sles,B1S,1,1.00,1.6124,2
32,us-west-2,sql-server-enterprise-sles,B1S,1,1.00,1.6104,2
33,us-west-central,sql-server-enterprise-sles,B1S,1,1.00,1.613,2
34,west-india,sql-server-enterprise-sles,B1S,1,1.00,1.6147,2
35,asia-pacific-east,sql-server-enterprise-sles,B1MS,1,2.00,1.634,4
36,asia-pacific-southeast,sql-server-enterprise-sles,B1MS,1,2.00,1.6264,4
37,australia-central,sql-server-enterprise-sles,B1MS,1,2.00,1.64,4
38,australia-central-2,sql-server-enterprise-sles,B1MS,1,2.00,1.64,4
39,australia-east,sql-server-enterprise-sles,B1MS,1,2.00,1.6264,4
40,australia-southeast,sql-server-enterprise-sles,B1MS,1,2.00,1.632,4
41,brazil-south,sql-server-enterprise-sles,B1MS,1,2.00,1.6336,4
42,canada-central,sql-server-enterprise-sles,B1MS,1,2.00,1.623,4
43,canada-east,sql-server-enterprise-sles,B1MS,1,2.00,1.6233,4
44,central-india,sql-server-enterprise-sles,B1MS,1,2.00,1.6267,4
45,europe-north,sql-server-enterprise-sles,B1MS,1,2.00,1.6227,4
46,europe-west,sql-server-enterprise-sles,B1MS,1,2.00,1.624,4
47,france-central,sql-server-enterprise-sles,B1MS,1,2.00,1.626,4
48,france-south,sql-server-enterprise-sles,B1MS,1,2.00,1.6338,4
49,germany-central,sql-server-enterprise-sles,B1MS,1,2.00,1.615,4
50,germany-northeast,sql-server-enterprise-sles,B1MS,1,2.00,1.615,4
51,japan-east,sql-server-enterprise-sles,B1MS,1,2.00,1.6272,4
