,region,os,vm_type,vcpu,memory,price,storage
0,asia-pacific-east,sql-server-standard-linux,B1S,1,1.00,0.417,2
1,asia-pacific-southeast,sql-server-standard-linux,B1S,1,1.00,0.4132,2
2,australia-central,sql-server-standard-linux,B1S,1,1.00,0.42,2
3,australia-central-2,sql-server-standard-linux,B1S,1,1.00,0.42,2
4,australia-east,sql-server-standard-linux,B1S,1,1.00,0.4132,2
5,australia-southeast,sql-server-standard-linux,B1S,1,1.00,0.416,2
6,brazil-south,sql-server-standard-linux,B1S,1,1.00,0.4168,2
7,canada-central,sql-server-standard-linux,B1S,1,1.00,0.4116,2
8,canada-east,sql-server-standard-linux,B1S,1,1.00,0.413,2
9,central-india,sql-server-standard-linux,B1S,1,1.00,0.4133,2
10,europe-north,sql-server-standard-linux,B1S,1,1.00,0.4113,2
11,europe-west,sql-server-standard-linux,B1S,1,1.00,0.412,2
12,france-central,sql-server-standard-linux,B1S,1,1.00,0.413,2
13,france-south,sql-server-standard-linux,B1S,1,1.00,0.4169,2
14,germany-central,sql-server-standard-linux,B1S,1,1.00,0.4075,2
15,germany-northeast,sql-server-standard-linux,B1S,1,1.00,0.4075,2
16,japan-east,sql-server-standard-linux,B1S,1,1.00,0.4136,2
17,japan-west,sql-server-standard-linux,B1S,1,1.00,0.416,2
18,korea-central,sql-server-standard-linux,B1S,1,1.00,0.414,2
19,korea-south,sql-server-standard-linux,B1S,1,1.00,0.413,2
20,south-india,sql-server-standard-linux,B1S,1,1.00,0.4145,2
21,united-kingdom-south,sql-server-standard-linux,B1S,1,1.00,0.4118,2
22,united-kingdom-west,sql-server-standard-linux,B1S,1,1.00,0.413,2
23,us-central,sql-server-standard-linux,B1S,1,1.00,0.413,2
24,us-east,sql-server-standard-linux,B1S,1,1.00,0.4104,2
25,us-east-2,sql-server-standard-linux,B1S,1,1.00,0.4104,2
26,usgov-arizona,sql-server-standard-linux,B1S,1,1.00,0.415,2
27,usgov-texas,sql-server-standard-linux,B1S,1,1.00,0.415,2
28,usgov-virginia,sql-server-standard-linux,B1S,1,1.00,0.415,2
29,us-north-central,sql-server-standard-linux,B1S,1,1.00,0.4104,2
30,us-south-central,sql-server-standard-linux,B1S,1,1.00,0.413,2
31,us-west,sql-server-standard-linux,B1S,1,1.00,0.4124,2
32,us-west-2,sql-server-standard-linux,B1S,1,1.00,0.4104,2
33,us-west-central,sql-server-standard-linux,B1S,1,1.00,0.413,2
34,west-india,sql-server-standard-linux,B1S,1,1.00,0.4147,2
35,asia-pacific-east,sql-server-standard-linux,B1MS,1,2.00,0.434,4
36,asia-pacific-southeast,sql-server-standard-linux,B1MS,1,2.00,0.4264,4
37,australia-central,sql-server-standard-linux,B1MS,1,2.00,0.44,4
38,australia-central-2,sql-server-standard-linux,B1MS,1,2.00,0.44,4
39,australia-east,sql-server-standard-linux,B1MS,1,2.00,0.4264,4
40,australia-southeast,sql-server-standard-linux,B1MS,1,2.00,0.432,4
41,brazil-south,sql-server-standard-linux,B1MS,1,2.00,0.4336,4
42,canada-central,sql-server-standard-linux,B1MS,1,2.00,0.423,4
43,canada-east,sql-server-standard-linux,B1MS,1,2.00,0.4233,4
44,central-india,sql-server-standard-linux,B1MS,1,2.00,0.4267,4
45,europe-north,sql-server-standard-linux,B1MS,1,2.00,0.4227,4
46,europe-west,sql-server-standard-linux,B1MS,1,2.00,0.424,4
47,france-central,sql-server-standard-linux,B1MS,1,2.00,0.426,4
48,france-south,sql-server-standard-linux,B1MS,1,2.00,0.4338,4
49,germany-central,sql-server-standard-linux,B1MS,1,2.00,0.415,4
50,germany-northeast,sql-server-standard-linux,B1MS,1,2.00,0.415,4
51,japan-east,sql-server-standard-linux,B1MS,1,2.00,0.4272,4
52,japan-west,sql-server-standard-linux,B1MS,1,2.00,0.43,4
53,korea-central,sql-server-standard-linux,B1MS,1,2.00,0.4281,4
54,korea-south,sql-server-standard-linux,B1MS,1,2.00,0.426,4
55,south-india,sql-server-standard-linux,B1MS,1,2.00,0.4294,4
56,united-kingdom-south,sql-server-standard-linux,B1MS,1,2.00,0.4236,4
57,united-kingdom-west,sql-server-standard-linux,B1MS,1,2.00,0.4235,4
58,us-central,sql-server-standard-linux,B1MS,1,2.00,0.425,4
59,us-east,sql-server-standard-linux,B1MS,1,2.00,0.4207,4
60,us-east-2,sql-server-standard-linux,B1MS,1,2.00,0.4208,4
61,usgov-arizona,sql-server-standard-linux,B1MS,1,2.00,0.4294,4
62,usgov-texas,sql-server-standard-linux,B1MS,1,2.00,0.4294,4
63,usgov-virginia,sql-server-standard-linux,B1MS,1,2.00,0.4294,4
64,us-north-central,sql-server-standard-linux,B1MS,1,2.00,0.4208,4
65,us-south-central,sql-server-standard-linux,B1MS,1,2.00,0.425,4
66,us-west,sql-server-standard-linux,B1MS,1,2.00,0.4248,4
67,us-west-2,sql-server-standard-linux,B1MS,1,2.00,0.4208,4
68,us-west-central,sql-server-standard-linux,B1MS,1,2.00,0.425,4
69,west-india,sql-server-standard-linux,B1MS,1,2.00,0.43,4
70,asia-pacific-east,sql-server-standard-linux,B2S,2,4.00,0.468,8
71,asia-pacific-southeast,sql-server-standard-linux,B2S,2,4.00,0.4528,8
72,australia-central,sql-server-standard-linux,B2S,2,4.00,0.48,8
73,australia-central-2,sql-server-standard-linux,B2S,2,4.00,0.48,8
74,australia-east,sql-server-standard-linux,B2S,2,4.00,0.4528,8
75,australia-southeast,sql-server-standard-linux,B2S,2,4.00,0.464,8
76,brazil-south,sql-server-standard-linux,B2S,2,4.00,0.4672,8
77,canada-central,sql-server-standard-linux,B2S,2,4.00,0.4464,8
