,region,os,vm_type,vcpu,memory,price,storage
0,asia-pacific-east,sql-server-standard-redhat,B1S,1,1.00,0.477,2
1,asia-pacific-southeast,sql-server-standard-redhat,B1S,1,1.00,0.4732,2
2,australia-central,sql-server-standard-redhat,B1S,1,1.00,0.48,2
3,australia-central-2,sql-server-standard-redhat,B1S,1,1.00,0.48,2
4,australia-east,sql-server-standard-redhat,B1S,1,1.00,0.4732,2
5,australia-southeast,sql-server-standard-redhat,B1S,1,1.00,0.476,2
6,brazil-south,sql-server-standard-redhat,B1S,1,1.00,0.4768,2
7,canada-central,sql-server-standard-redhat,B1S,1,1.00,0.4716,2
8,canada-east,sql-server-standard-redhat,B1S,1,1.00,0.473,2
9,central-india,sql-server-standard-redhat,B1S,1,1.00,0.4733,2
10,europe-north,sql-server-standard-redhat,B1S,1,1.00,0.4713,2
11,europe-west,sql-server-standard-redhat,B1S,1,1.00,0.472,2
12,france-central,sql-server-standard-redhat,B1S,1,1.00,0.473,2
13,france-south,sql-server-standard-redhat,B1S,1,1.00,0.4769,2
14,germany-central,sql-server-standard-redhat,B1S,1,1.00,0.4675,2
15,germany-northeast,sql-server-standard-redhat,B1S,1,1.00,0.4675,2
16,japan-east,sql-server-standard-redhat,B1S,1,1.00,0.4736,2
17,japan-west,sql-server-standard-redhat,B1S,1,1.00,0.476,2
18,korea-central,sql-server-standard-redhat,B1S,1,1.00,0.474,2
19,korea-south,sql-server-standard-redhat,B1S,1,1.00,0.473,2
20,south-india,sql-server-standard-redhat,B1S,1,1.00,0.4745,2
21,united-kingdom-south,sql-server-standard-redhat,B1S,1,1.00,0.4718,2
22,united-kingdom-west,sql-server-standard-redhat,B1S,1,1.00,0.473,2
23,us-central,sql-server-standard-redhat,B1S,1,1.00,0.473,2
24,us-east,sql-server-standard-redhat,B1S,1,1.00,0.4704,2
25,us-east-2,sql-server-standard-redhat,B1S,1,1.00,0.4704,2
26,usgov-arizona,sql-server-standard-redhat,B1S,1,1.00,0.475,2
27,usgov-texas,sql-server-standard-redhat,B1S,1,1.00,0.475,2
28,usgov-virginia,sql-server-standard-redhat,B1S,1,1.00,0.475,2
29,us-north-central,sql-server-standard-redhat,B1S,1,1.00,0.4704,2
30,us-south-central,sql-server-standard-redhat,B1S,1,1.00,0.473,2
31,us-west,sql-server-standard-redhat,B1S,1,1.00,0.4724,2
32,us-west-2,sql-server-standard-redhat,B1S,1,1.00,0.4704,2
33,us-west-central,sql-server-standard-redhat,B1S,1,1.00,0.473,2
34,west-india,sql-server-standard-redhat,B1S,1,1.00,0.4747,2
35,asia-pacific-east,sql-server-standard-redhat,B1MS,1,2.00,0.494,4
36,asia-pacific-southeast,sql-server-standard-redhat,B1MS,1,2.00,0.4864,4
37,australia-central,sql-server-standard-redhat,B1MS,1,2.00,0.5,4
38,australia-central-2,sql-server-standard-redhat,B1MS,1,2.00,0.5,4
39,australia-east,sql-server-standard-redhat,B1MS,1,2.00,0.4864,4
40,australia-southeast,sql-server-standard-redhat,B1MS,1,2.00,0.492,4
41,brazil-south,sql-server-standard-redhat,B1MS,1,2.00,0.4936,4
42,canada-central,sql-server-standard-redhat,B1MS,1,2.00,0.483,4
43,canada-east,sql-server-standard-redhat,B1MS,1,2.00,0.4833,4
44,central-india,sql-server-standard-redhat,B1MS,1,2.00,0.4867,4
45,europe-north,sql-server-standard-redhat,B1MS,1,2.00,0.4827,4
46,europe-west,sql-server-standard-redhat,B1MS,1,2.00,0.484,4
47,france-central,sql-server-standard-redhat,B1MS,1,2.00,0.486,4
48,france-south,sql-server-standard-redhat,B1MS,1,2.00,0.4938,4
49,germany-central,sql-server-standard-redhat,B1MS,1,2.00,0.475,4
50,germany-northeast,sql-server-standard-redhat,B1MS,1,2.00,0.475,4
51,japan-east,sql-server-standard-redhat,B1MS,1,2.00,0.4872,4
52,japan-west,sql-server-standard-redhat,B1MS,1,2.00,0.49,4
53,korea-central,sql-server-standard-redhat,B1MS,1,2.00,0.4881,4
54,korea-south,sql-server-standard-redhat,B1MS,1,2.00,0.486,4
55,south-india,sql-server-standard-redhat,B1MS,1,2.00,0.4894,4
56,united-kingdom-south,sql-server-standard-redhat,B1MS,1,2.00,0.4836,4
57,united-kingdom-west,sql-server-standard-redhat,B1MS,1,2.00,0.4835,4
58,us-central,sql-server-standard-redhat,B1MS,1,2.00,0.485,4
59,us-east,sql-server-standard-redhat,B1MS,1,2.00,0.4807,4
60,us-east-2,sql-server-standard-redhat,B1MS,1,2.00,0.4808,4
61,usgov-arizona,sql-server-standard-redhat,B1MS,1,2.00,0.4894,4
62,usgov-texas,sql-server-standard-redhat,B1MS,1,2.00,0.4894,4
63,usgov-virginia,sql-server-standard-redhat,B1MS,1,2.00,0.4894,4
64,us-north-central,sql-server-standard-redhat,B1MS,1,2.00,0.4808,4
65,us-south-central,sql-server-standard-redhat,B1MS,1,2.00,0.485,4
66,us-west,sql-server-standard-redhat,B1MS,1,2.00,0.4848,4
67,us-west-2,sql-server-standard-redhat,B1MS,1,2.00,0.4808,4
68,us-west-central,sql-server-standard-redhat,B1MS,1,2.00,0.485,4
69,west-india,sql-server-standard-redhat,B1MS,1,2.00,0.49,4
70,asia-pacific-east,sql-server-standard-redhat,B2S,2,4.00,0.528,8
71,asia-pacific-southeast,sql-server-standard-redhat,B2S,2,4.00,0.5128,8
72,australia-central,sql-server-standard-redhat,B2S,2,4.00,0.54,8
73,australia-central-2,sql-server-standard-redhat,B2S,2,4.00,0.54,8
74,australia-east,sql-server-standard-redhat,B2S,2,4.00,0.5128,8
75,australia-southeast,sql-server-standard-redhat,B2S,2,4.00,0.524,8
76,brazil-south,sql-server-standard-redhat,B2S,2,4.00,0.5272,8
77,canada-central,sql-server-standard-redhat,B2S,2,4.00,0.5064,8
78,canada-east,sql-server-standard-redhat,B2S,2,4.00,0.5066,8
79,central-india,sql-server-standard-redhat,B2S,2,4.00,0.513,8
80,europe-north,sql-server-standard-redhat,B2S,2,4.00,0.505,8
81,europe-west,sql-server-standard-redhat,B2S,2,4.00,0.508,8
82,france-central,sql-server-standard-redhat,B2S,2,4.00,0.512,8
83,france-south,sql-server-standard-redhat,B2S,2,4.00,0.5276,8
84,germany-central,sql-server-standard-redhat,B2S,2,4.00,0.49,8
85,germany-northeast,sql-server-standard-redhat,B2S,2,4.00,0.49,8
86,japan-east,sql-server-standard-redhat,B2S,2,4.00,0.5144,8
87,japan-west,sql-server-standard-redhat,B2S,2,4.00,0.5199,8
88,korea-central,sql-server-standard-redhat,B2S,2,4.00,0.5162,8
89,korea-south,sql-server-standard-redhat,B2S,2,4.00,0.512,8
90,south-india,sql-server-standard-redhat,B2S,2,4.00,0.518,8
91,united-kingdom-south,sql-server-standard-redhat,B2S,2,4.00,0.5072,8
92,united-kingdom-west,sql-server-standard-redhat,B2S,2,4.00,0.507,8
