,region,os,vm_type,vcpu,memory,price,storage
0,asia-pacific-east,sql-server-standard-sles,B1S,1,1.00,0.517,2
1,asia-pacific-southeast,sql-server-standard-sles,B1S,1,1.00,0.5132,2
2,australia-central,sql-server-standard-sles,B1S,1,1.00,0.52,2
3,australia-central-2,sql-server-standard-sles,B1S,1,1.00,0.52,2
4,australia-east,sql-server-standard-sles,B1S,1,1.00,0.5132,2
5,australia-southeast,sql-server-standard-sles,B1S,1,1.00,0.516,2
6,brazil-south,sql-server-standard-sles,B1S,1,1.00,0.5168,2
7,canada-central,sql-server-standard-sles,B1S,1,1.00,0.5116,2
8,canada-east,sql-server-standard-sles,B1S,1,1.00,0.513,2
9,central-india,sql-server-standard-sles,B1S,1,1.00,0.5133,2
10,europe-north,sql-server-standard-sles,B1S,1,1.00,0.5113,2
11,europe-west,sql-server-standard-sles,B1S,1,1.00,0.512,2
12,france-central,sql-server-standard-sles,B1S,1,1.00,0.513,2
13,france-south,sql-server-standard-sles,B1S,1,1.00,0.5169,2
14,germany-central,sql-server-standard-sles,B1S,1,1.00,0.5075,2
15,germany-northeast,sql-server-standard-sles,B1S,1,1.00,0.5075,2
16,japan-east,sql-server-standard-sles,B1S,1,1.00,0.5136,2
17,japan-west,sql-server-standard-sles,B1S,1,1.00,0.516,2
18,korea-central,sql-server-standard-sles,B1S,1,1.00,0.514,2
19,korea-south,sql-server-standard-sles,B1S,1,1.00,0.513,2
20,south-india,sql-server-standard-sles,B1S,1,1.00,0.5145,2
21,united-kingdom-south,sql-server-standard-sles,B1S,1,1.00,0.5118,2
22,united-kingdom-west,sql-server-standard-sles,B1S,1,1.00,0.513,2
23,us-central,sql-server-standard-sles,B1S,1,1.00,0.513,2
24,us-east,sql-server-standard-sles,B1S,1,1.00,0.5104,2
25,us-east-2,sql-server-standard-sles,B1S,1,1.00,0.5104,2
26,usgov-arizona,sql-server-standard-sles,B1S,1,1.00,0.515,2
27,usgov-texas,sql-server-standard-sles,B1S,1,1.00,0.515,2
28,usgov-virginia,sql-server-standard-sles,B1S,1,1.00,0.515,2
