,region,os,vm_type,vcpu,memory,price,storage
0,asia-pacific-east,sql-server-standard,B1S,1,1.00,0.422,2
1,asia-pacific-southeast,sql-server-standard,B1S,1,1.00,0.4172,2
2,australia-central,sql-server-standard,B1S,1,1.00,0.425,2
3,australia-central-2,sql-server-standard,B1S,1,1.00,0.425,2
4,australia-east,sql-server-standard,B1S,1,1.00,0.4172,2
5,australia-southeast,sql-server-standard,B1S,1,1.00,0.42,2
6,brazil-south,sql-server-standard,B1S,1,1.00,0.4208,2
7,canada-central,sql-server-standard,B1S,1,1.00,0.4156,2
8,canada-east,sql-server-standard,B1S,1,1.00,0.4175,2
9,central-india,sql-server-standard,B1S,1,1.00,0.4174,2
10,europe-north,sql-server-standard,B1S,1,1.00,0.4153,2
11,europe-west,sql-server-standard,B1S,1,1.00,0.416,2
12,france-central,sql-server-standard,B1S,1,1.00,0.4175,2
13,france-south,sql-server-standard,B1S,1,1.00,0.4228,2
14,germany-central,sql-server-standard,B1S,1,1.00,0.41125,2
15,germany-northeast,sql-server-standard,B1S,1,1.00,0.41125,2
16,japan-east,sql-server-standard,B1S,1,1.00,0.4176,2
17,japan-west,sql-server-standard,B1S,1,1.00,0.4206,2
18,korea-central,sql-server-standard,B1S,1,1.00,0.4186,2
19,korea-south,sql-server-standard,B1S,1,1.00,0.4166,2
20,south-india,sql-server-standard,B1S,1,1.00,0.4191,2
21,united-kingdom-south,sql-server-standard,B1S,1,1.00,0.4158,2
22,united-kingdom-west,sql-server-standard,B1S,1,1.00,0.4175,2
23,us-central,sql-server-standard,B1S,1,1.00,0.418,2
24,us-east,sql-server-standard,B1S,1,1.00,0.414,2
25,us-east-2,sql-server-standard,B1S,1,1.00,0.414,2
26,usgov-arizona,sql-server-standard,B1S,1,1.00,0.4206,2
27,usgov-texas,sql-server-standard,B1S,1,1.00,0.4206,2
28,usgov-virginia,sql-server-standard,B1S,1,1.00,0.4206,2
29,us-north-central,sql-server-standard,B1S,1,1.00,0.4144,2
30,us-south-central,sql-server-standard,B1S,1,1.00,0.4179,2
31,us-west,sql-server-standard,B1S,1,1.00,0.4164,2
32,us-west-2,sql-server-standard,B1S,1,1.00,0.4144,2
33,us-west-central,sql-server-standard,B1S,1,1.00,0.418,2
34,west-india,sql-server-standard,B1S,1,1.00,0.4193,2
35,asia-pacific-east,sql-server-standard,B1MS,1,2.00,0.4381,4
36,asia-pacific-southeast,sql-server-standard,B1MS,1,2.00,0.4304,4
37,australia-central,sql-server-standard,B1MS,1,2.00,0.4448,4
38,australia-central-2,sql-server-standard,B1MS,1,2.00,0.4448,4
39,australia-east,sql-server-standard,B1MS,1,2.00,0.4304,4
40,australia-southeast,sql-server-standard,B1MS,1,2.00,0.4359,4
41,brazil-south,sql-server-standard,B1MS,1,2.00,0.4376,4
42,canada-central,sql-server-standard,B1MS,1,2.00,0.4267,4
43,canada-east,sql-server-standard,B1MS,1,2.00,0.4273,4
44,central-india,sql-server-standard,B1MS,1,2.00,0.4303,4
45,europe-north,sql-server-standard,B1MS,1,2.00,0.4262,4
46,europe-west,sql-server-standard,B1MS,1,2.00,0.4277,4
47,france-central,sql-server-standard,B1MS,1,2.00,0.43,4
48,france-south,sql-server-standard,B1MS,1,2.00,0.4378,4
49,germany-central,sql-server-standard,B1MS,1,2.00,0.42,4
50,germany-northeast,sql-server-standard,B1MS,1,2.00,0.42,4
51,japan-east,sql-server-standard,B1MS,1,2.00,0.4312,4
52,japan-west,sql-server-standard,B1MS,1,2.00,0.434,4
53,korea-central,sql-server-standard,B1MS,1,2.00,0.4321,4
54,korea-south,sql-server-standard,B1MS,1,2.00,0.4291,4
55,south-india,sql-server-standard,B1MS,1,2.00,0.4333,4
56,united-kingdom-south,sql-server-standard,B1MS,1,2.00,0.4276,4
57,united-kingdom-west,sql-server-standard,B1MS,1,2.00,0.4275,4
58,us-central,sql-server-standard,B1MS,1,2.00,0.429,4
59,us-east,sql-server-standard,B1MS,1,2.00,0.4246,4
60,us-east-2,sql-server-standard,B1MS,1,2.00,0.4246,4
61,usgov-arizona,sql-server-standard,B1MS,1,2.00,0.4342,4
62,usgov-texas,sql-server-standard,B1MS,1,2.00,0.4342,4
63,usgov-virginia,sql-server-standard,B1MS,1,2.00,0.4342,4
64,us-north-central,sql-server-standard,B1MS,1,2.00,0.4248,4
65,us-south-central,sql-server-standard,B1MS,1,2.00,0.429,4
66,us-west,sql-server-standard,B1MS,1,2.00,0.4288,4
67,us-west-2,sql-server-standard,B1MS,1,2.00,0.4248,4
68,us-west-central,sql-server-standard,B1MS,1,2.00,0.429,4
69,west-india,sql-server-standard,B1MS,1,2.00,0.4336,4
70,asia-pacific-east,sql-server-standard,B2S,2,4.00,0.488,8
71,asia-pacific-southeast,sql-server-standard,B2S,2,4.00,0.4608,8
72,australia-central,sql-server-standard,B2S,2,4.00,0.5025,8
73,australia-central-2,sql-server-standard,B2S,2,4.00,0.5025,8
74,australia-east,sql-server-standard,B2S,2,4.00,0.4608,8
75,australia-southeast,sql-server-standard,B2S,2,4.00,0.482,8
