,region,os,vm_type,vcpu,memory,price,storage
0,asia-pacific-east,sql-server-web-linux,B1S,1,1.00,0.049,2
1,asia-pacific-southeast,sql-server-web-linux,B1S,1,1.00,0.0452,2
2,australia-central,sql-server-web-linux,B1S,1,1.00,0.052,2
3,australia-central-2,sql-server-web-linux,B1S,1,1.00,0.052,2
4,australia-east,sql-server-web-linux,B1S,1,1.00,0.0452,2
5,australia-southeast,sql-server-web-linux,B1S,1,1.00,0.048,2
6,brazil-south,sql-server-web-linux,B1S,1,1.00,0.0488,2
7,canada-central,sql-server-web-linux,B1S,1,1.00,0.0436,2
8,canada-east,sql-server-web-linux,B1S,1,1.00,0.045,2
9,central-india,sql-server-web-linux,B1S,1,1.00,0.0453,2
10,europe-north,sql-server-web-linux,B1S,1,1.00,0.0433,2
11,europe-west,sql-server-web-linux,B1S,1,1.00,0.044,2
12,france-central,sql-server-web-linux,B1S,1,1.00,0.045,2
13,france-south,sql-server-web-linux,B1S,1,1.00,0.0489,2
14,germany-central,sql-server-web-linux,B1S,1,1.00,0.0395,2
15,germany-northeast,sql-server-web-linux,B1S,1,1.00,0.0395,2
16,japan-east,sql-server-web-linux,B1S,1,1.00,0.0456,2
17,japan-west,sql-server-web-linux,B1S,1,1.00,0.048,2
18,korea-central,sql-server-web-linux,B1S,1,1.00,0.046,2
19,korea-south,sql-server-web-linux,B1S,1,1.00,0.045,2
20,south-india,sql-server-web-linux,B1S,1,1.00,0.0465,2
21,united-kingdom-south,sql-server-web-linux,B1S,1,1.00,0.0438,2
22,united-kingdom-west,sql-server-web-linux,B1S,1,1.00,0.045,2
23,us-central,sql-server-web-linux,B1S,1,1.00,0.045,2
24,us-east,sql-server-web-linux,B1S,1,1.00,0.0424,2
25,us-east-2,sql-server-web-linux,B1S,1,1.00,0.0424,2
26,usgov-arizona,sql-server-web-linux,B1S,1,1.00,0.047,2
27,usgov-texas,sql-server-web-linux,B1S,1,1.00,0.047,2
28,usgov-virginia,sql-server-web-linux,B1S,1,1.00,0.047,2
29,us-north-central,sql-server-web-linux,B1S,1,1.00,0.0424,2
30,us-south-central,sql-server-web-linux,B1S,1,1.00,0.045,2
31,us-west,sql-server-web-linux,B1S,1,1.00,0.0444,2
32,us-west-2,sql-server-web-linux,B1S,1,1.00,0.0424,2
33,us-west-central,sql-server-web-linux,B1S,1,1.00,0.045,2
34,west-india,sql-server-web-linux,B1S,1,1.00,0.0467,2
35,asia-pacific-east,sql-server-web-linux,B1MS,1,2.00,0.066,4
36,asia-pacific-southeast,sql-server-web-linux,B1MS,1,2.00,0.0584,4
37,australia-central,sql-server-web-linux,B1MS,1,2.00,0.072,4
38,australia-central-2,sql-server-web-linux,B1MS,1,2.00,0.072,4
39,australia-east,sql-server-web-linux,B1MS,1,2.00,0.0584,4
40,australia-southeast,sql-server-web-linux,B1MS,1,2.00,0.064,4
