,region,os,vm_type,vcpu,memory,price,storage
0,asia-pacific-east,sql-server-web-redhat,B1S,1,1.00,0.109,2
1,asia-pacific-southeast,sql-server-web-redhat,B1S,1,1.00,0.1052,2
2,australia-central,sql-server-web-redhat,B1S,1,1.00,0.112,2
3,australia-central-2,sql-server-web-redhat,B1S,1,1.00,0.112,2
4,australia-east,sql-server-web-redhat,B1S,1,1.00,0.1052,2
5,australia-southeast,sql-server-web-redhat,B1S,1,1.00,0.108,2
6,brazil-south,sql-server-web-redhat,B1S,1,1.00,0.1088,2
7,canada-central,sql-server-web-redhat,B1S,1,1.00,0.1036,2
8,canada-east,sql-server-web-redhat,B1S,1,1.00,0.105,2
9,central-india,sql-server-web-redhat,B1S,1,1.00,0.1053,2
10,europe-north,sql-server-web-redhat,B1S,1,1.00,0.1033,2
11,europe-west,sql-server-web-redhat,B1S,1,1.00,0.104,2
12,france-central,sql-server-web-redhat,B1S,1,1.00,0.105,2
13,france-south,sql-server-web-redhat,B1S,1,1.00,0.1089,2
14,germany-central,sql-server-web-redhat,B1S,1,1.00,0.0995,2
15,germany-northeast,sql-server-web-redhat,B1S,1,1.00,0.0995,2
16,japan-east,sql-server-web-redhat,B1S,1,1.00,0.1056,2
17,japan-west,sql-server-web-redhat,B1S,1,1.00,0.108,2
18,korea-central,sql-server-web-redhat,B1S,1,1.00,0.106,2
19,korea-south,sql-server-web-redhat,B1S,1,1.00,0.105,2
20,south-india,sql-server-web-redhat,B1S,1,1.00,0.1065,2
21,united-kingdom-south,sql-server-web-redhat,B1S,1,1.00,0.1038,2
22,united-kingdom-west,sql-server-web-redhat,B1S,1,1.00,0.105,2
23,us-central,sql-server-web-redhat,B1S,1,1.00,0.105,2
24,us-east,sql-server-web-redhat,B1S,1,1.00,0.1024,2
25,us-east-2,sql-server-web-redhat,B1S,1,1.00,0.1024,2
26,usgov-arizona,sql-server-web-redhat,B1S,1,1.00,0.107,2
27,usgov-texas,sql-server-web-redhat,B1S,1,1.00,0.107,2
28,usgov-virginia,sql-server-web-redhat,B1S,1,1.00,0.107,2
29,us-north-central,sql-server-web-redhat,B1S,1,1.00,0.1024,2
30,us-south-central,sql-server-web-redhat,B1S,1,1.00,0.105,2
31,us-west,sql-server-web-redhat,B1S,1,1.00,0.1044,2
32,us-west-2,sql-server-web-redhat,B1S,1,1.00,0.1024,2
33,us-west-central,sql-server-web-redhat,B1S,1,1.00,0.105,2
34,west-india,sql-server-web-redhat,B1S,1,1.00,0.1067,2
35,asia-pacific-east,sql-server-web-redhat,B1MS,1,2.00,0.126,4
36,asia-pacific-southeast,sql-server-web-redhat,B1MS,1,2.00,0.1184,4
37,australia-central,sql-server-web-redhat,B1MS,1,2.00,0.132,4
38,australia-central-2,sql-server-web-redhat,B1MS,1,2.00,0.132,4
39,australia-east,sql-server-web-redhat,B1MS,1,2.00,0.1184,4
40,australia-southeast,sql-server-web-redhat,B1MS,1,2.00,0.124,4
41,brazil-south,sql-server-web-redhat,B1MS,1,2.00,0.1256,4
42,canada-central,sql-server-web-redhat,B1MS,1,2.00,0.115,4
43,canada-east,sql-server-web-redhat,B1MS,1,2.00,0.1153,4
44,central-india,sql-server-web-redhat,B1MS,1,2.00,0.1187,4
45,europe-north,sql-server-web-redhat,B1MS,1,2.00,0.1147,4
46,europe-west,sql-server-web-redhat,B1MS,1,2.00,0.116,4
47,france-central,sql-server-web-redhat,B1MS,1,2.00,0.118,4
48,france-south,sql-server-web-redhat,B1MS,1,2.00,0.1258,4
49,germany-central,sql-server-web-redhat,B1MS,1,2.00,0.107,4
50,germany-northeast,sql-server-web-redhat,B1MS,1,2.00,0.107,4
51,japan-east,sql-server-web-redhat,B1MS,1,2.00,0.1192,4
52,japan-west,sql-server-web-redhat,B1MS,1,2.00,0.122,4
53,korea-central,sql-server-web-redhat,B1MS,1,2.00,0.1201,4
54,korea-south,sql-server-web-redhat,B1MS,1,2.00,0.118,4
55,south-india,sql-server-web-redhat,B1MS,1,2.00,0.1214,4
56,united-kingdom-south,sql-server-web-redhat,B1MS,1,2.00,0.1156,4
57,united-kingdom-west,sql-server-web-redhat,B1MS,1,2.00,0.1155,4
58,us-central,sql-server-web-redhat,B1MS,1,2.00,0.117,4
59,us-east,sql-server-web-redhat,B1MS,1,2.00,0.1127,4
60,us-east-2,sql-server-web-redhat,B1MS,1,2.00,0.1128,4
61,usgov-arizona,sql-server-web-redhat,B1MS,1,2.00,0.1214,4
62,usgov-texas,sql-server-web-redhat,B1MS,1,2.00,0.1214,4
63,usgov-virginia,sql-server-web-redhat,B1MS,1,2.00,0.1214,4
64,us-north-central,sql-server-web-redhat,B1MS,1,2.00,0.1128,4
65,us-south-central,sql-server-web-redhat,B1MS,1,2.00,0.117,4
