,region,os,vm_type,vcpu,memory,price,storage
0,asia-pacific-east,sql-server-web-sles,B1S,1,1.00,0.149,2
1,asia-pacific-southeast,sql-server-web-sles,B1S,1,1.00,0.1452,2
2,australia-central,sql-server-web-sles,B1S,1,1.00,0.152,2
3,australia-central-2,sql-server-web-sles,B1S,1,1.00,0.152,2
4,australia-east,sql-server-web-sles,B1S,1,1.00,0.1452,2
5,australia-southeast,sql-server-web-sles,B1S,1,1.00,0.148,2
6,brazil-south,sql-server-web-sles,B1S,1,1.00,0.1488,2
7,canada-central,sql-server-web-sles,B1S,1,1.00,0.1436,2
8,canada-east,sql-server-web-sles,B1S,1,1.00,0.145,2
9,central-india,sql-server-web-sles,B1S,1,1.00,0.1453,2
10,europe-north,sql-server-web-sles,B1S,1,1.00,0.1433,2
11,europe-west,sql-server-web-sles,B1S,1,1.00,0.144,2
12,france-central,sql-server-web-sles,B1S,1,1.00,0.145,2
13,france-south,sql-server-web-sles,B1S,1,1.00,0.1489,2
14,germany-central,sql-server-web-sles,B1S,1,1.00,0.1395,2
15,germany-northeast,sql-server-web-sles,B1S,1,1.00,0.1395,2
16,japan-east,sql-server-web-sles,B1S,1,1.00,0.1456,2
17,japan-west,sql-server-web-sles,B1S,1,1.00,0.148,2
18,korea-central,sql-server-web-sles,B1S,1,1.00,0.146,2
19,korea-south,sql-server-web-sles,B1S,1,1.00,0.145,2
20,south-india,sql-server-web-sles,B1S,1,1.00,0.1465,2
21,united-kingdom-south,sql-server-web-sles,B1S,1,1.00,0.1438,2
22,united-kingdom-west,sql-server-web-sles,B1S,1,1.00,0.145,2
23,us-central,sql-server-web-sles,B1S,1,1.00,0.145,2
24,us-east,sql-server-web-sles,B1S,1,1.00,0.1424,2
25,us-east-2,sql-server-web-sles,B1S,1,1.00,0.1424,2
26,usgov-arizona,sql-server-web-sles,B1S,1,1.00,0.147,2
27,usgov-texas,sql-server-web-sles,B1S,1,1.00,0.147,2
28,usgov-virginia,sql-server-web-sles,B1S,1,1.00,0.147,2
29,us-north-central,sql-server-web-sles,B1S,1,1.00,0.1424,2
30,us-south-central,sql-server-web-sles,B1S,1,1.00,0.145,2
31,us-west,sql-server-web-sles,B1S,1,1.00,0.1444,2
32,us-west-2,sql-server-web-sles,B1S,1,1.00,0.1424,2
33,us-west-central,sql-server-web-sles,B1S,1,1.00,0.145,2
34,west-india,sql-server-web-sles,B1S,1,1.00,0.1467,2
