,region,os,vm_type,vcpu,memory,price,storage
0,asia-pacific-east,ubuntu-advantage-advanced,B1S,1,1.00,0.074,2
1,asia-pacific-southeast,ubuntu-advantage-advanced,B1S,1,1.00,0.0702,2
2,australia-central,ubuntu-advantage-advanced,B1S,1,1.00,0.077,2
3,australia-central-2,ubuntu-advantage-advanced,B1S,1,1.00,0.077,2
4,australia-east,ubuntu-advantage-advanced,B1S,1,1.00,0.0702,2
5,australia-southeast,ubuntu-advantage-advanced,B1S,1,1.00,0.073,2
6,brazil-south,ubuntu-advantage-advanced,B1S,1,1.00,0.0738,2
7,canada-central,ubuntu-advantage-advanced,B1S,1,1.00,0.0686,2
8,canada-east,ubuntu-advantage-advanced,B1S,1,1.00,0.07,2
9,central-india,ubuntu-advantage-advanced,B1S,1,1.00,0.0703,2
10,europe-north,ubuntu-advantage-advanced,B1S,1,1.00,0.0683,2
11,europe-west,ubuntu-advantage-advanced,B1S,1,1.00,0.069,2
12,france-central,ubuntu-advantage-advanced,B1S,1,1.00,0.07,2
13,france-south,ubuntu-advantage-advanced,B1S,1,1.00,0.0739,2
14,germany-central,ubuntu-advantage-advanced,B1S,1,1.00,0.0645,2
15,germany-northeast,ubuntu-advantage-advanced,B1S,1,1.00,0.0645,2
16,japan-east,ubuntu-advantage-advanced,B1S,1,1.00,0.0706,2
17,japan-west,ubuntu-advantage-advanced,B1S,1,1.00,0.073,2
18,korea-central,ubuntu-advantage-advanced,B1S,1,1.00,0.071,2
19,korea-south,ubuntu-advantage-advanced,B1S,1,1.00,0.07,2
20,south-india,ubuntu-advantage-advanced,B1S,1,1.00,0.0715,2
21,united-kingdom-south,ubuntu-advantage-advanced,B1S,1,1.00,0.0688,2
22,united-kingdom-west,ubuntu-advantage-advanced,B1S,1,1.00,0.07,2
23,us-central,ubuntu-advantage-advanced,B1S,1,1.00,0.07,2
24,us-east,ubuntu-advantage-advanced,B1S,1,1.00,0.0674,2
25,us-east-2,ubuntu-advantage-advanced,B1S,1,1.00,0.0674,2
26,usgov-arizona,ubuntu-advantage-advanced,B1S,1,1.00,0.072,2
27,usgov-texas,ubuntu-advantage-advanced,B1S,1,1.00,0.072,2
28,usgov-virginia,ubuntu-advantage-advanced,B1S,1,1.00,0.072,2
29,us-north-central,ubuntu-advantage-advanced,B1S,1,1.00,0.0674,2
30,us-south-central,ubuntu-advantage-advanced,B1S,1,1.00,0.07,2
31,us-west,ubuntu-advantage-advanced,B1S,1,1.00,0.0694,2
32,us-west-2,ubuntu-advantage-advanced,B1S,1,1.00,0.0674,2
33,us-west-central,ubuntu-advantage-advanced,B1S,1,1.00,0.07,2
34,west-india,ubuntu-advantage-advanced,B1S,1,1.00,0.0717,2
35,asia-pacific-east,ubuntu-advantage-advanced,B1MS,1,2.00,0.091,4
36,asia-pacific-southeast,ubuntu-advantage-advanced,B1MS,1,2.00,0.0834,4
37,australia-central,ubuntu-advantage-advanced,B1MS,1,2.00,0.097,4
38,australia-central-2,ubuntu-advantage-advanced,B1MS,1,2.00,0.097,4
39,australia-east,ubuntu-advantage-advanced,B1MS,1,2.00,0.0834,4
40,australia-southeast,ubuntu-advantage-advanced,B1MS,1,2.00,0.089,4
41,brazil-south,ubuntu-advantage-advanced,B1MS,1,2.00,0.0906,4
42,canada-central,ubuntu-advantage-advanced,B1MS,1,2.00,0.08,4
43,canada-east,ubuntu-advantage-advanced,B1MS,1,2.00,0.0803,4
44,central-india,ubuntu-advantage-advanced,B1MS,1,2.00,0.0837,4
45,europe-north,ubuntu-advantage-advanced,B1MS,1,2.00,0.0797,4
46,europe-west,ubuntu-advantage-advanced,B1MS,1,2.00,0.081,4
47,france-central,ubuntu-advantage-advanced,B1MS,1,2.00,0.083,4
48,france-south,ubuntu-advantage-advanced,B1MS,1,2.00,0.0908,4
49,germany-central,ubuntu-advantage-advanced,B1MS,1,2.00,0.072,4
50,germany-northeast,ubuntu-advantage-advanced,B1MS,1,2.00,0.072,4
51,japan-east,ubuntu-advantage-advanced,B1MS,1,2.00,0.0842,4
52,japan-west,ubuntu-advantage-advanced,B1MS,1,2.00,0.087,4
53,korea-central,ubuntu-advantage-advanced,B1MS,1,2.00,0.0851,4
54,korea-south,ubuntu-advantage-advanced,B1MS,1,2.00,0.083,4
55,south-india,ubuntu-advantage-advanced,B1MS,1,2.00,0.0864,4
56,united-kingdom-south,ubuntu-advantage-advanced,B1MS,1,2.00,0.0806,4
57,united-kingdom-west,ubuntu-advantage-advanced,B1MS,1,2.00,0.0805,4
58,us-central,ubuntu-advantage-advanced,B1MS,1,2.00,0.082,4
59,us-east,ubuntu-advantage-advanced,B1MS,1,2.00,0.0777,4
60,us-east-2,ubuntu-advantage-advanced,B1MS,1,2.00,0.0778,4
61,usgov-arizona,ubuntu-advantage-advanced,B1MS,1,2.00,0.0864,4
62,usgov-texas,ubuntu-advantage-advanced,B1MS,1,2.00,0.0864,4
63,usgov-virginia,ubuntu-advantage-advanced,B1MS,1,2.00,0.0864,4
64,us-north-central,ubuntu-advantage-advanced,B1MS,1,2.00,0.0778,4
65,us-south-central,ubuntu-advantage-advanced,B1MS,1,2.00,0.082,4
66,us-west,ubuntu-advantage-advanced,B1MS,1,2.00,0.0818,4
67,us-west-2,ubuntu-advantage-advanced,B1MS,1,2.00,0.0778,4
68,us-west-central,ubuntu-advantage-advanced,B1MS,1,2.00,0.082,4
69,west-india,ubuntu-advantage-advanced,B1MS,1,2.00,0.087,4
70,asia-pacific-east,ubuntu-advantage-advanced,B2S,2,4.00,0.125,8
