,region,os,vm_type,vcpu,memory,price,storage
0,asia-pacific-east,ubuntu-advantage-essential,B1S,1,1.00,0.026,2
1,asia-pacific-southeast,ubuntu-advantage-essential,B1S,1,1.00,0.0222,2
2,australia-central,ubuntu-advantage-essential,B1S,1,1.00,0.029,2
3,australia-central-2,ubuntu-advantage-essential,B1S,1,1.00,0.029,2
4,australia-east,ubuntu-advantage-essential,B1S,1,1.00,0.0222,2
5,australia-southeast,ubuntu-advantage-essential,B1S,1,1.00,0.025,2
6,brazil-south,ubuntu-advantage-essential,B1S,1,1.00,0.0258,2
7,canada-central,ubuntu-advantage-essential,B1S,1,1.00,0.0206,2
8,canada-east,ubuntu-advantage-essential,B1S,1,1.00,0.022,2
9,central-india,ubuntu-advantage-essential,B1S,1,1.00,0.0223,2
10,europe-north,ubuntu-advantage-essential,B1S,1,1.00,0.0203,2
11,europe-west,ubuntu-advantage-essential,B1S,1,1.00,0.021,2
12,france-central,ubuntu-advantage-essential,B1S,1,1.00,0.022,2
13,france-south,ubuntu-advantage-essential,B1S,1,1.00,0.0259,2
14,germany-central,ubuntu-advantage-essential,B1S,1,1.00,0.0165,2
15,germany-northeast,ubuntu-advantage-essential,B1S,1,1.00,0.0165,2
16,japan-east,ubuntu-advantage-essential,B1S,1,1.00,0.0226,2
17,japan-west,ubuntu-advantage-essential,B1S,1,1.00,0.025,2
18,korea-central,ubuntu-advantage-essential,B1S,1,1.00,0.023,2
19,korea-south,ubuntu-advantage-essential,B1S,1,1.00,0.022,2
20,south-india,ubuntu-advantage-essential,B1S,1,1.00,0.0235,2
21,united-kingdom-south,ubuntu-advantage-essential,B1S,1,1.00,0.0208,2
22,united-kingdom-west,ubuntu-advantage-essential,B1S,1,1.00,0.022,2
23,us-central,ubuntu-advantage-essential,B1S,1,1.00,0.022,2
24,us-east,ubuntu-advantage-essential,B1S,1,1.00,0.0194,2
25,us-east-2,ubuntu-advantage-essential,B1S,1,1.00,0.0194,2
26,usgov-arizona,ubuntu-advantage-essential,B1S,1,1.00,0.024,2
27,usgov-texas,ubuntu-advantage-essential,B1S,1,1.00,0.024,2
28,usgov-virginia,ubuntu-advantage-essential,B1S,1,1.00,0.024,2
29,us-north-central,ubuntu-advantage-essential,B1S,1,1.00,0.0194,2
30,us-south-central,ubuntu-advantage-essential,B1S,1,1.00,0.022,2
31,us-west,ubuntu-advantage-essential,B1S,1,1.00,0.0214,2
32,us-west-2,ubuntu-advantage-essential,B1S,1,1.00,0.0194,2
33,us-west-central,ubuntu-advantage-essential,B1S,1,1.00,0.022,2
34,west-india,ubuntu-advantage-essential,B1S,1,1.00,0.0237,2
35,asia-pacific-east,ubuntu-advantage-essential,B1MS,1,2.00,0.043,4
36,asia-pacific-southeast,ubuntu-advantage-essential,B1MS,1,2.00,0.0354,4
37,australia-central,ubuntu-advantage-essential,B1MS,1,2.00,0.049,4
38,australia-central-2,ubuntu-advantage-essential,B1MS,1,2.00,0.049,4
