,region,os,vm_type,vcpu,memory,price,storage
0,asia-pacific-east,ubuntu-advantage-standard,B1S,1,1.00,0.046,2
1,asia-pacific-southeast,ubuntu-advantage-standard,B1S,1,1.00,0.0422,2
2,australia-central,ubuntu-advantage-standard,B1S,1,1.00,0.049,2
3,australia-central-2,ubuntu-advantage-standard,B1S,1,1.00,0.049,2
4,australia-east,ubuntu-advantage-standard,B1S,1,1.00,0.0422,2
5,australia-southeast,ubuntu-advantage-standard,B1S,1,1.00,0.045,2
6,brazil-south,ubuntu-advantage-standard,B1S,1,1.00,0.0458,2
7,canada-central,ubuntu-advantage-standard,B1S,1,1.00,0.0406,2
8,canada-east,ubuntu-advantage-standard,B1S,1,1.00,0.042,2
9,central-india,ubuntu-advantage-standard,B1S,1,1.00,0.0423,2
10,europe-north,ubuntu-advantage-standard,B1S,1,1.00,0.0403,2
11,europe-west,ubuntu-advantage-standard,B1S,1,1.00,0.041,2
12,france-central,ubuntu-advantage-standard,B1S,1,1.00,0.042,2
13,france-south,ubuntu-advantage-standard,B1S,1,1.00,0.0459,2
14,germany-central,ubuntu-advantage-standard,B1S,1,1.00,0.0365,2
15,germany-northeast,ubuntu-advantage-standard,B1S,1,1.00,0.0365,2
16,japan-east,ubuntu-advantage-standard,B1S,1,1.00,0.0426,2
17,japan-west,ubuntu-advantage-standard,B1S,1,1.00,0.045,2
18,korea-central,ubuntu-advantage-standard,B1S,1,1.00,0.043,2
19,korea-south,ubuntu-advantage-standard,B1S,1,1.00,0.042,2
20,south-india,ubuntu-advantage-standard,B1S,1,1.00,0.0435,2
21,united-kingdom-south,ubuntu-advantage-standard,B1S,1,1.00,0.0408,2
22,united-kingdom-west,ubuntu-advantage-standard,B1S,1,1.00,0.042,2
23,us-central,ubuntu-advantage-standard,B1S,1,1.00,0.042,2
24,us-east,ubuntu-advantage-standard,B1S,1,1.00,0.0394,2
25,us-east-2,ubuntu-advantage-standard,B1S,1,1.00,0.0394,2
26,usgov-arizona,ubuntu-advantage-standard,B1S,1,1.00,0.044,2
27,usgov-texas,ubuntu-advantage-standard,B1S,1,1.00,0.044,2
28,usgov-virginia,ubuntu-advantage-standard,B1S,1,1.00,0.044,2
29,us-north-central,ubuntu-advantage-standard,B1S,1,1.00,0.0394,2
30,us-south-central,ubuntu-advantage-standard,B1S,1,1.00,0.042,2
31,us-west,ubuntu-advantage-standard,B1S,1,1.00,0.0414,2
32,us-west-2,ubuntu-advantage-standard,B1S,1,1.00,0.0394,2
33,us-west-central,ubuntu-advantage-standard,B1S,1,1.00,0.042,2
34,west-india,ubuntu-advantage-standard,B1S,1,1.00,0.0437,2
35,asia-pacific-east,ubuntu-advantage-standard,B1MS,1,2.00,0.063,4
36,asia-pacific-southeast,ubuntu-advantage-standard,B1MS,1,2.00,0.0554,4
37,australia-central,ubuntu-advantage-standard,B1MS,1,2.00,0.069,4
38,australia-central-2,ubuntu-advantage-standard,B1MS,1,2.00,0.069,4
39,australia-east,ubuntu-advantage-standard,B1MS,1,2.00,0.0554,4
40,australia-southeast,ubuntu-advantage-standard,B1MS,1,2.00,0.061,4
41,brazil-south,ubuntu-advantage-standard,B1MS,1,2.00,0.0626,4
42,canada-central,ubuntu-advantage-standard,B1MS,1,2.00,0.052,4
43,canada-east,ubuntu-advantage-standard,B1MS,1,2.00,0.0523,4
44,central-india,ubuntu-advantage-standard,B1MS,1,2.00,0.0557,4
45,europe-north,ubuntu-advantage-standard,B1MS,1,2.00,0.0517,4
46,europe-west,ubuntu-advantage-standard,B1MS,1,2.00,0.053,4
47,france-central,ubuntu-advantage-standard,B1MS,1,2.00,0.055,4
48,france-south,ubuntu-advantage-standard,B1MS,1,2.00,0.0628,4
49,germany-central,ubuntu-advantage-standard,B1MS,1,2.00,0.044,4
50,germany-northeast,ubuntu-advantage-standard,B1MS,1,2.00,0.044,4
51,japan-east,ubuntu-advantage-standard,B1MS,1,2.00,0.0562,4
