,region,os,vm_type,vcpu,memory,price,storage
0,asia-pacific-east,windows,B1S,1,1.00,0.022,2
1,asia-pacific-southeast,windows,B1S,1,1.00,0.0172,2
2,australia-central,windows,B1S,1,1.00,0.025,2
3,australia-central-2,windows,B1S,1,1.00,0.025,2
4,australia-east,windows,B1S,1,1.00,0.0172,2
5,australia-southeast,windows,B1S,1,1.00,0.02,2
6,brazil-south,windows,B1S,1,1.00,0.0208,2
7,canada-central,windows,B1S,1,1.00,0.0156,2
8,canada-east,windows,B1S,1,1.00,0.0175,2
9,central-india,windows,B1S,1,1.00,0.0174,2
10,europe-north,windows,B1S,1,1.00,0.0153,2
11,europe-west,windows,B1S,1,1.00,0.016,2
12,france-central,windows,B1S,1,1.00,0.0175,2
13,france-south,windows,B1S,1,1.00,0.0228,2
14,germany-central,windows,B1S,1,1.00,0.01125,2
15,germany-northeast,windows,B1S,1,1.00,0.01125,2
16,japan-east,windows,B1S,1,1.00,0.0176,2
17,japan-west,windows,B1S,1,1.00,0.0206,2
18,korea-central,windows,B1S,1,1.00,0.0186,2
19,korea-south,windows,B1S,1,1.00,0.0166,2
20,south-india,windows,B1S,1,1.00,0.0191,2
21,united-kingdom-south,windows,B1S,1,1.00,0.0158,2
22,united-kingdom-west,windows,B1S,1,1.00,0.0175,2
23,us-central,windows,B1S,1,1.00,0.018,2
24,us-east,windows,B1S,1,1.00,0.014,2
25,us-east-2,windows,B1S,1,1.00,0.014,2
26,usgov-arizona,windows,B1S,1,1.00,0.0206,2
27,usgov-texas,windows,B1S,1,1.00,0.0206,2
28,usgov-virginia,windows,B1S,1,1.00,0.0206,2
29,us-north-central,windows,B1S,1,1.00,0.0144,2
30,us-south-central,windows,B1S,1,1.00,0.0179,2
31,us-west,windows,B1S,1,1.00,0.0164,2
32,us-west-2,windows,B1S,1,1.00,0.0144,2
33,us-west-central,windows,B1S,1,1.00,0.018,2
34,west-india,windows,B1S,1,1.00,0.0193,2
35,asia-pacific-east,windows,B1MS,1,2.00,0.0381,4
36,asia-pacific-southeast,windows,B1MS,1,2.00,0.0304,4
37,australia-central,windows,B1MS,1,2.00,0.0448,4
38,australia-central-2,windows,B1MS,1,2.00,0.0448,4
39,australia-east,windows,B1MS,1,2.00,0.0304,4
40,australia-southeast,windows,B1MS,1,2.00,0.0359,4
41,brazil-south,windows,B1MS,1,2.00,0.0376,4
42,canada-central,windows,B1MS,1,2.00,0.0267,4
43,canada-east,windows,B1MS,1,2.00,0.0273,4
44,central-india,windows,B1MS,1,2.00,0.0303,4
45,europe-north,windows,B1MS,1,2.00,0.0262,4
46,europe-west,windows,B1MS,1,2.00,0.0277,4
47,france-central,windows,B1MS,1,2.00,0.03,4
48,france-south,windows,B1MS,1,2.00,0.0378,4
49,germany-central,windows,B1MS,1,2.00,0.02,4
50,germany-northeast,windows,B1MS,1,2.00,0.02,4
51,japan-east,windows,B1MS,1,2.00,0.0312,4
52,japan-west,windows,B1MS,1,2.00,0.034,4
53,korea-central,windows,B1MS,1,2.00,0.0321,4
54,korea-south,windows,B1MS,1,2.00,0.0291,4
55,south-india,windows,B1MS,1,2.00,0.0333,4
56,united-kingdom-south,windows,B1MS,1,2.00,0.0276,4
57,united-kingdom-west,windows,B1MS,1,2.00,0.0275,4
58,us-central,windows,B1MS,1,2.00,0.029,4
59,us-east,windows,B1MS,1,2.00,0.0246,4
60,us-east-2,windows,B1MS,1,2.00,0.0246,4
61,usgov-arizona,windows,B1MS,1,2.00,0.0342,4
62,usgov-texas,windows,B1MS,1,2.00,0.0342,4
63,usgov-virginia,windows,B1MS,1,2.00,0.0342,4
64,us-north-central,windows,B1MS,1,2.00,0.0248,4
65,us-south-central,windows,B1MS,1,2.00,0.029,4
66,us-west,windows,B1MS,1,2.00,0.0288,4
67,us-west-2,windows,B1MS,1,2.00,0.0248,4
68,us-west-central,windows,B1MS,1,2.00,0.029,4
69,west-india,windows,B1MS,1,2.00,0.0336,4
70,asia-pacific-east,windows,B2S,2,4.00,0.088,8
71,asia-pacific-southeast,windows,B2S,2,4.00,0.0608,8
72,australia-central,windows,B2S,2,4.00,0.1025,8
73,australia-central-2,windows,B2S,2,4.00,0.1025,8
74,australia-east,windows,B2S,2,4.00,0.0608,8
75,australia-southeast,windows,B2S,2,4.00,0.082,8
76,brazil-south,windows,B2S,2,4.00,0.0752,8
77,canada-central,windows,B2S,2,4.00,0.0544,8
78,canada-east,windows,B2S,2,4.00,0.0546,8
79,central-india,windows,B2S,2,4.00,0.0662,8
80,europe-north,windows,B2S,2,4.00,0.0536,8
81,europe-west,windows,B2S,2,4.00,0.056,8
82,france-central,windows,B2S,2,4.00,0.06,8
83,france-south,windows,B2S,2,4.00,0.0756,8
84,germany-central,windows,B2S,2,4.00,0.04125,8
85,germany-northeast,windows,B2S,2,4.00,0.04125,8
86,japan-east,windows,B2S,2,4.00,0.0624,8
87,japan-west,windows,B2S,2,4.00,0.0679,8
88,korea-central,windows,B2S,2,4.00,0.0642,8
89,korea-south,windows,B2S,2,4.00,0.0642,8
90,south-india,windows,B2S,2,4.00,0.0704,8
91,united-kingdom-south,windows,B2S,2,4.00,0.0552,8
92,united-kingdom-west,windows,B2S,2,4.00,0.055,8
93,us-central,windows,B2S,2,4.00,0.0579,8
94,us-east,windows,B2S,2,4.00,0.0496,8
95,us-east-2,windows,B2S,2,4.00,0.0496,8
96,usgov-arizona,windows,B2S,2,4.00,0.0825,8
97,usgov-texas,windows,B2S,2,4.00,0.0825,8
98,usgov-virginia,windows,B2S,2,4.00,0.0825,8
99,us-north-central,windows,B2S,2,4.00,0.0496,8
100,us-south-central,windows,B2S,2,4.00,0.0579,8
101,us-west,windows,B2S,2,4.00,0.0576,8
102,us-west-2,windows,B2S,2,4.00,0.0496,8
103,us-west-central,windows,B2S,2,4.00,0.0579,8
104,west-india,windows,B2S,2,4.00,0.0704,8
105,asia-pacific-east,windows,B2MS,2,8.00,0.153,16
106,asia-pacific-southeast,windows,B2MS,2,8.00,0.114,16
107,australia-central,windows,B2MS,2,8.00,0.179,16
108,australia-central-2,windows,B2MS,2,8.00,0.179,16
109,australia-east,windows,B2MS,2,8.00,0.114,16
110,australia-southeast,windows,B2MS,2,8.00,0.143,16
111,brazil-south,windows,B2MS,2,8.00,0.142,16
112,canada-central,windows,B2MS,2,8.00,0.101,16
113,canada-east,windows,B2MS,2,8.00,0.101,16
114,central-india,windows,B2MS,2,8.00,0.121,16
115,europe-north,windows,B2MS,2,8.00,0.0992,16
116,europe-west,windows,B2MS,2,8.00,0.104,16
117,france-central,windows,B2MS,2,8.00,0.112,16
118,france-south,windows,B2MS,2,8.00,0.143,16
