instance,cpu,memory
N2-STANDARD-2,2.0,8.0
N2-STANDARD-4,4.0,16.0
N2-STANDARD-8,8.0,32.0
N2-STANDARD-16,16.0,64.0
N2-STANDARD-32,32.0,128.0
N2-STANDARD-48,48.0,192.0
N2-STANDARD-64,64.0,256.0
N2-STANDARD-80,80.0,320.0
N2-HIGHMEM-2,2.0,16.0
N2-HIGHMEM-4,4.0,32.0
N2-HIGHMEM-8,8.0,64.0
N2-HIGHMEM-16,16.0,128.0
N2-HIGHMEM-32,32.0,256.0
N2-HIGHMEM-48,48.0,384.0
N2-HIGHMEM-64,64.0,512.0
N2-HIGHMEM-80,80.0,640.0
N2-HIGHCPU-2,2.0,2.0
N2-HIGHCPU-4,4.0,4.0
N2-HIGHCPU-8,8.0,8.0
N2-HIGHCPU-16,16.0,16.0
N2-HIGHCPU-32,32.0,32.0
N2-HIGHCPU-48,48.0,48.0
N2-HIGHCPU-64,64.0,64.0
N2-HIGHCPU-80,80.0,80.0
E2-STANDARD-2,2.0,8.0
E2-STANDARD-4,4.0,16.0
E2-STANDARD-8,8.0,32.0
E2-STANDARD-16,16.0,64.0
E2-HIGHMEM-2,2.0,16.0
E2-HIGHMEM-4,4.0,32.0
E2-HIGHMEM-8,8.0,64.0
E2-HIGHMEM-16,16.0,128.0
E2-HIGHCPU-2,2.0,2.0
E2-HIGHCPU-4,4.0,4.0
E2-HIGHCPU-8,8.0,8.0
E2-HIGHCPU-16,16.0,16.0
M1-ULTRAMEM-40,40.0,961.0
M1-ULTRAMEM-80,80.0,1922.0
M1-ULTRAMEM-160,160.0,3844.0
M2-ULTRAMEM-208,208.0,5888.0
M2-ULTRAMEM-416,416.0,11776.0
C2-STANDARD-4,4.0,16.0
C2-STANDARD-8,8.0,32.0
C2-STANDARD-16,16.0,64.0
C2-STANDARD-30,30.0,120.0
C2-STANDARD-60,60.0,240.0
M1-MEGAMEM-96,96.0,1433.6
