,input
0,Asia East 1b
1,Asia East 1c
2,Asia East 1a
3,Asia Southeast 1a
4,Asia Southeast 1b
5,Asia Northeast 1a
6,Asia Northeast 1b
7,Asia Northeast 1c
8,Australia Southeast 1a
9,Australia Southeast 1b
10,Australia Southeast 1c
11,Southamerica East 1a
12,Southamerica East 1b
13,Southamerica East 1c
14,Europe West 2a
15,Europe West 2b
16,Europe West 2c
17,Europe West 3a
18,Europe West 3b
19,Europe West 3c
20,US East 4a
21,US East 4b
22,US East 4c
23,Europe West 1d
24,Europe West 1b
25,Europe West 1c
26,US Central 1f
27,US Central 1c
28,US Central 1b
29,US Central 1a
30,US East 1c
31,US East 1d
32,US East 1b
33,US West 1b
34,US West 1a
